Close_Price,Date,High,Low
139.779999,2017-03-03,139.830002,138.589996
138.960007,2017-03-02,140.279999,138.759995
139.789993,2017-03-01,140.149994,137.600006
136.990005,2017-02-28,137.440002,136.699997
136.929993,2017-02-27,137.440002,136.279999
136.660004,2017-02-24,136.660004,135.279999
136.529999,2017-02-23,137.479996,136.300003
137.110001,2017-02-22,137.119995,136.110001
136.699997,2017-02-21,136.75,135.979996
135.720001,2017-02-17,135.830002,135.100006
135.350006,2017-02-16,135.899994,134.839996
135.509995,2017-02-15,136.270004,134.619995
135.020004,2017-02-14,135.089996,133.25
133.289993,2017-02-13,133.820007,132.75
132.119995,2017-02-10,132.940002,132.050003
132.419998,2017-02-09,132.449997,131.119995
131.469994,2017-02-08,132.220001,131.220001
130.962201,2017-02-07,132.089996,130.449997
129.727549,2017-02-06,130.50,128.899994
128.522781,2017-02-03,129.190002,128.160004
127.975152,2017-02-02,129.389999,127.779999
128.194203,2017-02-01,130.490005,127.010002
120.826147,2017-01-31,121.389999,120.620003
121.104937,2017-01-30,121.629997,120.660004
121.423555,2017-01-27,122.349998,121.599998
121.413604,2017-01-26,122.440002,121.599998
121.353858,2017-01-25,122.099998,120.279999
119.452107,2017-01-24,120.099998,119.50
119.561633,2017-01-23,120.809998,119.769997
119.481976,2017-01-20,120.449997,119.730003
119.262925,2017-01-19,120.089996,119.370003
119.472017,2017-01-18,120.50,119.709999
119.481976,2017-01-17,120.239998,118.220001
118.526121,2017-01-13,119.620003,118.809998
118.735214,2017-01-12,119.300003,118.209999
119.233055,2017-01-11,119.93,118.599998
118.595819,2017-01-10,119.379997,118.300003
118.476334,2017-01-09,119.43,117.940002
117.401002,2017-01-06,118.160004,116.470001
116.106611,2017-01-05,116.860001,115.809998
115.519154,2017-01-04,116.510002,115.75
115.648597,2017-01-03,116.330002,114.760002
115.32002,2016-12-30,117.199997,115.43
116.226096,2016-12-29,117.110001,116.400002
116.255965,2016-12-28,118.019997,116.199997
116.753806,2016-12-27,117.800003,116.489998
116.016995,2016-12-23,116.519997,115.589996
115.787993,2016-12-22,116.510002,115.639999
116.554665,2016-12-21,117.400002,116.779999
116.445139,2016-12-20,117.50,116.68
116.13648,2016-12-19,117.379997,115.75
115.469374,2016-12-16,116.50,115.650002
115.32002,2016-12-15,116.730003,115.230003
114.692743,2016-12-14,116.199997,114.980003
114.692743,2016-12-13,115.919998,113.75
112.810902,2016-12-12,115.00,112.489998
113.45809,2016-12-09,114.699997,112.309998
111.635996,2016-12-08,112.43,110.599998
110.550697,2016-12-07,111.190002,109.160004
109.475358,2016-12-06,110.360001,109.190002
108.638987,2016-12-05,110.029999,108.25
109.425578,2016-12-02,110.089996,108.849998
109.017344,2016-12-01,110.940002,109.029999
110.042897,2016-11-30,112.199997,110.269997
110.978841,2016-11-29,112.029999,110.07
