Close_Price,Date,High,Low
143.679993,2017-04-21,144.169998,142.270004
143.800003,2017-04-20,144.25,142.690002
142.270004,2017-04-19,143.039993,141.270004
140.960007,2017-04-18,141.910004,140.610001
141.419998,2017-04-17,141.550003,139.75
139.389999,2017-04-13,140.580002,139.330002
139.580002,2017-04-12,140.399994,139.440002
139.919998,2017-04-11,141.029999,138.809998
141.039993,2017-04-10,141.429993,140.630005
140.779999,2017-04-07,141.550003,140.240005
141.169998,2017-04-06,142.220001,140.910004
141.850006,2017-04-05,143.440002,141.289993
141.729996,2017-04-04,142.089996,141.270004
142.279999,2017-04-03,142.470001,140.820007
142.050003,2017-03-31,142.630005,141.889999
142.410004,2017-03-30,142.949997,141.850006
142.649994,2017-03-29,142.860001,141.429993
141.759995,2017-03-28,141.949997,140.009995
140.320007,2017-03-27,140.649994,138.770004
140.339996,2017-03-24,141.020004,139.759995
139.529999,2017-03-23,140.389999,139.089996
139.589996,2017-03-22,139.789993,137.600006
138.509995,2017-03-21,142.309998,138.399994
139.940002,2017-03-20,140.190002,139.25
139.839996,2017-03-17,140.339996,139.699997
139.990005,2017-03-16,140.25,139.729996
139.720001,2017-03-15,140.100006,138.490005
139.320007,2017-03-14,139.460007,138.520004
139.600006,2017-03-13,139.679993,138.669998
138.789993,2017-03-10,139.490005,138.220001
138.240005,2017-03-09,138.570007,137.399994
137.720001,2017-03-08,137.990005,137.050003
137.300003,2017-03-07,138.369995,136.990005
137.419998,2017-03-06,137.830002,136.509995
137.169998,2017-03-03,137.330002,136.080002
136.759995,2017-03-02,137.820007,136.309998
137.419998,2017-03-01,137.479996,136.300003
135.539993,2017-02-28,136.809998,134.75
136.410004,2017-02-27,137.179993,135.020004
135.440002,2017-02-24,135.619995,134.160004
135.360001,2017-02-23,136.119995,134.330002
136.119995,2017-02-22,136.789993,133.460007
133.720001,2017-02-21,133.910004,132.899994
133.529999,2017-02-17,134.089996,133.169998
133.839996,2017-02-16,133.869995,133.020004
133.440002,2017-02-15,133.699997,132.660004
133.850006,2017-02-14,134.229996,132.550003
134.050003,2017-02-13,134.699997,133.699997
134.190002,2017-02-10,134.940002,133.679993
134.139999,2017-02-09,134.50,133.309998
134.199997,2017-02-08,134.440002,132.440002
131.839996,2017-02-07,133.00,131.660004
132.059998,2017-02-06,132.059998,130.300003
130.979996,2017-02-03,132.850006,130.759995
130.839996,2017-02-02,135.490005,130.399994
133.229996,2017-02-01,133.490005,130.679993
