Close_Price,Date,High,Low
8.84,2017-03-03,9.23,8.77
9.27,2017-03-02,9.56,9.26
9.42,2017-03-01,9.465,9.29
9.40,2017-02-28,9.60,9.38
9.66,2017-02-27,9.74,9.32
9.43,2017-02-24,9.57,9.32
9.57,2017-02-23,9.75,9.51
9.51,2017-02-22,9.60,9.35
9.46,2017-02-21,9.59,9.27
9.25,2017-02-17,9.33,9.12
9.33,2017-02-16,9.44,9.21
9.44,2017-02-15,9.49,9.20
9.17,2017-02-14,9.26,9.03
9.05,2017-02-13,9.09,8.93
8.90,2017-02-10,8.90,8.62
8.74,2017-02-09,8.98,8.72
8.84,2017-02-08,9.39,8.80
9.34,2017-02-07,9.65,9.33
9.51,2017-02-06,9.80,9.50
9.58,2017-02-03,9.85,9.40
10.97,2017-02-02,11.10,10.59
10.57,2017-02-01,10.95,10.50
10.75,2017-01-31,10.75,10.37
10.80,2017-01-30,10.88,9.85
10.07,2017-01-27,10.15,9.95
10.03,2017-01-26,10.20,9.96
10.00,2017-01-25,10.26,9.83
10.13,2017-01-24,10.44,9.81
9.40,2017-01-23,9.47,9.20
9.51,2017-01-20,9.55,9.19
9.17,2017-01-19,9.34,9.12
9.22,2017-01-18,9.47,9.12
9.42,2017-01-17,9.54,9.20
9.27,2017-01-13,9.42,9.17
9.15,2017-01-12,9.25,9.04
9.12,2017-01-11,9.21,9.02
9.02,2017-01-10,9.15,8.98
9.06,2017-01-09,9.25,9.00
9.07,2017-01-06,9.25,8.995
9.35,2017-01-05,9.55,9.06
9.02,2017-01-04,9.12,8.78
8.77,2017-01-03,8.97,8.67
8.71,2016-12-30,8.85,8.65
8.84,2016-12-29,8.97,8.71
8.95,2016-12-28,9.19,8.85
9.09,2016-12-27,9.28,9.02
9.19,2016-12-23,9.19,8.81
9.01,2016-12-22,9.60,8.75
8.90,2016-12-21,8.95,8.80
8.90,2016-12-20,9.12,8.87
8.92,2016-12-19,9.18,8.80
9.01,2016-12-16,9.60,8.69
8.69,2016-12-15,8.75,8.54
8.78,2016-12-14,8.96,8.75
8.82,2016-12-13,9.02,8.80
8.81,2016-12-12,9.35,8.75
9.23,2016-12-09,9.42,9.15
9.20,2016-12-08,9.39,9.01
9.37,2016-12-07,9.79,9.33
9.75,2016-12-06,9.79,9.61
9.66,2016-12-05,9.881,9.65
9.70,2016-12-02,10.02,9.59
9.82,2016-12-01,10.24,9.70
9.98,2016-11-30,10.40,9.98
9.83,2016-11-29,10.07,9.73
