Close_Price,Date,High,Low
35.900002,2017-03-03,36.09,35.669998
35.91,2017-03-02,36.02,35.650002
35.93,2017-03-01,36.099998,35.439999
36.200001,2017-02-28,36.459999,36.00
36.509998,2017-02-27,36.68,36.27
36.529999,2017-02-24,36.529999,35.950001
36.18,2017-02-23,36.299999,35.900002
36.07,2017-02-22,36.400002,35.790001
36.52,2017-02-21,36.650002,36.330002
36.48,2017-02-17,36.48,36.099998
36.41,2017-02-16,36.560001,36.099998
36.049999,2017-02-15,36.060001,35.669998
35.93,2017-02-14,35.959999,35.529999
35.799999,2017-02-13,35.849998,35.34
35.34,2017-02-10,35.43,34.84
35.459999,2017-02-09,36.50,35.400002
36.380001,2017-02-08,36.650002,36.139999
36.349998,2017-02-07,36.52,36.240002
36.27,2017-02-06,36.509998,36.150002
36.52,2017-02-03,36.82,36.450001
36.420001,2017-02-02,36.700001,36.200001
36.261136,2017-02-01,36.950001,36.02
36.559008,2017-01-31,37.369999,36.639999
37.154754,2017-01-30,37.84,37.330002
37.710786,2017-01-27,38.450001,37.810001
37.293765,2017-01-26,37.919998,37.419998
37.532061,2017-01-25,38.00,37.52
37.353337,2017-01-24,37.740002,36.810001
36.509364,2017-01-23,37.209999,36.549999
36.678157,2017-01-20,37.029999,36.580002
36.31078,2017-01-19,36.91,36.509998
36.499432,2017-01-18,37.009998,36.610001
36.53915,2017-01-17,36.830002,36.59
36.529222,2017-01-13,36.860001,36.619999
36.449787,2017-01-12,36.830002,36.32
36.688088,2017-01-11,37.00,36.509998
36.280994,2017-01-10,36.93,36.529999
36.350498,2017-01-09,36.889999,36.48
36.221418,2017-01-06,36.68,36.189999
36.092339,2017-01-05,36.720001,36.310001
36.151915,2017-01-04,36.77,36.34
36.340567,2017-01-03,36.93,36.27
36.012908,2016-12-30,36.799999,36.200001
36.400143,2016-12-29,36.720001,36.43
36.370357,2016-12-28,37.200001,36.580002
36.807236,2016-12-27,37.330002,36.91
36.707947,2016-12-23,36.98,36.77
36.668229,2016-12-22,37.240002,36.810001
36.717874,2016-12-21,37.349998,36.91
36.946243,2016-12-20,37.240002,36.889999
36.628512,2016-12-19,36.950001,36.27
36.052625,2016-12-16,36.869999,36.09
36.529222,2016-12-15,37.16,36.529999
36.290922,2016-12-14,36.889999,36.459999
36.53915,2016-12-13,36.889999,35.93
35.715035,2016-12-12,36.09,35.669998
35.506521,2016-12-09,35.900002,35.59
35.446948,2016-12-08,36.029999,35.220001
35.248365,2016-12-07,35.57,34.450001
34.473895,2016-12-06,34.75,34.299999
34.146233,2016-12-05,34.419998,33.970001
33.917863,2016-12-02,34.259998,33.599998
33.520697,2016-12-01,34.93,33.560001
34.454037,2016-11-30,35.299999,34.700001
35.059713,2016-11-29,35.639999,35.27
35.258293,2016-11-28,35.66,35.209999
35.188789,2016-11-25,35.450001,35.110001
34.950492,2016-11-23,35.52,35.099998
35.228507,2016-11-22,35.50,35.110001
34.732051,2016-11-21,35.200001,34.84
34.702265,2016-11-18,35.00,34.639999
34.771768,2016-11-17,35.02,34.630001
34.593044,2016-11-16,34.919998,34.540001
34.662547,2016-11-15,35.290001,34.610001
34.235595,2016-11-14,34.73,34.200001
34.364674,2016-11-11,34.869999,34.34
34.255454,2016-11-10,34.950001,34.029999
34.503681,2016-11-09,34.849998,33.669998
34.493754,2016-11-08,34.950001,34.490002
34.444105,2016-11-07,34.75,34.150002
33.371763,2016-11-04,33.93,33.419998
33.689494,2016-11-03,34.52,33.869999
34.096586,2016-11-02,34.900002,34.470001
34.017752,2016-11-01,35.16,34.27
34.362658,2016-10-31,35.080002,34.84
34.234552,2016-10-28,35.169998,34.709999
34.303533,2016-10-27,35.23,34.75
34.41193,2016-10-26,35.209999,34.740002
34.589311,2016-10-25,35.25,35.009998
34.746983,2016-10-24,35.490002,35.110001
34.638587,2016-10-21,35.400002,34.810001
34.914512,2016-10-20,35.669998,35.099998
34.993346,2016-10-19,36.09,35.23
37.200757,2016-10-18,38.049999,37.529999
36.74745,2016-10-17,37.720001,37.240002
36.905122,2016-10-14,37.700001,37.16
36.432106,2016-10-13,37.130001,36.459999
36.589778,2016-10-12,37.25,36.810001
36.727741,2016-10-11,38.00,36.82
37.466829,2016-10-10,38.360001,37.900002
37.545663,2016-10-07,38.220001,37.779999
37.5161,2016-10-06,38.16,37.580002
37.437266,2016-10-05,38.310001,37.639999
36.993813,2016-10-04,37.939999,37.330002
37.112066,2016-10-03,37.950001,37.529999
37.200757,2016-09-30,37.919998,37.439999
36.777013,2016-09-29,37.529999,37.00
36.895266,2016-09-28,37.50,37.150002
36.63905,2016-09-27,37.220001,36.630001
36.116763,2016-09-26,36.939999,36.599998
36.648903,2016-09-23,37.650002,37.119999
37.003666,2016-09-22,37.830002,37.439999
36.905122,2016-09-21,37.459999,36.860001
36.599631,2016-09-20,37.43,36.939999
36.619341,2016-09-19,38.02,37.09
37.121919,2016-09-16,38.049999,37.25
36.028072,2016-09-15,36.650002,35.540001
35.101746,2016-09-14,35.82,35.400002
35.091893,2016-09-13,35.880001,35.32
35.555056,2016-09-12,36.119999,35.060001
34.924365,2016-09-09,36.389999,35.439999
35.909815,2016-09-08,36.59,36.119999
35.929525,2016-09-07,36.650002,36.380001
36.037925,2016-09-06,36.599998,36.169998
35.555056,2016-09-02,36.330002,35.950001
35.495928,2016-09-01,36.040001,35.580002
35.367818,2016-08-31,35.900002,35.580002
35.180584,2016-08-30,35.740002,35.52
35.032765,2016-08-29,35.669998,35.150002
34.746983,2016-08-26,35.580002,35.049999
34.579458,2016-08-25,35.220001,34.900002
34.638587,2016-08-24,35.41,35.02
34.884949,2016-08-23,35.689999,35.299999
34.845531,2016-08-22,35.450001,35.119999
34.727277,2016-08-19,35.27,34.740002
34.461205,2016-08-18,35.09,34.75
34.510477,2016-08-17,35.209999,34.77
34.697711,2016-08-16,35.209999,34.77
34.402077,2016-08-15,35.16,34.630001
34.067024,2016-08-12,34.759998,34.439999
34.175424,2016-08-11,34.740002,34.490002
34.027605,2016-08-10,35.00,34.50
34.41193,2016-08-09,35.16,34.84
34.530187,2016-08-08,35.169998,34.860001
34.471058,2016-08-05,35.130001,34.700001
34.07688,2016-08-04,34.619999,34.220001
33.75168,2016-08-03,34.279999,33.990002
33.800954,2016-08-02,34.869999,34.330002
34.084582,2016-08-01,34.91,34.560001
34.094364,2016-07-29,34.919998,34.599998
34.006341,2016-07-28,34.830002,34.52
34.065024,2016-07-27,35.279999,34.630001
34.319312,2016-07-26,35.23,34.700001
33.928096,2016-07-25,34.759998,34.57
33.898756,2016-07-22,34.700001,34.259998
33.517322,2016-07-21,34.490002,33.860001
34.906133,2016-07-20,35.93,35.060001
34.377996,2016-07-19,35.16,34.849998
34.28019,2016-07-18,35.200001,34.950001
34.299751,2016-07-15,35.290001,34.900002
34.426897,2016-07-14,35.299999,34.959999
34.241067,2016-07-13,35.25,34.880001
34.172605,2016-07-12,34.970001,34.48
33.624907,2016-07-11,34.50,34.040001
33.253252,2016-07-08,34.00,33.50
32.470823,2016-07-07,33.549999,32.959999
32.245875,2016-07-06,33.00,32.380001
31.962244,2016-07-05,32.73,32.459999
32.030706,2016-07-01,32.889999,32.470001
32.079607,2016-06-30,32.880001,31.969999
31.228716,2016-06-29,31.98,31.309999
30.504969,2016-06-28,31.200001,30.809999
30.04529,2016-06-27,31.41,30.440001
30.857061,2016-06-24,32.32,31.40
32.265436,2016-06-23,33.00,32.50
31.58081,2016-06-22,32.630001,32.25
31.61015,2016-06-21,32.380001,32.09
31.463443,2016-06-20,32.439999,32.009998
31.06245,2016-06-17,31.809999,31.469999
30.993987,2016-06-16,31.77,31.219999
30.915745,2016-06-15,32.259998,31.59
31.434103,2016-06-14,32.240002,31.790001
31.463443,2016-06-13,32.50,32.040001
31.336301,2016-06-10,32.240002,31.65
31.238497,2016-06-09,32.00,31.68
31.189594,2016-06-08,32.00,31.790001
31.179813,2016-06-07,32.02,31.700001
30.984207,2016-06-06,31.82,31.58
30.925525,2016-06-03,31.74,31.40
31.06245,2016-06-02,31.76,31.450001
30.964646,2016-06-01,31.719999,31.469999
30.896183,2016-05-31,31.65,31.309999
30.876622,2016-05-27,31.65,31.450001
30.798379,2016-05-26,31.629999,31.40
30.700575,2016-05-25,31.57,31.15
30.377823,2016-05-24,31.120001,30.450001
29.566053,2016-05-23,30.48,30.129999
29.48781,2016-05-20,30.379999,29.700001
28.97923,2016-05-19,29.93,29.50
29.331324,2016-05-18,30.25,29.780001
29.321543,2016-05-17,30.57,29.860001
29.722538,2016-05-16,30.559999,29.879999
29.253081,2016-05-13,30.200001,29.84
29.106376,2016-05-12,30.24,29.57
29.399786,2016-05-11,30.25,29.969999
29.478029,2016-05-10,30.18,29.82
29.145497,2016-05-09,30.17,29.76
29.380227,2016-05-06,30.110001,29.52
29.243301,2016-05-05,30.02,29.75
29.194399,2016-05-04,30.209999,29.700001
29.438908,2016-05-03,30.559999,30.09
29.681324,2016-05-02,30.690001,30.360001
29.361336,2016-04-29,30.870001,30.10
30.166154,2016-04-28,31.709999,31.030001
30.786737,2016-04-27,31.799999,31.190001
30.447355,2016-04-26,31.700001,31.17
30.437658,2016-04-25,31.50,31.200001
30.680073,2016-04-22,31.860001,31.219999
31.000061,2016-04-21,32.060001,31.809999
31.029152,2016-04-20,32.259998,31.25
30.641288,2016-04-19,31.809999,31.40
30.68977,2016-04-18,31.719999,31.379999
30.505534,2016-04-15,31.889999,31.379999
30.835219,2016-04-14,31.889999,31.549999
31.155209,2016-04-13,32.18,31.950001
30.8934,2016-04-12,31.940001,31.379999
30.709164,2016-04-11,32.34,31.66
30.670377,2016-04-08,32.02,31.48
30.592804,2016-04-07,31.90,31.35
31.106727,2016-04-06,32.23,31.77
30.932185,2016-04-05,32.119999,31.719999
31.029152,2016-04-04,32.380001,31.74
31.4655,2016-04-01,32.470001,32.099998
31.368532,2016-03-31,32.66,32.32
31.71761,2016-03-30,32.75,32.290001
31.397624,2016-03-29,32.439999,31.73
30.932185,2016-03-28,32.00,31.620001
30.912792,2016-03-24,31.950001,31.700001
31.029152,2016-03-23,32.470001,31.98
31.339443,2016-03-22,32.459999,31.950001
31.358837,2016-03-21,32.419998,31.950001
31.688522,2016-03-18,32.689999,32.060001
31.009758,2016-03-17,32.169998,31.700001
30.728558,2016-03-16,31.799999,31.17
30.68977,2016-03-15,31.65,31.059999
30.476445,2016-03-14,31.690001,31.299999
30.796433,2016-03-11,31.790001,31.530001
30.301906,2016-03-10,31.40,30.379999
29.933436,2016-03-09,31.040001,30.67
29.63284,2016-03-08,30.879999,30.379999
30.001312,2016-03-07,31.120001,30.50
29.700716,2016-03-04,30.860001,30.049999
29.652233,2016-03-03,31.35,30.540001
