Close_Price,Date,High,Low
139.139999,2017-03-03,140.910004,138.259995
139.529999,2017-03-02,142.699997,139.089996
142.649994,2017-03-01,143.259995,142.100006
142.130005,2017-02-28,143.570007,141.850006
143.410004,2017-02-27,143.919998,142.380005
143.25,2017-02-24,143.559998,141.550003
142.779999,2017-02-23,144.490005,141.520004
143.860001,2017-02-22,144.00,142.169998
142.600006,2017-02-21,143.380005,141.809998
142.220001,2017-02-17,142.899994,141.270004
142.009995,2017-02-16,142.440002,141.070007
142.270004,2017-02-15,142.429993,140.509995
140.820007,2017-02-14,144.110001,140.050003
143.199997,2017-02-13,145.949997,143.050003
144.820007,2017-02-10,145.300003,143.970001
144.139999,2017-02-09,145.089996,143.580002
144.740005,2017-02-08,145.070007,142.559998
144.00,2017-02-07,144.279999,141.050003
140.970001,2017-02-06,141.00,139.160004
140.25,2017-02-03,140.639999,139.100006
139.199997,2017-02-02,141.039993,139.050003
140.779999,2017-02-01,142.410004,139.300003
140.710007,2017-01-31,141.830002,139.699997
141.220001,2017-01-30,141.970001,138.800003
142.449997,2017-01-27,142.490005,139.00
138.960007,2017-01-26,141.210007,138.509995
139.520004,2017-01-25,141.389999,139.050003
140.110001,2017-01-24,140.929993,137.029999
137.389999,2017-01-23,139.490005,137.309998
138.600006,2017-01-20,140.789993,137.660004
138.410004,2017-01-19,143.460007,138.25
133.259995,2017-01-18,133.649994,131.059998
132.889999,2017-01-17,135.399994,132.089996
133.699997,2017-01-13,133.929993,130.580002
129.179993,2017-01-12,130.850006,128.50
130.50,2017-01-11,131.50,129.25
129.889999,2017-01-10,132.220001,129.289993
130.949997,2017-01-09,131.990005,129.889999
131.070007,2017-01-06,133.880005,129.809998
131.809998,2017-01-05,132.75,128.899994
129.410004,2017-01-04,130.169998,126.550003
127.489998,2017-01-03,128.190002,124.309998
123.800003,2016-12-30,126.57,123.599998
125.330002,2016-12-29,126.139999,124.199997
125.889999,2016-12-28,129.070007,125.760002
128.350006,2016-12-27,129.050003,125.699997
125.589996,2016-12-23,126.279999,125.080002
125.580002,2016-12-22,127.50,125.18
126.50,2016-12-21,127.739998,125.00
125.120003,2016-12-20,126.300003,124.639999
125.449997,2016-12-19,126.440002,122.870003
124.220001,2016-12-16,126.68,124.010002
125.00,2016-12-15,127.43,122.949997
123.440002,2016-12-14,124.400002,122.50
123.779999,2016-12-13,125.089996,122.779999
122.830002,2016-12-12,124.029999,122.300003
122.879997,2016-12-09,124.300003,121.730003
123.239998,2016-12-08,126.349998,122.160004
125.389999,2016-12-07,125.75,123.25
124.57,2016-12-06,124.790001,119.419998
119.160004,2016-12-05,120.75,118.400002
120.809998,2016-12-02,120.980003,116.75
117.220001,2016-12-01,118.68,113.949997
117.00,2016-11-30,120.370003,116.389999
117.510002,2016-11-29,119.18,117.129997
116.93,2016-11-28,117.620003,115.709999
117.410004,2016-11-25,118.389999,117.18
117.690002,2016-11-23,118.889999,117.309998
118.040001,2016-11-22,119.459999,116.980003
117.959999,2016-11-21,118.720001,116.190002
115.209999,2016-11-18,116.419998,113.510002
115.029999,2016-11-17,116.809998,113.559998
115.190002,2016-11-16,116.120003,111.809998
113.589996,2016-11-15,116.410004,113.089996
