Close_Price,Date,High,Low
251.570007,2017-03-03,251.899994,249.00
250.479996,2017-03-02,253.279999,248.270004
250.020004,2017-03-01,254.850006,249.110001
249.990005,2017-02-28,251.00,243.899994
246.229996,2017-02-27,248.360001,242.009995
257.00,2017-02-24,258.25,250.199997
255.990005,2017-02-23,264.660004,255.559998
273.51001,2017-02-22,283.450012,272.600006
277.390015,2017-02-21,281.399994,274.01001
272.230011,2017-02-17,272.890015,264.149994
268.950012,2017-02-16,280.00,268.50
279.76001,2017-02-15,282.23999,276.440002
280.980011,2017-02-14,287.390015,278.609985
280.600006,2017-02-13,280.790009,270.51001
269.230011,2017-02-10,270.950012,266.109985
269.200012,2017-02-09,271.179993,266.149994
262.079987,2017-02-08,263.359985,256.200012
257.480011,2017-02-07,260.00,256.420013
257.769989,2017-02-06,257.820007,250.630005
251.330002,2017-02-03,252.179993,249.679993
251.550003,2017-02-02,252.419998,247.710007
249.240005,2017-02-01,253.199997,249.050003
251.929993,2017-01-31,255.889999,247.699997
250.630005,2017-01-30,255.289993,247.100006
252.949997,2017-01-27,253.00,248.520004
252.509995,2017-01-26,255.740005,250.75
254.470001,2017-01-25,258.459991,251.800003
254.610001,2017-01-24,254.800003,249.649994
248.919998,2017-01-23,250.889999,245.50
244.729996,2017-01-20,246.00,243.009995
243.759995,2017-01-19,248.679993,240.75
238.360001,2017-01-18,239.710007,235.580002
235.580002,2017-01-17,239.960007,234.369995
237.75,2017-01-13,237.850006,229.589996
229.589996,2017-01-12,230.699997,225.580002
229.729996,2017-01-11,229.979996,226.679993
229.869995,2017-01-10,232.00,226.889999
231.279999,2017-01-09,231.919998,228.00
229.009995,2017-01-06,230.309998,225.449997
226.75,2017-01-05,227.479996,221.949997
226.990005,2017-01-04,228.00,214.309998
216.990005,2017-01-03,220.330002,210.960007
213.690002,2016-12-30,217.50,211.679993
214.679993,2016-12-29,219.199997,214.119995
219.740005,2016-12-28,223.800003,217.199997
219.529999,2016-12-27,222.25,214.419998
213.339996,2016-12-23,213.449997,207.710007
208.449997,2016-12-22,209.990005,206.50
207.699997,2016-12-21,212.229996,207.410004
208.789993,2016-12-20,209.00,202.50
202.729996,2016-12-19,204.449997,199.839996
202.490005,2016-12-16,202.589996,197.600006
197.580002,2016-12-15,200.740005,197.389999
198.690002,2016-12-14,203.00,196.759995
198.149994,2016-12-13,201.279999,193.00
192.429993,2016-12-12,194.419998,191.179993
192.179993,2016-12-09,193.839996,190.809998
192.289993,2016-12-08,192.50,189.539993
193.149994,2016-12-07,193.399994,185.00
185.850006,2016-12-06,186.580002,182.679993
186.800003,2016-12-05,188.889999,182.509995
181.470001,2016-12-02,184.880005,180.00
181.880005,2016-12-01,188.529999,181.00
189.399994,2016-11-30,191.889999,187.50
189.570007,2016-11-29,196.729996,189.50
196.119995,2016-11-28,199.350006,194.550003
196.649994,2016-11-25,197.240005,193.639999
193.139999,2016-11-23,195.639999,189.00
191.169998,2016-11-22,191.470001,183.710007
184.520004,2016-11-21,188.889999,184.410004
185.020004,2016-11-18,193.00,185.00
188.660004,2016-11-17,189.490005,182.110001
183.929993,2016-11-16,184.729996,181.210007
183.770004,2016-11-15,186.429993,182.050003
181.449997,2016-11-14,188.25,178.190002
188.559998,2016-11-11,188.880005,183.00
185.350006,2016-11-10,191.610001,180.419998
190.059998,2016-11-09,192.00,183.949997
194.940002,2016-11-08,197.490005,191.259995
193.210007,2016-11-07,194.289993,190.050003
190.559998,2016-11-04,193.460007,185.960007
187.419998,2016-11-03,191.470001,187.039993
188.020004,2016-11-02,192.699997,187.509995
190.789993,2016-11-01,198.50,188.110001
197.729996,2016-10-31,202.490005,195.809998
199.970001,2016-10-28,205.320007,199.830002
204.009995,2016-10-27,213.699997,201.649994
202.240005,2016-10-26,203.190002,200.100006
202.339996,2016-10-25,204.690002,201.199997
202.759995,2016-10-24,203.949997,200.25
200.089996,2016-10-21,201.570007,197.410004
199.100006,2016-10-20,203.00,197.050003
203.559998,2016-10-19,206.660004,198.059998
199.100006,2016-10-18,199.470001,193.259995
193.960007,2016-10-17,198.389999,192.00
196.509995,2016-10-14,201.429993,196.300003
200.240005,2016-10-13,200.899994,197.050003
201.509995,2016-10-12,203.880005,200.419998
200.100006,2016-10-11,202.199997,198.309998
200.949997,2016-10-10,204.139999,199.660004
196.610001,2016-10-07,201.320007,195.800003
201.00,2016-10-06,204.210007,200.210007
208.460007,2016-10-05,213.149994,208.119995
211.410004,2016-10-04,213.320007,208.820007
213.699997,2016-10-03,215.669998,208.25
204.029999,2016-09-30,204.979996,199.550003
200.699997,2016-09-29,207.330002,200.580002
206.270004,2016-09-28,208.25,205.259995
205.809998,2016-09-27,209.979996,204.610001
208.990005,2016-09-26,211.00,206.50
207.449997,2016-09-23,210.179993,205.669998
206.429993,2016-09-22,207.279999,203.00
205.220001,2016-09-21,207.00,201.559998
204.639999,2016-09-20,207.75,203.910004
206.339996,2016-09-19,209.429993,205.00
205.399994,2016-09-16,205.699997,199.00
200.419998,2016-09-15,202.520004,196.399994
196.410004,2016-09-14,197.919998,194.860001
196.050003,2016-09-13,198.490005,193.449997
198.300003,2016-09-12,201.369995,194.100006
194.470001,2016-09-09,199.919998,193.699997
197.360001,2016-09-08,199.889999,196.360001
201.710007,2016-09-07,206.50,200.710007
202.830002,2016-09-06,203.25,199.00
197.779999,2016-09-02,203.199997,196.199997
200.770004,2016-09-01,211.100006,200.50
212.009995,2016-08-31,212.600006,208.649994
211.339996,2016-08-30,216.110001,210.520004
215.199997,2016-08-29,220.399994,215.00
219.990005,2016-08-26,222.860001,218.820007
220.960007,2016-08-25,223.800003,220.770004
222.619995,2016-08-24,227.149994,222.220001
224.839996,2016-08-23,228.490005,222.800003
222.929993,2016-08-22,225.110001,222.679993
225.00,2016-08-19,225.169998,222.529999
223.509995,2016-08-18,225.660004,222.289993
223.240005,2016-08-17,224.830002,222.800003
223.610001,2016-08-16,227.190002,223.410004
225.589996,2016-08-15,229.50,224.929993
225.610001,2016-08-12,226.649994,224.039993
224.910004,2016-08-11,227.570007,223.410004
225.649994,2016-08-10,229.869995,224.619995
229.080002,2016-08-09,231.539993,226.649994
226.160004,2016-08-08,229.600006,226.089996
230.029999,2016-08-05,232.00,227.399994
230.610001,2016-08-04,230.860001,222.050003
225.789993,2016-08-03,229.699997,224.210007
227.199997,2016-08-02,229.869995,221.399994
230.009995,2016-08-01,236.630005,229.380005
234.789993,2016-07-29,235.279999,230.240005
230.610001,2016-07-28,230.759995,226.600006
228.490005,2016-07-27,233.360001,226.919998
229.509995,2016-07-26,230.00,225.300003
230.009995,2016-07-25,231.389999,221.369995
222.270004,2016-07-22,224.50,218.880005
220.50,2016-07-21,227.850006,219.100006
228.360001,2016-07-20,229.800003,225.00
225.259995,2016-07-19,229.100006,224.75
226.25,2016-07-18,227.089996,218.300003
220.399994,2016-07-15,222.75,219.639999
221.529999,2016-07-14,224.940002,221.050003
222.529999,2016-07-13,225.589996,220.289993
224.649994,2016-07-12,227.50,223.220001
224.779999,2016-07-11,226.779999,219.509995
216.779999,2016-07-08,219.809998,214.50
215.940002,2016-07-07,218.119995,213.009995
214.440002,2016-07-06,215.229996,209.00
213.979996,2016-07-05,214.539993,208.00
216.50,2016-07-01,218.240005,206.00
212.279999,2016-06-30,213.50,209.020004
210.190002,2016-06-29,211.779999,203.00
201.789993,2016-06-28,204.050003,199.410004
198.550003,2016-06-27,198.809998,187.869995
193.149994,2016-06-24,195.119995,189.729996
196.399994,2016-06-23,197.550003,192.130005
196.660004,2016-06-22,205.949997,195.75
219.610001,2016-06-21,222.570007,218.809998
219.699997,2016-06-20,223.75,218.229996
215.470001,2016-06-17,219.990005,214.50
217.929993,2016-06-16,218.039993,213.50
217.699997,2016-06-15,221.899994,215.130005
214.960007,2016-06-14,222.199997,212.529999
217.869995,2016-06-13,225.770004,217.660004
218.789993,2016-06-10,227.970001,218.419998
229.360001,2016-06-09,235.330002,227.059998
235.520004,2016-06-08,240.850006,232.610001
232.339996,2016-06-07,234.440002,221.520004
220.679993,2016-06-06,220.899994,215.449997
218.990005,2016-06-03,221.940002,218.009995
218.960007,2016-06-02,219.910004,217.110001
219.559998,2016-06-01,222.399994,216.889999
223.229996,2016-05-31,224.75,221.50
223.039993,2016-05-27,225.929993,220.75
225.119995,2016-05-26,225.259995,219.050003
219.580002,2016-05-25,221.360001,216.509995
217.910004,2016-05-24,218.740005,215.179993
216.220001,2016-05-23,222.600006,215.860001
220.279999,2016-05-20,220.550003,216.350006
215.210007,2016-05-19,216.789993,207.300003
211.169998,2016-05-18,215.309998,207.75
204.660004,2016-05-17,209.820007,204.020004
208.289993,2016-05-16,213.149994,207.919998
207.610001,2016-05-13,211.199997,206.699997
207.279999,2016-05-12,211.669998,203.660004
208.960007,2016-05-11,215.479996,206.050003
208.690002,2016-05-10,209.470001,205.00
208.919998,2016-05-09,216.149994,206.800003
214.929993,2016-05-06,216.369995,208.110001
211.529999,2016-05-05,228.639999,209.789993
222.559998,2016-05-04,234.460007,220.399994
232.320007,2016-05-03,238.910004,231.619995
241.800003,2016-05-02,243.190002,234.820007
240.759995,2016-04-29,248.429993,237.809998
247.710007,2016-04-28,253.429993,247.440002
251.470001,2016-04-27,255.00,249.399994
253.740005,2016-04-26,255.729996,249.389999
251.820007,2016-04-25,257.380005,250.759995
253.75,2016-04-22,254.00,245.710007
248.289993,2016-04-21,250.899994,246.910004
249.970001,2016-04-20,253.660004,241.50
247.369995,2016-04-19,254.369995,241.25
253.880005,2016-04-18,258.309998,251.660004
