Close_Price,Date,High,Low
15.75,2017-03-03,16.10,15.68
15.79,2017-03-02,16.00,15.72
15.79,2017-03-01,15.90,15.59
15.77,2017-02-28,16.040001,15.74
16.059999,2017-02-27,16.129999,15.72
15.98,2017-02-24,15.99,15.85
16.030001,2017-02-23,16.27,15.90
16.08,2017-02-22,16.51,16.01
16.42,2017-02-21,16.690001,16.299999
16.620001,2017-02-17,16.629999,16.360001
16.35,2017-02-16,16.790001,16.32
16.74,2017-02-15,16.889999,16.299999
16.52,2017-02-14,16.60,15.85
15.81,2017-02-13,15.99,15.51
15.58,2017-02-10,16.00,15.50
16.41,2017-02-09,18.719999,16.26
18.719999,2017-02-08,18.77,18.049999
18.26,2017-02-07,18.67,17.99
17.93,2017-02-06,17.969999,17.41
17.610001,2017-02-03,17.85,17.440001
17.780001,2017-02-02,17.860001,17.120001
17.24,2017-02-01,17.92,17.10
17.620001,2017-01-31,17.74,16.91
16.940001,2017-01-30,17.10,16.41
16.57,2017-01-27,16.969999,16.530001
16.809999,2017-01-26,17.07,16.790001
16.73,2017-01-25,16.790001,16.59
16.52,2017-01-24,16.66,16.33
16.610001,2017-01-23,16.809999,16.459999
16.58,2017-01-20,16.90,16.459999
16.790001,2017-01-19,17.15,16.75
17.110001,2017-01-18,17.139999,16.83
16.959999,2017-01-17,17.09,16.860001
17.25,2017-01-13,17.66,17.23
17.379999,2017-01-12,17.389999,16.959999
17.299999,2017-01-11,17.60,17.17
17.370001,2017-01-10,17.780001,17.32
17.50,2017-01-09,17.559999,17.190001
17.17,2017-01-06,17.43,17.110001
17.09,2017-01-05,17.27,16.799999
16.860001,2017-01-04,16.940001,16.50
16.440001,2017-01-03,16.450001,16.209999
16.299999,2016-12-30,16.57,16.219999
16.389999,2016-12-29,16.65,16.299999
16.389999,2016-12-28,16.73,16.290001
16.610001,2016-12-27,16.870001,16.42
16.50,2016-12-23,16.67,16.16
16.41,2016-12-22,16.889999,16.27
17.08,2016-12-21,17.549999,17.01
17.92,2016-12-20,18.32,17.870001
18.24,2016-12-19,18.700001,18.219999
18.629999,2016-12-16,18.889999,18.530001
18.790001,2016-12-15,19.15,18.709999
18.93,2016-12-14,19.620001,18.889999
19.370001,2016-12-13,19.59,18.940001
18.93,2016-12-12,19.700001,18.90
19.65,2016-12-09,19.84,19.379999
19.639999,2016-12-08,19.709999,19.08
19.48,2016-12-07,19.549999,18.200001
18.23,2016-12-06,18.50,18.129999
18.23,2016-12-05,18.360001,17.870001
17.93,2016-12-02,18.16,17.860001
18.030001,2016-12-01,18.83,17.74
18.49,2016-11-30,18.799999,18.18
18.190001,2016-11-29,18.68,18.129999
18.299999,2016-11-28,18.299999,17.85
18.059999,2016-11-25,18.309999,18.030001
18.219999,2016-11-23,18.59,18.08
18.629999,2016-11-22,18.870001,18.51
18.60,2016-11-21,18.91,18.59
18.73,2016-11-18,18.91,18.639999
18.549999,2016-11-17,18.959999,18.530001
18.629999,2016-11-16,19.15,18.59
18.98,2016-11-15,19.51,18.91
19.139999,2016-11-14,19.200001,18.50
18.549999,2016-11-11,18.73,18.07
18.370001,2016-11-10,19.299999,18.030001
19.129999,2016-11-09,19.24,17.91
18.379999,2016-11-08,18.559999,17.77
18.41,2016-11-07,18.690001,18.110001
18.02,2016-11-04,18.34,17.50
17.58,2016-11-03,17.860001,17.26
17.610001,2016-11-02,17.950001,17.379999
17.49,2016-11-01,18.00,17.26
17.950001,2016-10-31,18.040001,17.639999
17.66,2016-10-28,18.00,17.50
17.40,2016-10-27,18.120001,17.07
17.290001,2016-10-26,17.66,17.17
17.26,2016-10-25,17.84,17.15
18.030001,2016-10-24,18.370001,17.49
18.09,2016-10-21,18.35,16.74
16.90,2016-10-20,17.07,16.82
17.07,2016-10-19,17.26,16.879999
16.83,2016-10-18,17.129999,16.790001
16.73,2016-10-17,16.98,16.43
16.879999,2016-10-14,18.049999,16.280001
17.790001,2016-10-13,17.99,17.67
18.049999,2016-10-12,18.190001,17.809999
18.00,2016-10-11,18.200001,17.65
17.559999,2016-10-10,18.24,16.93
19.85,2016-10-07,20.530001,19.65
19.870001,2016-10-06,21.00,19.60
24.870001,2016-10-05,25.25,24.129999
23.52,2016-10-04,23.790001,23.34
24.00,2016-10-03,24.25,23.459999
23.049999,2016-09-30,23.25,22.82
23.01,2016-09-29,23.360001,22.860001
22.959999,2016-09-28,23.629999,22.440001
23.719999,2016-09-27,23.98,22.90
23.370001,2016-09-26,23.57,21.65
22.620001,2016-09-23,22.889999,21.110001
18.629999,2016-09-22,18.92,18.440001
18.49,2016-09-21,18.50,18.129999
18.389999,2016-09-20,18.639999,18.23
18.360001,2016-09-19,19.24,18.280001
19.110001,2016-09-16,19.25,18.74
18.299999,2016-09-15,18.42,18.059999
18.08,2016-09-14,18.389999,17.90
17.76,2016-09-13,18.10,17.52
18.15,2016-09-12,18.24,17.68
18.110001,2016-09-09,18.82,17.92
18.700001,2016-09-08,19.309999,18.59
19.870001,2016-09-07,20.65,19.799999
19.93,2016-09-06,20.139999,19.48
19.549999,2016-09-02,19.870001,19.35
19.50,2016-09-01,20.139999,19.27
19.209999,2016-08-31,19.60,18.379999
18.379999,2016-08-30,18.690001,18.32
18.469999,2016-08-29,18.549999,18.299999
18.299999,2016-08-26,18.530001,18.10
18.32,2016-08-25,18.65,18.23
18.25,2016-08-24,18.969999,18.200001
18.690001,2016-08-23,18.93,18.65
18.549999,2016-08-22,18.959999,18.52
18.98,2016-08-19,19.309999,18.76
19.00,2016-08-18,19.60,18.92
20.17,2016-08-17,20.440001,19.90
20.40,2016-08-16,20.790001,20.290001
20.860001,2016-08-15,21.10,19.83
19.540001,2016-08-12,19.709999,19.01
19.780001,2016-08-11,19.83,19.110001
19.040001,2016-08-10,19.57,18.559999
18.68,2016-08-09,18.790001,17.969999
18.200001,2016-08-08,18.48,17.93
18.26,2016-08-05,18.58,18.139999
18.129999,2016-08-04,18.309999,17.360001
17.610001,2016-08-03,17.879999,16.33
16.42,2016-08-02,16.700001,16.200001
16.639999,2016-08-01,16.85,16.40
16.639999,2016-07-29,16.74,16.24
16.309999,2016-07-28,16.34,15.88
15.77,2016-07-27,16.59,15.69
18.450001,2016-07-26,18.65,18.16
18.65,2016-07-25,18.700001,18.17
18.370001,2016-07-22,18.389999,17.76
18.389999,2016-07-21,18.799999,18.35
18.559999,2016-07-20,18.76,18.450001
18.33,2016-07-19,18.90,18.27
18.65,2016-07-18,18.75,18.049999
18.08,2016-07-15,18.18,17.809999
17.959999,2016-07-14,18.280001,17.91
17.74,2016-07-13,18.32,17.50
18.10,2016-07-12,18.379999,17.92
17.709999,2016-07-11,17.879999,17.52
18.08,2016-07-08,18.16,17.469999
17.370001,2016-07-07,17.68,17.24
17.200001,2016-07-06,17.34,16.809999
17.139999,2016-07-05,17.280001,16.76
17.280001,2016-07-01,17.50,16.90
16.91,2016-06-30,17.00,16.73
16.83,2016-06-29,17.01,16.43
16.42,2016-06-28,16.639999,16.16
15.84,2016-06-27,16.40,15.46
16.440001,2016-06-24,16.90,16.200001
17.040001,2016-06-23,17.07,16.280001
16.129999,2016-06-22,16.32,16.049999
16.32,2016-06-21,16.559999,16.17
16.34,2016-06-20,16.639999,16.15
16.10,2016-06-17,16.370001,15.96
15.87,2016-06-16,15.95,15.40
15.96,2016-06-15,16.440001,15.71
15.36,2016-06-14,15.42,14.80
14.55,2016-06-13,15.30,14.51
14.02,2016-06-10,14.45,14.00
14.60,2016-06-09,14.86,14.59
14.95,2016-06-08,15.12,14.81
15.00,2016-06-07,15.37,14.91
15.27,2016-06-06,15.45,15.18
15.20,2016-06-03,15.35,14.96
15.20,2016-06-02,15.26,14.85
15.02,2016-06-01,15.22,14.62
15.22,2016-05-31,15.49,15.08
15.10,2016-05-27,15.10,14.23
14.30,2016-05-26,14.48,14.19
14.41,2016-05-25,14.57,14.06
14.03,2016-05-24,14.22,13.73
14.41,2016-05-23,14.60,14.33
14.43,2016-05-20,14.51,14.16
14.15,2016-05-19,14.31,14.04
14.14,2016-05-18,14.57,14.05
14.34,2016-05-17,14.59,14.13
14.29,2016-05-16,14.37,14.06
14.10,2016-05-13,14.28,14.00
14.08,2016-05-12,14.68,14.00
14.59,2016-05-11,14.86,14.44
14.63,2016-05-10,14.69,14.16
14.20,2016-05-09,14.47,14.15
14.40,2016-05-06,14.40,13.98
14.12,2016-05-05,14.98,14.08
14.84,2016-05-04,14.88,13.92
14.01,2016-05-03,14.25,13.90
14.40,2016-05-02,14.77,14.17
14.62,2016-04-29,14.93,14.32
14.64,2016-04-28,15.09,14.62
14.86,2016-04-27,15.28,14.81
17.75,2016-04-26,17.98,17.08
17.09,2016-04-25,17.75,16.879999
17.23,2016-04-22,17.51,17.02
17.51,2016-04-21,17.77,17.42
17.40,2016-04-20,17.52,16.90
16.92,2016-04-19,17.389999,16.68
17.309999,2016-04-18,17.719999,17.059999
17.58,2016-04-15,17.91,17.309999
17.530001,2016-04-14,17.700001,17.139999
17.370001,2016-04-13,17.40,16.68
16.57,2016-04-12,16.77,16.15
16.51,2016-04-11,16.98,16.41
16.65,2016-04-08,17.25,16.41
16.98,2016-04-07,17.59,16.85
17.26,2016-04-06,17.48,16.90
17.049999,2016-04-05,17.83,16.889999
17.09,2016-04-04,17.540001,15.96
15.98,2016-04-01,16.43,15.83
16.549999,2016-03-31,16.84,16.209999
16.360001,2016-03-30,16.719999,16.01
15.97,2016-03-29,15.99,15.33
15.60,2016-03-28,16.01,15.40
15.91,2016-03-24,15.99,15.57
16.01,2016-03-23,16.91,16.01
16.860001,2016-03-22,17.01,16.700001
16.889999,2016-03-21,17.049999,16.68
16.85,2016-03-18,17.379999,16.76
16.85,2016-03-17,17.15,16.620001
16.700001,2016-03-16,16.77,16.129999
16.190001,2016-03-15,17.040001,16.139999
17.120001,2016-03-14,17.32,16.790001
16.809999,2016-03-11,16.940001,16.459999
16.610001,2016-03-10,17.77,16.379999
17.66,2016-03-09,18.74,17.52
18.33,2016-03-08,19.15,18.33
19.17,2016-03-07,19.73,18.77
19.360001,2016-03-04,20.32,19.059999
19.309999,2016-03-03,19.440001,18.48
