Date,MA,Price,lower,upper
2016-01-04,,105.349998,,
2016-01-05,,102.709999,,
2016-01-06,,100.699997,,
2016-01-07,,96.449997,,
2016-01-08,,96.959999,,
2016-01-11,,98.529999,,
2016-01-12,,99.959999,,
2016-01-13,,97.389999,,
2016-01-14,,99.519997,,
2016-01-15,,97.129997,,
2016-01-19,,96.660004,,
2016-01-20,,96.790001,,
2016-01-21,,96.300003,,
2016-01-22,,101.419998,,
2016-01-25,,99.440002,,
2016-01-26,,99.989998,,
2016-01-27,,93.419998,,
2016-01-28,,94.089996,,
2016-01-29,,97.339996,,
2016-02-01,98.32899885,96.43,95.4689053707,101.189092329
2016-02-02,97.7854991,94.480003,95.3249144463,100.246083754
2016-02-03,97.46749905,96.349998,95.2811473252,99.6538507748
2016-02-04,97.2624991,96.599998,95.2068834423,99.3181147577
2016-02-05,97.1409991,94.019997,94.9664577192,99.3155404808
2016-02-08,97.04349925,95.010002,94.8173125493,99.2696859507
2016-02-09,96.8664992,94.989998,94.6240517257,99.1089466743
2016-02-10,96.5819991,94.269997,94.3923569837,98.7716412163
2016-02-11,96.397499,93.699997,94.1256068385,98.6693911615
2016-02-12,96.12099905,93.989998,93.9135307604,98.3284673396
2016-02-16,96.09649915,96.639999,93.8981183114,98.2948799886
2016-02-17,96.1694991,98.120003,93.9276115238,98.4113866762
2016-02-18,96.14299915,96.260002,93.9057044796,98.3802938204
2016-02-19,96.12999905,96.040001,93.892909308,98.367088792
2016-02-22,95.902999,96.879997,94.0302769825,97.7757210175
2016-02-23,95.665499,94.690002,93.9723624861,97.3586355139
2016-02-24,95.470999,96.099998,94.109915712,96.832082288
2016-02-25,95.6379992,96.760002,94.338291765,96.937706635
2016-02-26,95.7789996,96.910004,94.5033241553,97.0546750447
2016-02-29,95.7464999,96.690002,94.5048604921,96.9881393079
2016-03-01,95.95149985,100.529999,94.3152993149,97.5877003851
2016-03-02,96.2649997,100.75,94.3488556935,98.1811437065
2016-03-03,96.5224998,101.5,94.2766565447,98.7683430553
2016-03-04,96.843,103.010002,94.1689561681,99.5170438319
2016-03-07,97.2355003,101.870003,94.4249938707,100.046006729
2016-03-08,97.53650015,101.029999,94.655406234,100.417594066
2016-03-09,97.8430004,101.120003,94.9212911642,100.764709636
2016-03-10,98.18800045,101.169998,95.3032549869,101.072745913
2016-03-11,98.6160007,102.260002,95.7979320376,101.434069362
2016-03-14,99.04250065,102.519997,96.3174516334,101.767549667
2016-03-15,99.4395008,104.580002,96.5120295061,102.366972094
2016-03-16,99.8320007,105.970001,96.582248399,103.081753001
2016-03-17,100.30900075,105.800003,96.9142353823,103.703766118
2016-03-18,100.8030006,105.919998,97.3438980364,104.262103164
2016-03-21,101.25450095,105.910004,97.7454382807,104.763563619
2016-03-22,101.8560009,106.720001,98.5038617867,105.208140013
2016-03-23,102.35750085,106.129997,99.1653614474,105.549640253
2016-03-24,102.80300065,105.669998,99.81815676,105.78784454
2016-03-28,103.21700055,105.190002,100.533532493,105.900468607
2016-03-29,103.76650045,107.68,101.381275461,106.151725439
2016-03-30,104.2180004,109.559998,101.631504143,106.804496657
2016-03-31,104.6300003,108.989998,101.969773254,107.290227346
2016-04-01,105.0545002,109.989998,102.246728833,107.862271567
2016-04-04,105.46000025,111.120003,102.389685964,108.530314536
2016-04-05,105.857,109.809998,102.762080644,108.951919356
2016-04-06,106.3535,110.959999,103.277254803,109.429745197
2016-04-07,106.7244999,108.540001,103.873453158,109.575546642
2016-04-08,107.0990002,108.660004,104.5388855,109.6591149
2016-04-11,107.43699995,109.019997,105.114127332,109.759872568
2016-04-12,107.8330002,110.440002,105.727571301,109.938429099
2016-04-13,108.20600015,112.040001,106.04707662,110.36492368
2016-04-14,108.5125,112.099998,106.254849274,110.770150726
2016-04-15,108.71499975,109.849998,106.533089829,110.896909671
2016-04-18,108.793,107.480003,106.689802077,110.896197923
2016-04-19,108.843,106.910004,106.800949991,110.885050009
2016-04-20,108.8634998,107.129997,106.841928677,110.885070923
2016-04-21,108.8555,105.970001,106.822259598,110.888740402
2016-04-22,108.8560001,105.68,106.823583385,110.888416815
2016-04-25,108.8505001,105.080002,106.807519165,110.893481035
