ADX,DI_minus,DI_plus,date
48.7547998918,17.3751032009,9.06996409474,2016-01-26
50.6050543963,32.1183318823,7.72431360644,2016-01-27
52.7452097588,31.3598312432,6.59527782215,2016-01-28
50.2486667885,26.8341535944,12.7892776284,2016-01-29
48.1356148389,23.0036599506,10.9636472245,2016-02-01
48.2055789623,27.2357252169,9.41321517347,2016-02-02
46.8291359751,23.4150457664,10.4232901324,2016-02-03
44.4385869653,20.15300504,10.9305969584,2016-02-04
44.279429022,23.7933332584,9.41686608369,2016-02-05
44.7633470334,22.9846602973,8.11944992489,2016-02-08
44.3552368211,19.8319364171,8.14212166922,2016-02-09
42.7415225945,17.1220477028,8.71368110059,2016-02-10
43.9003595865,23.3530739476,7.52694776063,2016-02-11
44.8985189244,20.1816389092,6.5047600215,2016-02-12
41.1882784143,17.4476507374,12.2478443614,2016-02-16
35.9062396828,15.0890707866,15.7409003865,2016-02-17
32.7912844908,13.0530851036,16.8923003235,2016-02-18
29.234111839,12.8617870781,14.6166388954,2016-02-19
26.5010933072,11.1314921131,13.3115118321,2016-02-22
26.2569977141,19.0760354504,11.5228556909,2016-02-23
27.5202440211,21.0384371473,9.97614176965,2016-02-24
27.3968999536,18.2169760552,10.5616989449,2016-02-25
24.3734591455,15.7757961643,14.3206681557,2016-02-26
21.3158719124,13.6631690692,13.2483857199,2016-02-29
20.8852731598,11.8345209312,17.0648976222,2016-03-01
20.7929118677,10.2514135741,15.4396866076,2016-03-02
22.1986312823,8.88067791441,16.9750674169,2016-03-03
25.4230336656,7.69367520223,20.9725212884,2016-03-04
26.231029184,9.47138096167,18.1702263847,2016-03-07
24.5576282234,11.9483262022,15.7430566017,2016-03-08
22.7032523177,11.0099137072,13.6406245004,2016-03-09
22.4539105129,9.5398904186,14.5616294203,2016-03-10
22.3215557091,8.26637728114,12.7843844539,2016-03-11
23.7038614991,7.16304653067,14.116933346,2016-03-14
27.1986456636,6.20711230808,18.5673905522,2016-03-15
31.2481531282,5.37885053029,19.9609535024,2016-03-16
34.9542393502,4.6611847474,18.090167862,2016-03-17
38.2036807321,4.03932869488,15.8151988787,2016-03-18
42.0246373318,3.5004776118,17.6161777441,2016-03-21
45.3356494029,3.03354154643,15.266318772,2016-03-22
48.2048299984,2.62891484338,13.2300320959,2016-03-23
44.0760824033,8.09190487246,11.4654438867,2016-03-24
40.4981746337,7.0126747066,9.93627948071,2016-03-28
39.9708528879,6.07741895048,13.0774044615,2016-03-29
42.0385851689,5.26692183149,18.391613794,2016-03-30
43.8305089322,4.56453445722,15.9389407272,2016-03-31
42.5818213441,6.73203520431,13.8134047191,2016-04-01
43.8427760466,5.83430462488,18.4943835658,2016-04-04
40.4834254957,10.9892301348,16.0281660387,2016-04-05
38.0028110886,9.5238451076,14.8590013669,2016-04-06
33.7325116176,14.5153031176,12.8776203198,2016-04-07
30.0316824347,12.5797762467,11.1604684312,2016-04-08
26.8516732703,10.9023577382,12.3394570006,2016-04-11
23.681813055,10.0551995435,10.6940982978,2016-04-12
24.111181494,8.71443722384,15.1286954338,2016-04-13
24.5996959735,7.55246039929,13.3612052065,2016-04-14
22.9680359097,14.8466505503,11.5796422662,2016-04-15
26.7765995518,31.3751665977,10.0356382034,2016-04-18
30.6438896315,30.6403387349,8.69751423208,2016-04-19
34.1088219528,27.22287544,7.53781646667,2016-04-20
37.7241364486,27.1612792996,6.53275233797,2016-04-21
41.5395281482,27.977867421,5.66170221879,2016-04-22
44.9484375524,24.9271292148,4.90679621579,2016-04-25
48.4045235121,24.9431937468,4.25254742628,2016-04-26
52.9528399862,38.4745515848,3.68553412192,2016-04-27
57.1876951353,38.597142275,3.19412432895,2016-04-28
61.315890849,43.948636366,2.76823714674,2016-04-29
64.9183571511,38.7318633792,2.39913590238,2016-05-02
64.6942283078,33.5675790584,7.55973434387,2016-05-03
64.026323815,29.0918749082,7.34470899814,2016-05-04
64.5669227865,33.5191012127,6.36540935597,2016-05-05
65.7450514828,35.9665864401,5.51668427102,2016-05-06
65.6838662618,31.1710227895,6.54662037174,2016-05-09
66.017521019,29.9947292912,5.67373469107,2016-05-10
66.3066881931,25.9954202811,4.91723450565,2016-05-11
67.8728600642,34.573695518,4.26160156579,2016-05-12
69.2302080248,29.9638592578,3.6933867675,2016-05-13
65.8286414234,25.9686703687,10.1695707521,2016-05-16
61.7979391906,22.5061752366,10.6891590857,2016-05-17
57.0230572667,19.5053475532,11.458869573,2016-05-18
53.8457481391,19.7995736397,9.93101839097,2016-05-19
48.6939476624,17.1596276341,12.6295084194,2016-05-20
43.4341127103,14.8716751395,17.9016411434,2016-05-23
40.3346291803,12.888783511,19.4090773018,2016-05-24
39.7039024449,11.1702778336,23.5222788555,2016-05-25
40.4065133079,9.68090654755,25.50542423,2016-05-26
41.0154426158,8.39011832567,22.104699202,2016-05-27
39.2095943559,10.9001244218,19.1574046251,2016-05-31
34.7264967325,14.846207525,16.6030829944,2016-06-01
35.0859739091,31.5995718995,14.3893378335,2016-06-02
34.1625569376,27.38629439,15.3512522386,2016-06-03
30.0468570486,23.7347875277,22.2206408376,2016-06-06
26.4799174094,20.5701484819,19.2578880624,2016-06-07
24.053327519,19.7037679391,16.6901691557,2016-06-08
20.9747609066,17.0765984386,16.7504777503,2016-06-09
18.3066699714,14.7997183148,14.5170803913,2016-06-10
19.4790440929,21.9353447887,12.5814694279,2016-06-13
21.0503648279,20.8230496196,10.9039399871,2016-06-14
22.4121760887,18.0466427401,9.45008118422,2016-06-15
25.5011694841,21.9092085644,8.19007025602,2016-06-16
29.8161741556,26.5928953649,7.09806081071,2016-06-17
33.8060511344,24.4081625083,6.15165264414,2016-06-20
37.5983973156,22.9135533148,5.33143224767,2016-06-21
38.5177944721,19.8584127311,7.62844460326,2016-06-22
39.5025127721,17.8312227001,6.61131861525,2016-06-23
43.5722827075,32.5017817488,5.72980943583,2016-06-24
48.0182889282,38.0606821927,4.96583482131,2016-06-27
50.2610475797,32.9859244342,7.03607128489,2016-06-28
49.4008061872,28.5878010765,11.1701471843,2016-06-29
45.8558567059,24.7760941914,15.5713541736,2016-06-30
41.0669039593,21.4726149095,17.5902676254,2016-07-01
40.1243195065,30.950028429,15.244898574,2016-07-05
38.5901115844,26.823357919,14.8868349336,2016-07-06
35.2837738434,23.2469101568,17.6114839521,2016-07-07
31.5309780385,20.1473221061,17.4627857311,2016-07-08
28.0163223948,17.4610124695,19.3653248087,2016-07-11
25.0919616695,15.1328774568,17.0934008381,2016-07-12
21.9742812553,15.3295468539,14.8142807121,2016-07-13
20.9806158855,13.2856072623,17.7997592215,2016-07-14
20.9444084085,11.5141929523,17.5287038142,2016-07-15
22.3451374492,9.97896721908,19.1353995001,2016-07-18
23.5591026163,8.64843825184,16.5840128911,2016-07-19
25.7055131451,7.49531314806,17.3471232462,2016-07-20
25.1327039202,9.7318957583,15.0341734739,2016-07-21
23.3963678279,16.6202730248,13.0296170061,2016-07-22
25.0915324136,24.0570244691,11.2923347352,2016-07-25
27.3728512483,24.0781235959,9.78669010123,2016-07-26
24.7717467549,20.8677071117,17.8247153963,2016-07-27
22.3304132123,18.0853461598,15.8899491432,2016-07-28
19.8561367066,15.6739666692,14.5341132746,2016-07-29
19.3331182737,13.5841044446,18.7334160812,2016-08-01
17.547905192,14.4138180556,16.2356272683,2016-08-02
16.0007205216,12.4919756467,14.0708769643,2016-08-03
15.2839651051,10.8263788928,13.4004978474,2016-08-04
17.9286100023,9.38286170629,19.5403455399,2016-08-05
21.6714520208,8.13181347819,21.9859724596,2016-08-08
26.0302596009,7.04757168065,23.8374375711,2016-08-09
27.7810043334,9.03187206546,20.6591125605,2016-08-10
29.3626130479,7.82762245636,18.1101527616,2016-08-11
30.239813889,7.39601398495,15.6954657261,2016-08-12
33.0127222597,6.40987878673,19.772462625,2016-08-15
36.6273854949,5.55522828166,22.3063761729,2016-08-16
32.9696294484,16.076629398,19.3321926826,2016-08-17
30.6024732819,13.9330788113,18.934141283,2016-08-18
26.9338992824,17.4553968699,16.4095891116,2016-08-19
25.7750039484,20.5680426209,14.2216438965,2016-08-22
23.9749080846,17.8256369379,13.9280935667,2016-08-23
25.6655460817,26.0407731973,12.0710144243,2016-08-24
29.256779576,33.6798089939,10.4615458343,2016-08-25
32.8299124252,32.1973159703,9.06667305631,2016-08-26
35.9555003844,28.0814380106,7.8577833154,2016-08-29
40.1377810069,34.8705929429,6.81007887329,2016-08-30
43.4004695188,30.2211805503,6.49780112304,2016-08-31
45.0491863285,26.1916898101,7.4378773274,2016-09-01
42.4386572442,22.699464502,13.4835673411,2016-09-02
38.9286491966,19.672869235,14.2126872584,2016-09-06
34.469467076,17.0498200036,15.2767762528,2016-09-07
34.2977203698,26.3894106205,13.2398727524,2016-09-08
36.2895213114,33.7331017725,11.4745563854,2016-09-09
38.382928642,31.482717674,9.94461553398,2016-09-12
35.9822773275,27.2850219841,18.0472016119,2016-09-13
31.533104861,23.6470190528,24.916211223,2016-09-14
29.5704411578,20.4940831791,28.778313923,2016-09-15
28.4948950603,17.7615387552,27.493006137,2016-09-16
26.2024841148,18.9883324502,23.8272719854,2016-09-19
23.305431083,22.5848988099,20.6503023873,2016-09-20
20.9960940763,20.1757310601,17.8969287357,2016-09-21
19.3076455301,17.4856335854,20.6645885856,2016-09-22
18.9976151437,25.2365141788,17.9093101075,2016-09-23
18.7289221422,21.8716456216,15.5214020932,2016-09-26
18.4960548742,18.9554262054,13.4518818141,2016-09-27
17.0351669091,16.4280360446,19.1071761007,2016-09-28
17.4983095425,25.1042779054,16.5595526206,2016-09-29
17.8996998248,21.7570408513,14.3516122712,2016-09-30
18.2475714027,18.8561020711,12.4380639684,2016-10-03
15.9504537789,16.3419551283,16.6784960082,2016-10-04
13.959618505,14.1630277779,14.4546965404,2016-10-05
14.0088654301,12.2746240742,16.3806264526,2016-10-06
14.7773213264,10.6380075309,15.8815249893,2016-10-07
18.1435728798,9.2196065268,21.5248195686,2016-10-10
22.7120267708,7.99032565656,25.5873929389,2016-10-11
26.6713534763,6.92494890235,22.1757405471,2016-10-12
