date,rsi
"Dec 05, 2017",65.9921385937
"Dec 06, 2017",76.9740193581
"Dec 07, 2017",73.8081562321
"Dec 08, 2017",69.23249049
"Dec 11, 2017",70.2187567685
"Dec 12, 2017",70.5099973575
"Dec 13, 2017",68.7824102883
"Dec 14, 2017",74.3790120011
"Dec 15, 2017",74.55654102
"Dec 18, 2017",75.6907052697
"Dec 19, 2017",71.7391304348
"Dec 20, 2017",75.8018867925
"Dec 21, 2017",63.9240506329
"Dec 22, 2017",66.7564259486
"Dec 26, 2017",48.8447071467
"Dec 27, 2017",43.0839002268
"Dec 28, 2017",43.5373512044
"Dec 29, 2017",45.7803468208
"Jan 02, 2018",45.0451958487
"Jan 03, 2018",47.6705048716
"Jan 04, 2018",48.3024151208
"Jan 05, 2018",45.4175815239
"Nov 01, 2017",32.0735444331
"Nov 02, 2017",29.1044776119
"Nov 03, 2017",34.0268747291
"Nov 06, 2017",29.7335203366
"Nov 07, 2017",29.5725516739
"Nov 08, 2017",29.3769382577
"Nov 09, 2017",36.3446110917
"Nov 10, 2017",42.9113715135
"Nov 13, 2017",48.1120067883
"Nov 14, 2017",46.5708418891
"Nov 15, 2017",44.1885964912
"Nov 16, 2017",40.9817020041
"Nov 17, 2017",45.1186440678
"Nov 20, 2017",48.0304955527
"Nov 21, 2017",65.4627539503
"Nov 22, 2017",66.3736263736
"Nov 24, 2017",58.4013050571
"Nov 27, 2017",58.4240454915
"Nov 28, 2017",61.4016651847
"Nov 29, 2017",57.1498451003
"Nov 30, 2017",56.9174757282
"Oct 02, 2017",35.4155304778
"Oct 03, 2017",30.8116808462
"Oct 04, 2017",32.0114667941
"Oct 05, 2017",31.3237221494
"Oct 06, 2017",33.4935492031
"Oct 09, 2017",29.2376431164
"Oct 10, 2017",23.8829666591
"Oct 11, 2017",19.2881192881
"Oct 12, 2017",19.4235588972
"Oct 13, 2017",21.8237082067
"Oct 16, 2017",23.2978230662
"Oct 17, 2017",19.8968725479
"Oct 18, 2017",22.0305324562
"Oct 19, 2017",20.084087969
"Oct 20, 2017",43.6982520699
"Oct 23, 2017",48.8026424443
"Oct 24, 2017",48.4865162356
"Oct 25, 2017",46.8051478889
"Oct 26, 2017",43.10626703
"Oct 27, 2017",55.4417413572
"Oct 30, 2017",61.3619541081
"Oct 31, 2017",63.5983263598
"Sep 01, 2017",49.787094661
"Sep 05, 2017",51.5079128098
"Sep 06, 2017",53.7799401198
"Sep 07, 2017",58.5635359116
"Sep 08, 2017",55.2028042063
"Sep 11, 2017",59.8992080634
"Sep 12, 2017",64.9474310653
"Sep 13, 2017",62.8527548474
"Sep 14, 2017",66.0738909229
"Sep 15, 2017",62.5895316804
"Sep 18, 2017",66.1261508864
"Sep 19, 2017",56.0527723302
"Sep 20, 2017",49.4712443865
"Sep 21, 2017",45.1794638801
"Sep 22, 2017",49.9146672021
"Sep 25, 2017",50.8644501279
"Sep 26, 2017",52.8431080679
"Sep 27, 2017",49.251637044
"Sep 28, 2017",52.1619135235
