Date,MA,Price,lower,upper
"Aug 15, 2017",,982.74,,
"Aug 16, 2017",,978.18,,
"Aug 17, 2017",,960.57,,
"Aug 18, 2017",,958.47,,
"Aug 21, 2017",,953.29,,
"Aug 22, 2017",,966.9,,
"Aug 23, 2017",,958.0,,
"Aug 24, 2017",,952.45,,
"Aug 25, 2017",,945.26,,
"Aug 28, 2017",,946.02,,
"Aug 29, 2017",,954.06,,
"Aug 30, 2017",,967.59,,
"Aug 31, 2017",,980.6,,
"Dec 01, 2017",,1162.35,,
"Dec 04, 2017",,1133.95,,
"Dec 05, 2017",,1141.57,,
"Dec 06, 2017",,1152.35,,
"Dec 07, 2017",,1159.79,,
"Dec 08, 2017",,1162.0,,
"Dec 11, 2017",1029.253,1168.92,934.231604952,1124.27439505
"Dec 12, 2017",1038.37,1165.08,939.38159935,1137.35840065
"Dec 13, 2017",1047.6675,1164.13,945.935334312,1149.39966569
"Dec 14, 2017",1058.352,1174.26,955.039557961,1161.66444204
"Dec 15, 2017",1069.3855,1179.14,965.51961545,1173.25138455
"Dec 18, 2017",1081.25,1190.58,977.791660558,1184.70833944
"Dec 19, 2017",1092.274,1187.38,989.900582686,1194.64741731
"Dec 20, 2017",1103.255,1177.62,1004.32152945,1202.18847055
"Dec 21, 2017",1114.3705,1174.76,1020.93644487,1207.80455513
"Dec 22, 2017",1125.5255,1168.36,1040.39514952,1210.65585048
"Dec 26, 2017",1137.0625,1176.76,1062.56875001,1211.55624999
"Dec 27, 2017",1148.4725,1182.26,1087.17675705,1209.76824295
"Dec 28, 2017",1159.398,1186.1,1114.8557593,1203.9402407
"Dec 29, 2017",1168.8415,1169.47,1154.24997496,1183.43302504
"Jan 02, 2018",1170.1745,1189.01,1155.00106321,1185.34793679
"Jan 03, 2018",1173.687,1204.2,1159.22616793,1188.14783207
"Jan 04, 2018",1177.088,1209.59,1162.57958988,1191.59641012
"Jan 05, 2018",1180.9275,1229.14,1163.45271791,1198.40228209
"Nov 01, 2017",1178.122,1103.68,1153.88093228,1202.36306772
"Nov 02, 2017",1174.733,1094.22,1144.19839649,1205.26760351
"Nov 03, 2017",1171.867,1111.6,1138.22602888,1205.50797112
"Nov 06, 2017",1169.646,1120.66,1134.11986397,1205.17213603
"Nov 07, 2017",1167.598,1123.17,1130.58752729,1204.60847271
"Nov 08, 2017",1165.529,1132.88,1127.76165907,1203.29634093
"Nov 09, 2017",1163.0285,1129.13,1124.56070988,1201.49629012
"Nov 10, 2017",1159.767,1125.35,1120.99405554,1198.53994446
"Nov 13, 2017",1156.8565,1129.17,1118.08065181,1195.63234819
"Nov 14, 2017",1154.8175,1136.84,1116.11883378,1193.51616622
"Nov 15, 2017",1152.414,1126.69,1113.52680465,1191.30119535
"Nov 16, 2017",1150.8605,1137.29,1112.02328338,1189.69771662
"Nov 17, 2017",1148.5165,1129.88,1109.9106857,1187.1223143
"Nov 20, 2017",1145.719,1126.31,1107.66380893,1183.77419107
"Nov 21, 2017",1143.3885,1139.49,1106.5279488,1180.2490512
"Nov 22, 2017",1142.723,1156.16,1106.23990138,1179.20609862
