ADX,DI_minus,DI_plus,date
43.622866336,19.8140037488,19.7948191862,2016-01-26
39.6352384797,23.8674746015,16.8579929954,2016-01-27
34.8591396935,20.3788496856,23.656554332,2016-01-28
30.8591277593,23.5218400892,20.2425710628,2016-01-29
27.4870578092,20.1641691034,17.3530057364,2016-02-01
28.122013855,28.8798922156,14.8990179599,2016-02-02
30.9284777182,36.4254871168,12.8089553198,2016-02-03
33.6301717565,33.2394708727,11.0244901373,2016-02-04
37.0751739952,36.1190508035,9.49775640428,2016-02-05
41.3940868793,43.4156146723,8.1891955177,2016-02-08
43.7493719234,37.4604496457,9.81149417104,2016-02-09
43.9200611835,32.3417538415,12.2694794125,2016-02-10
42.8607759809,27.937066877,13.0962173375,2016-02-11
39.0281094901,24.1431084044,17.9477078713,2016-02-12
33.9358878087,20.872463582,21.5215992131,2016-02-16
32.3452886386,18.0509161501,28.3491690149,2016-02-17
31.6756758593,15.6152852643,27.3971786627,2016-02-18
28.8914769134,18.9918415707,23.7063431029,2016-02-19
29.5885445661,16.4368709708,33.421559081,2016-02-22
30.190873364,14.22826307,28.930733572,2016-02-23
27.6199857381,20.0595092261,25.0473586892,2016-02-24
26.7203734934,17.3693319847,26.5580478215,2016-02-25
27.0566889842,15.0417412895,27.4659454856,2016-02-26
27.9541266983,13.0274156812,26.3028264466,2016-02-29
30.2839792214,11.2838553616,30.0126649948,2016-03-01
33.4698971237,9.7744107003,32.8047647169,2016-03-02
35.6252442506,9.5786278348,28.4183783439,2016-03-03
36.0067341182,10.9378871383,24.6199417273,2016-03-04
31.6035372762,20.0621146189,21.33028779,2016-03-07
27.544455255,18.0336374647,18.4809985798,2016-03-08
25.8641702252,21.6492756084,16.0129235635,2016-03-09
22.4943132734,18.7587044222,18.5235987886,2016-03-10
20.7774374824,16.2545397541,19.7209861935,2016-03-11
21.3943040492,14.0850121684,23.6755979112,2016-03-14
23.0746574492,12.2053168321,24.7714446582,2016-03-15
24.53052852,10.5766694167,21.466004097,2016-03-16
21.8526489237,20.3395455477,18.6019318293,2016-03-17
21.8064596982,24.9537843156,16.1202185904,2016-03-18
23.2799098673,27.6383996975,13.9697629323,2016-03-21
22.1507254773,23.951655476,17.7703951283,2016-03-22
20.2765127744,20.7568815658,24.4160336485,2016-03-23
20.9364069729,17.9883812171,30.1242223139,2016-03-24
21.9081202011,15.5892423307,27.8480464285,2016-03-28
24.3671419248,13.5101599216,31.7845237606,2016-03-29
28.1779876134,11.7084171451,38.0525715424,2016-03-30
29.6089634479,14.5037654984,32.9779479454,2016-03-31
28.8925199538,17.4290788524,28.5801766613,2016-04-01
28.4460035458,15.1048757575,25.4691922757,2016-04-04
24.7697663549,21.6886213938,22.0728872209,2016-04-05
23.7221830513,18.7965005936,26.449307002,2016-04-06
22.8143092115,16.2900717221,22.9224107923,2016-04-07
21.9724587692,14.238316901,19.8658475448,2016-04-08
23.777099222,12.3397444755,25.9267023214,2016-04-11
23.8648946951,13.6448490043,22.4696032531,2016-04-12
26.8106557685,11.825442107,31.9374731362,2016-04-13
30.9328214542,10.2486461172,38.2373165869,2016-04-14
34.9592027136,8.88210710902,36.8187147149,2016-04-15
39.6094703269,7.69778645845,43.3398460238,2016-04-18
42.1016420021,9.89443337651,37.5610319908,2016-04-19
44.2615033263,8.57514237329,32.5527682842,2016-04-20
46.4030464406,7.43176510536,30.0292511859,2016-04-21
42.6250420004,18.0597199663,26.0252753008,2016-04-22
39.3507920058,15.6517178341,22.555181715,2016-04-25
35.8139716243,15.103702939,19.5477814307,2016-04-26
33.526635818,24.7139231919,16.9413784842,2016-04-27
29.5383871381,21.4186982727,19.9240987029,2016-04-28
27.7591286415,18.5628454271,25.7367644791,2016-04-29
28.1413414257,16.087779534,30.2918713556,2016-05-02
28.4725916256,13.9427273636,26.252927121,2016-05-03
25.0835485237,21.4035716232,22.7525157668,2016-05-04
22.630722483,22.5452246728,19.7188311709,2016-05-05
20.3920901409,19.5391811247,17.3825574485,2016-05-06
19.8807238499,16.9339467658,23.6540436348,2016-05-09
21.7927940733,14.676079529,29.9464379509,2016-05-10
25.4065178358,12.7192631656,37.0583320854,2016-05-11
29.1435598119,11.0233570842,36.3219863182,2016-05-12
30.0684215973,14.7864509421,31.4790441025,2016-05-13
28.3710246894,19.21945069,27.2818301804,2016-05-16
25.4453584996,20.7878952904,23.6442467827,2016-05-17
22.8213970385,22.9992221189,20.4916760081,2016-05-18
20.54729819,19.932655345,17.7594491326,2016-05-19
