date,rsi
2016-01-25,35.8174572771
2016-01-26,32.1467705951
2016-01-27,28.4807765818
2016-01-28,42.6919497888
2016-01-29,31.9004155733
2016-02-01,34.2148536003
2016-02-02,37.3349161002
2016-02-03,39.6313540699
2016-02-04,38.1137911344
2016-02-05,36.3894540583
2016-02-08,40.040193904
2016-02-09,39.5848278318
2016-02-10,40.9758680794
2016-02-11,38.7852142948
2016-02-12,39.6537248054
2016-02-16,42.1098633701
2016-02-17,40.8009245203
2016-02-18,31.2852788918
2016-02-19,36.020182208
2016-02-22,39.1252411295
2016-02-23,43.0826149633
2016-02-24,42.4708248308
2016-02-25,41.376421809
2016-02-26,49.8652640547
2016-02-29,59.2845265802
2016-03-01,63.1320318314
2016-03-02,61.6107270459
2016-03-03,64.2506264236
2016-03-04,68.4409410443
2016-03-07,61.8915902535
2016-03-08,62.7237611047
2016-03-09,68.2400121774
2016-03-10,70.4326145853
2016-03-11,63.958466545
2016-03-14,64.9320286951
2016-03-15,66.1922459999
2016-03-16,69.5744537299
2016-03-17,66.4687860765
2016-03-18,64.0658028491
2016-03-21,45.1772300313
2016-03-22,50.7784444325
2016-03-23,52.2083163682
2016-03-24,54.3335883511
2016-03-28,60.5565857688
2016-03-29,61.665280828
2016-03-30,56.8681533002
2016-03-31,53.2418007411
2016-04-01,51.0017651033
2016-04-04,53.2122413145
2016-04-05,54.5609106399
2016-04-06,55.3311188062
2016-04-07,57.8624759142
2016-04-08,56.787324698
2016-04-11,56.5966130626
2016-04-12,56.8438995423
2016-04-13,57.6588908303
2016-04-14,55.1555199869
2016-04-15,51.3624162229
2016-04-18,49.7852530069
2016-04-19,50.3117525034
2016-04-20,47.8281811746
2016-04-21,52.6507970468
2016-04-22,48.9442633793
2016-04-25,48.0204054953
2016-04-26,43.2326064985
2016-04-27,43.4427164488
2016-04-28,46.687617223
2016-04-29,64.6851960772
2016-05-02,67.9576193413
2016-05-03,66.6333170133
2016-05-04,71.4659583224
2016-05-05,72.7323210507
2016-05-06,73.7423943214
2016-05-09,71.0846239607
2016-05-10,74.052398503
2016-05-11,70.4399751584
2016-05-12,69.1595510825
2016-05-13,71.1777820119
2016-05-16,69.002591704
2016-05-17,66.7952564788
2016-05-18,62.3583661899
2016-05-19,50.1156832241
2016-05-20,43.6351748923
2016-05-23,47.2160204641
2016-05-24,41.9560055116
2016-05-25,42.1600581565
2016-05-26,39.4689736044
2016-05-27,44.5863166469
2016-05-31,39.2311238088
2016-06-01,39.4973967022
2016-06-02,41.760178688
2016-06-03,45.7489127521
2016-06-06,45.9917916237
2016-06-07,59.1191861147
2016-06-08,59.4921756381
2016-06-09,59.4613552618
2016-06-10,53.7484670508
2016-06-13,56.9880932826
2016-06-14,54.9453496738
2016-06-15,54.6006818
2016-06-16,52.1339771221
2016-06-17,45.7834976058
2016-06-20,43.3925588985
2016-06-21,40.1467551911
2016-06-22,35.616442422
2016-06-23,40.4565623972
2016-06-24,34.9125657687
2016-06-27,33.2471234648
2016-06-28,41.5299647457
2016-06-29,44.8490901418
2016-06-30,41.8145224129
2016-07-01,40.0076749437
2016-07-05,39.3715988092
2016-07-06,37.4401607766
2016-07-07,43.6841357337
2016-07-08,45.2472411977
2016-07-11,45.3605119912
2016-07-12,49.4555461713
2016-07-13,49.2449643429
2016-07-14,51.7702659269
2016-07-15,63.8216281118
2016-07-18,64.7543836648
2016-07-19,59.5613426938
2016-07-20,58.6604032999
2016-07-21,64.2263859826
2016-07-22,59.1158628965
2016-07-25,59.0844621486
2016-07-26,55.4243512604
2016-07-27,50.0863352066
2016-07-28,55.263154921
2016-07-29,54.0028468932
2016-08-01,57.9450230274
2016-08-02,56.3404166043
2016-08-03,52.2131308533
2016-08-04,53.495438513
2016-08-05,55.7104326964
2016-08-08,54.1364658804
2016-08-09,52.0611153783
2016-08-10,45.3991136841
2016-08-11,46.5727679814
2016-08-12,44.371322157
2016-08-15,44.2992782247
2016-08-16,47.5446435341
2016-08-17,38.362429058
2016-08-18,41.1629076194
2016-08-19,32.4187154422
2016-08-22,34.5333924525
2016-08-23,37.3912882007
2016-08-24,31.6290994852
2016-08-25,27.381505146
2016-08-26,38.2709584736
2016-08-29,38.8095139629
2016-08-30,41.8707258139
2016-08-31,40.7220943466
2016-09-01,40.8708085041
2016-09-02,39.8195882906
2016-09-06,50.2970829392
2016-09-07,52.1614599837
2016-09-08,51.8606683571
2016-09-09,37.395365873
2016-09-12,42.2906035888
2016-09-13,42.1147579229
2016-09-14,37.7048293952
2016-09-15,40.8661801567
2016-09-16,40.4330298168
2016-09-19,44.8021206793
2016-09-20,41.8699225559
2016-09-21,45.1680731311
2016-09-22,49.9921840556
2016-09-23,49.7399671352
2016-09-26,47.5559934979
2016-09-27,48.6529116477
2016-09-28,44.5138389501
2016-09-29,54.3365400534
2016-09-30,53.4625418001
2016-10-03,68.9908223485
2016-10-04,72.1861282455
2016-10-05,72.583185809
2016-10-06,73.3282051101
2016-10-07,74.813290554
2016-10-10,74.1183582079
2016-10-11,66.2510315029
2016-10-12,61.7455214788
2016-10-13,63.977674005
2016-10-14,64.1835768225
2016-10-17,55.119892519
2016-10-18,49.1065074825
2016-10-19,48.855233416
2016-10-20,43.6845540183
2016-10-21,45.3038625667
2016-10-24,52.1979190006
2016-10-25,51.7663263627
2016-10-26,47.0019303887
2016-10-27,46.1430824206
2016-10-28,38.8199070452
2016-10-31,42.0340826896
2016-11-01,46.6559139544
2016-11-02,43.0116088576
2016-11-03,37.9726208123
2016-11-04,37.5291525255
2016-11-07,47.8987404752
2016-11-08,48.8363867456
2016-11-09,46.900845874
2016-11-10,45.5999820523
2016-11-11,44.8152796595
2016-11-14,42.1180223035
2016-11-15,46.100204698
2016-11-16,40.5212935526
2016-11-17,44.7556939246
2016-11-18,41.7693347097
2016-11-21,41.5078488417
2016-11-22,40.8886996495
2016-11-23,46.3614110113
2016-11-25,42.723890697
2016-11-28,37.2775422349
2016-11-29,42.0284423381
2016-11-30,43.095964649
2016-12-01,50.4819806415
2016-12-02,50.5049802452
2016-12-05,58.6424371509
2016-12-06,52.518886361
2016-12-07,53.4172516822
2016-12-08,55.0794695841
2016-12-09,54.0414640134
2016-12-12,46.4450324466
2016-12-13,51.8227754475
2016-12-14,51.6870380275
2016-12-15,55.8225763732
2016-12-16,60.0552728545
2016-12-19,58.77024753
2016-12-20,60.5886580087
2016-12-21,64.7735993128
2016-12-22,64.1059349202
2016-12-23,57.904844549
2016-12-27,60.9788332561
2016-12-28,58.1948840915
2016-12-29,55.8556090696
2016-12-30,54.8911958634
2017-01-03,53.6920193344
2017-01-04,46.5451035267
2017-01-05,55.8436429538
2017-01-06,59.6210461797
2017-01-09,54.8909708853
2017-01-10,58.528793622
2017-01-11,57.7142976712
2017-01-12,56.0212428269
2017-01-13,52.3801844547
2017-01-17,50.9834987567
2017-01-18,53.7907425988
2017-01-19,54.0877371776
2017-01-20,59.2672479131
2017-01-23,73.6037761906
2017-01-24,73.788444053
2017-01-25,76.1126473948
2017-01-26,71.1105062302
2017-01-27,67.2328510322
2017-01-30,66.6087226775
2017-01-31,60.6972674395
2017-02-01,63.0991230429
2017-02-02,60.1240182474
2017-02-03,46.6838695082
2017-02-06,48.9577293172
2017-02-07,45.275234622
2017-02-08,47.7631338552
2017-02-09,41.3980584923
2017-02-10,39.9933334877
2017-02-13,41.8165708019
2017-02-14,42.7909025631
2017-02-15,44.6084702629
2017-02-16,39.7404941842
2017-02-17,35.4558229942
2017-02-21,35.4730866913
2017-02-22,40.4608513718
2017-02-23,42.5565149115
2017-02-24,66.1708666084
2017-02-27,64.8654938312
2017-02-28,63.8411531615
2017-03-01,64.2402434672
2017-03-02,64.6797078984
2017-03-03,61.975743625
2017-03-06,59.1902966819
2017-03-07,58.7086064011
2017-03-08,57.2951430883
2017-03-09,58.1254237769
2017-03-10,63.7017841408
2017-03-13,55.1123969825
2017-03-14,53.8404364486
2017-03-15,50.9039958366
2017-03-16,54.1522006963
2017-03-17,55.3420364584
2017-03-20,60.193272676
