Date,MA,Price,lower,upper
2016-01-04,,102.220001,,
2016-01-05,,102.730003,,
2016-01-06,,102.970001,,
2016-01-07,,97.919998,,
2016-01-08,,97.330002,,
2016-01-11,,97.510002,,
2016-01-12,,99.370003,,
2016-01-13,,95.440002,,
2016-01-14,,98.370003,,
2016-01-15,,94.970001,,
2016-01-19,,95.260002,,
2016-01-20,,94.349998,,
2016-01-21,,94.160004,,
2016-01-22,,97.940002,,
2016-01-25,,97.010002,,
2016-01-26,,97.339996,,
2016-01-27,,94.449997,,
2016-01-28,,109.110001,,
2016-01-29,,112.209999,,
2016-02-01,99.78750065,115.089996,93.7767890822,105.798212218
2016-02-02,100.40700065,114.610001,93.5530418586,107.260959441
2016-02-03,100.9050006,112.690002,93.5312420983,108.278759102
2016-02-04,101.28100045,110.489998,93.6106391562,108.951361744
2016-02-05,101.58850055,104.07,93.9367189895,109.240282111
2016-02-08,101.70950045,99.75,94.1096461757,109.309354724
2016-02-09,101.8110004,99.540001,94.2567655798,109.36523522
2016-02-10,101.89250025,101.0,94.3572175589,109.427782941
2016-02-11,102.21600035,101.910004,94.835008597,109.596992103
2016-02-12,102.3980003,102.010002,95.0721628018,109.723837798
2016-02-16,102.7300003,101.610001,95.6109698543,109.849030746
2016-02-17,103.22700005,105.199997,96.3128987866,110.141101313
2016-02-18,103.6830002,103.470001,97.091976437,110.274023963
2016-02-19,104.2035,104.57,98.0047259198,110.40227408
2016-02-22,104.6645001,107.160004,98.6150099575,110.713990243
2016-02-23,105.08699995,105.459999,99.3113630812,110.862636819
2016-02-24,105.564,106.879997,100.075016627,111.052983373
2016-02-25,106.24500015,108.07,101.400396098,111.089604202
2016-02-26,106.1855,107.919998,101.370719234,111.000280766
2016-02-29,105.92099995,106.919998,101.313763901,110.528235999
2016-03-01,105.65750015,109.82,101.470748324,109.844251976
2016-03-02,105.42449995,109.949997,101.653129949,109.195869951
2016-03-03,105.26899995,109.580002,101.75782625,108.78017365
2016-03-04,105.164,108.389999,101.788392539,108.539607461
2016-03-07,105.24700015,105.730003,101.879308985,108.614691315
2016-03-08,105.55600015,105.93,102.445530648,108.666469652
2016-03-09,105.9545002,107.510002,103.160943501,108.748056899
2016-03-10,106.2705002,107.32,103.720003663,108.820996737
2016-03-11,106.6455002,109.410004,104.221652931,109.069347469
2016-03-14,107.03950005,109.889999,104.773505585,109.305494515
2016-03-15,107.4924999,110.669998,105.477336781,109.507663019
2016-03-16,107.84150005,112.18,105.647754982,110.035245118
2016-03-17,108.21899985,111.019997,106.172429574,110.265570126
2016-03-18,108.5629997,111.449997,106.584989366,110.541010034
2016-03-21,108.7974994,111.849998,106.719112735,110.875886065
2016-03-22,109.13699945,112.25,107.078004074,111.195994826
2016-03-23,109.41999965,112.540001,107.299493821,111.540505479
2016-03-24,109.6689998,113.050003,107.426482908,111.911516692
2016-03-28,109.9575,113.690002,107.584476586,112.330523414
2016-03-29,110.41850005,116.139999,107.7853109,113.0516892
2016-03-30,110.6624999,114.699997,107.866616534,113.458383266
2016-03-31,110.86999995,114.099998,107.977451269,113.762548631
2016-04-01,111.19399975,116.059998,108.097801851,114.290197649
2016-04-04,111.40199995,112.550003,108.364918334,114.439081566
2016-04-05,111.72649985,112.220001,108.996115235,114.456884465
2016-04-06,112.1154998,113.709999,109.72084081,114.51015879
2016-04-07,112.42199965,113.639999,110.267590627,114.576408673
2016-04-08,112.5874995,110.629997,110.740437029,114.434561971
2016-04-11,112.5664992,108.989998,110.679453685,114.453544715
2016-04-12,112.6024993,110.610001,110.762931466,114.442067134
2016-04-13,112.5944995,110.510002,110.745760381,114.443238619
2016-04-14,112.5274993,110.839996,110.639091694,114.415906906
2016-04-15,112.4584994,109.639999,110.48865493,114.42834387
2016-04-18,112.4084994,110.449997,110.399408714,114.417590086
2016-04-19,112.43049955,112.290001,110.42544147,114.43555763
2016-04-20,112.43899945,112.419998,110.43438654,114.44361236
2016-04-21,112.4839995,113.440002,110.466936887,114.501062113
2016-04-22,112.35949925,110.559998,110.302755455,114.416243045
2016-04-25,112.17999905,110.099998,110.089111457,114.270886643
2016-04-26,111.8109992,108.760002,109.806320856,113.815677544
2016-04-27,111.5204993,108.889999,109.535634197,113.505364403
2016-04-28,111.65199955,116.730003,109.416009612,113.887989488
2016-04-29,111.72799975,117.580002,109.315438203,114.140561297
2016-05-02,112.0289996,118.57,109.173590412,114.884408788
2016-05-03,112.28949955,117.43,109.188642365,115.390356735
2016-05-04,112.5069995,118.059998,109.158585112,115.855413888
2016-05-05,112.71549945,117.809998,109.168860121,116.262138779
2016-05-06,113.1584995,119.489998,109.342922774,116.974076226
2016-05-09,113.6709995,119.239998,109.757668818,117.584330182
2016-05-10,114.16549945,120.5,110.040199362,118.290799538
2016-05-11,114.6159992,119.519997,110.419553978,118.812444422
2016-05-12,115.08799935,120.279999,110.80855086,119.36744784
2016-05-13,115.5964993,119.809998,111.394964319,119.798034281
2016-05-16,116.00749935,118.669998,111.935861149,120.079137551
2016-05-17,116.2604992,117.349998,112.275733174,120.245265226
2016-05-18,116.5219994,117.650002,112.632049686,120.411949114
2016-05-19,116.6904992,116.809998,112.868686056,120.512312344
2016-05-20,117.0299992,117.349998,113.4902583,120.5697401
2016-05-23,117.32349935,115.970001,114.165873827,120.481124873
2016-05-24,117.7704991,117.699997,115.339845431,120.201152769
2016-05-25,118.2204991,117.889999,116.977530113,119.463468087
2016-05-26,118.357499,119.470001,117.136654532,119.578343468
2016-05-27,118.44749875,119.379997,117.220655034,119.674342466
2016-05-31,118.45949865,118.809998,117.23022236,119.68877494
2016-06-01,118.5269986,118.779999,117.3203719,119.7336253
2016-06-02,118.5704987,118.93,117.365913441,119.775083959
2016-06-03,118.60349885,118.470001,117.411873565,119.795124135
2016-06-06,118.568499,118.790001,117.39412687,119.74287113
2016-06-07,118.4944992,117.760002,117.318039633,119.670958767
2016-06-08,118.38899915,118.389999,117.311395405,119.466602895
2016-06-09,118.3409992,118.559998,117.29552345,119.38647495
2016-06-10,118.1579994,116.620003,117.150143403,119.165855397
2016-06-13,117.86499935,113.949997,116.555903544,119.174095156
2016-06-14,117.67849955,114.940002,116.231672751,119.125326349
2016-06-15,117.54099955,114.599998,115.938961679,119.143037421
2016-06-16,117.3779994,114.389999,115.62857057,119.12742823
2016-06-17,117.18849935,113.019997,115.187172457,119.189826243
