ADX,DI_minus,DI_plus,date
23.8394935722,24.1343279845,22.12813891,2016-01-26
22.783849744,26.4144529877,18.8451335289,2016-01-27
20.9190238794,22.5535451887,27.5797144628,2016-01-28
21.6027502601,19.2987421073,32.6192172114,2016-01-29
24.2969517907,16.5439054878,39.0441106243,2016-02-01
27.5283755151,14.2043372043,39.5465035573,2016-02-02
27.0234057523,20.8695522147,33.9988446542,2016-02-03
25.8824123799,19.9870438315,29.2623339072,2016-02-04
23.1990689461,28.7185525246,25.2099204417,2016-02-05
23.5279656999,36.6843355781,21.736603751,2016-02-08
24.1192177463,33.2257081569,18.7550713362,2016-02-09
23.4883290166,28.6856587302,19.3229489946,2016-02-10
21.492175101,24.7789025383,20.7574025112,2016-02-11
19.7727963752,21.4138346291,17.9384693901,2016-02-12
19.3282337827,21.6334745915,15.5083613423,2016-02-16
16.991461088,18.7090534068,17.9603008585,2016-02-17
14.9541192338,16.1846193037,16.8089700144,2016-02-18
14.522975788,18.4189762305,14.5445345039,2016-02-19
15.3889859322,15.9410731491,24.3957941895,2016-02-22
15.5724276149,15.0569698953,21.1177527734,2016-02-23
14.289810613,20.6241934641,18.2831149825,2016-02-24
13.7479305667,17.8582865192,21.9370015979,2016-02-25
15.5623309985,15.4651730955,27.0727807927,2016-02-26
16.0323400936,15.9360821552,23.4473098721,2016-02-29
17.6264716276,13.8032323886,24.5088898043,2016-03-01
20.3739254996,11.956769919,26.7164175715,2016-03-02
21.8370287218,12.1053465056,23.1441154689,2016-03-03
21.1408008742,14.3332453257,20.0506435406,2016-03-04
20.4852365175,24.1050525457,17.3715275947,2016-03-07
20.3483029748,22.3243470808,15.051047598,2016-03-08
19.7863958751,19.3430058374,13.9665932,2016-03-09
17.400233892,16.7603635199,17.4148018042,2016-03-10
17.1695820676,14.5229643262,19.9211983119,2016-03-11
19.2983933014,12.5845537523,25.048155979,2016-03-14
21.9749881706,10.9050999674,25.0584848067,2016-03-15
26.1516581698,9.44995028782,30.9997520686,2016-03-16
29.9924734581,8.18910358212,28.1570591459,2016-03-17
31.6029254929,9.95100561795,24.4005812116,2016-03-18
32.9984153651,8.62353004961,21.145515678,2016-03-21
35.2402043118,7.47321925277,22.3031873498,2016-03-22
37.977412646,6.47640941148,22.8030594409,2016-03-23
38.1351870227,8.63961730839,19.7616450641,2016-03-24
40.9607960314,7.48733786767,29.3246310451,2016-03-28
44.5623628753,6.48877795555,34.02282986,2016-03-29
48.0604309837,5.62342115169,32.8829054145,2016-03-30
47.4530158847,11.2187797244,28.4976993432,2016-03-31
47.9622283346,9.72270036264,30.1828934186,2016-04-01
45.7606266033,13.6403673466,26.1579432251,2016-04-04
43.8526486165,11.8214306459,22.6697935485,2016-04-05
43.303870936,10.2450738623,23.7562744994,2016-04-06
44.5293261152,8.87893931027,28.5013039549,2016-04-07
40.9648787231,17.2367441892,24.700829434,2016-04-08
35.6783731951,21.9793433631,21.4071596854,2016-04-11
31.2754030441,19.0485900988,20.0888874569,2016-04-12
28.6224738125,21.8814068105,17.4102311826,2016-04-13
26.3233024836,18.9637556818,15.0887634131,2016-04-14
26.8471117661,24.4204197002,13.0768504684,2016-04-15
27.3010747679,21.1642545818,11.3332119529,2016-04-18
24.3784722184,18.3422719816,16.4686795614,2016-04-19
22.8674760982,15.8965741348,20.6667272488,2016-04-20
23.3868153742,13.7769846619,23.8457429302,2016-04-21
20.6466002038,21.8724743537,20.666250406,2016-04-22
18.2717599551,18.9560966369,17.9107051851,2016-04-25
18.0329035643,21.6485065839,15.5225772354,2016-04-26
20.3264626921,28.0903880656,13.4528747892,2016-04-27
17.7763071785,24.3449630262,24.9365882552,2016-04-28
16.0203439415,23.6990086493,21.6116790744,2016-04-29
