date,rsi
"Dec 04, 2017",43.8810522303
"Dec 05, 2017",41.5939499709
"Dec 06, 2017",48.0955937267
"Dec 07, 2017",53.1102415329
"Dec 08, 2017",57.0087387813
"Dec 11, 2017",54.5675776863
"Dec 12, 2017",51.2572533849
"Dec 13, 2017",47.6648525503
"Dec 14, 2017",42.9641965029
"Dec 15, 2017",44.0691805226
"Dec 18, 2017",43.8566425751
"Dec 19, 2017",46.5268676278
"Dec 20, 2017",47.1414845064
"Dec 21, 2017",47.98320397
"Dec 22, 2017",57.9529737206
"Dec 26, 2017",58.2035306334
"Dec 27, 2017",54.4167610419
"Dec 28, 2017",42.0028818444
"Dec 29, 2017",41.0563380282
"Jan 02, 2018",56.2238493724
"Jan 03, 2018",62.5372245384
"Jan 04, 2018",65.6298600311
"Jan 05, 2018",69.4751381215
"Nov 01, 2017",62.106000467
"Nov 02, 2017",61.0153154118
"Nov 03, 2017",60.4548439086
"Nov 06, 2017",58.2530661083
"Nov 07, 2017",51.7286004807
"Nov 08, 2017",50.7650438464
"Nov 09, 2017",52.8922495274
"Nov 10, 2017",55.5898226677
"Nov 13, 2017",55.6097874253
"Nov 14, 2017",57.2874627853
"Nov 15, 2017",52.1463757917
"Nov 16, 2017",46.0317460317
"Nov 17, 2017",45.4679078883
"Nov 20, 2017",39.3180607352
"Nov 21, 2017",58.7155963303
"Nov 22, 2017",69.7072838666
"Nov 24, 2017",71.3457823567
"Nov 27, 2017",68.6546137591
"Nov 28, 2017",72.0039836229
"Nov 29, 2017",52.7437788766
"Nov 30, 2017",52.0471116096
"Oct 02, 2017",40.3785488959
"Oct 03, 2017",40.8418780356
"Oct 04, 2017",39.7604287065
"Oct 05, 2017",39.2708666453
"Oct 06, 2017",37.9817112998
"Oct 09, 2017",32.6623970723
"Oct 10, 2017",31.9034852547
"Oct 11, 2017",28.1064251344
"Oct 12, 2017",28.9814184259
"Oct 13, 2017",27.4570207692
"Oct 16, 2017",28.5854040305
"Oct 17, 2017",26.2986862263
"Oct 18, 2017",37.6361945256
"Oct 19, 2017",36.9034994698
"Oct 20, 2017",56.2579747129
"Oct 23, 2017",46.6486577748
"Oct 24, 2017",45.9694166509
"Oct 25, 2017",40.7058823529
"Oct 26, 2017",37.1571072319
"Oct 27, 2017",56.2119895743
"Oct 30, 2017",55.5018587361
"Oct 31, 2017",53.8550501157
"Sep 01, 2017",34.863988021
"Sep 05, 2017",37.7585188103
"Sep 06, 2017",38.8248959442
"Sep 07, 2017",37.9784102061
"Sep 08, 2017",34.9846320738
"Sep 11, 2017",34.2201956705
"Sep 12, 2017",39.8023994354
"Sep 13, 2017",38.6363636364
"Sep 14, 2017",41.4929897689
"Sep 15, 2017",37.348455221
"Sep 18, 2017",41.8840977753
"Sep 19, 2017",33.1859804231
"Sep 20, 2017",34.438156831
"Sep 21, 2017",39.1263503992
"Sep 22, 2017",53.0996015936
"Sep 25, 2017",40.7036403616
"Sep 26, 2017",40.6165891852
"Sep 27, 2017",46.741277156
"Sep 28, 2017",45.6674473068
