Date,MA,Price,lower,upper
"Aug 15, 2017",,922.22,,
"Aug 16, 2017",,926.96,,
"Aug 17, 2017",,910.98,,
"Aug 18, 2017",,910.67,,
"Aug 21, 2017",,906.66,,
"Aug 22, 2017",,924.69,,
"Aug 23, 2017",,927.0,,
"Aug 24, 2017",,921.28,,
"Aug 25, 2017",,915.89,,
"Aug 28, 2017",,913.81,,
"Aug 29, 2017",,921.29,,
"Aug 30, 2017",,929.57,,
"Aug 31, 2017",,939.33,,
"Dec 01, 2017",,1010.17,,
"Dec 04, 2017",,998.68,,
"Dec 05, 2017",,1005.15,,
"Dec 06, 2017",,1018.38,,
"Dec 07, 2017",,1030.93,,
"Dec 08, 2017",,1037.05,,
"Dec 11, 2017",955.5905,1041.1,905.547099207,1005.63390079
"Dec 12, 2017",961.5035,1040.48,908.700059694,1014.30694031
"Dec 13, 2017",967.186,1040.61,912.224467194,1022.14753281
"Dec 14, 2017",974.0945,1049.15,917.89978818,1030.28921182
"Dec 15, 2017",981.7705,1064.19,924.226384431,1039.31461557
"Dec 18, 2017",990.2945,1077.14,931.842647436,1048.74635256
"Dec 19, 2017",997.594,1070.68,938.652464971,1056.53553503
"Dec 20, 2017",1004.4915,1064.95,946.177560954,1062.80543905
"Dec 21, 2017",1011.609,1063.63,955.334378918,1067.88362108
"Dec 22, 2017",1018.8205,1060.12,966.344489393,1071.29651061
"Dec 26, 2017",1025.967,1056.74,979.113288009,1072.82071199
"Dec 27, 2017",1032.371,1049.37,992.318180939,1072.42381906
"Dec 28, 2017",1038.2995,1048.14,1006.29784585,1070.30115415
"Dec 29, 2017",1043.653,1046.4,1021.70153629,1065.60446371
"Jan 02, 2018",1046.3945,1065.0,1025.44376192,1067.34523808
"Jan 03, 2018",1050.5845,1082.48,1031.37087696,1069.79812304
"Jan 04, 2018",1054.647,1086.4,1037.02153842,1072.27246158
"Jan 05, 2018",1058.8395,1102.23,1040.34371599,1077.33528401
"Nov 01, 2017",1058.568,1025.5,1039.60696749,1077.52903251
"Nov 02, 2017",1057.9945,1025.58,1038.19351638,1077.79548362
"Nov 03, 2017",1057.5635,1032.48,1037.28731426,1077.83968574
"Nov 06, 2017",1056.8345,1025.9,1035.66916974,1077.99983026
"Nov 07, 2017",1056.4705,1033.33,1034.95180544,1077.98919456
"Nov 08, 2017",1056.0055,1039.85,1034.22144391,1077.78955609
"Nov 09, 2017",1054.359,1031.26,1031.98950552,1076.72849448
"Nov 10, 2017",1051.9055,1028.07,1029.47521538,1074.33578462
"Nov 13, 2017",1049.659,1025.75,1026.95967381,1072.35832619
"Nov 14, 2017",1047.7115,1026.0,1024.72408095,1070.69891905
"Nov 15, 2017",1045.5755,1020.91,1022.16421269,1068.98678731
"Nov 16, 2017",1044.1945,1032.5,1020.8718635,1067.5171365
"Nov 17, 2017",1042.312,1019.09,1018.54013215,1066.08386785
"Nov 20, 2017",1040.7625,1018.38,1016.47059256,1065.05440744
"Nov 21, 2017",1040.08,1034.49,1015.81453917,1064.34546083
"Nov 22, 2017",1039.558,1035.96,1015.32337762,1063.79262238
"Nov 24, 2017",1038.3385,1040.61,1014.84932079,1061.82767921
"Nov 27, 2017",1036.925,1054.21,1015.46933936,1058.38066064
"Nov 28, 2017",1034.9755,1047.41,1016.71897889,1053.23202111
"Nov 29, 2017",1030.947,1021.66,1021.5935058,1040.3004942
"Nov 30, 2017",1030.7425,1021.41,1021.22045529,1040.26454471
"Oct 02, 2017",1027.127,953.27,1007.34314505,1046.91085495
"Oct 03, 2017",1023.3925,957.79,998.327686568,1048.45731343
"Oct 04, 2017",1019.6815,951.68,989.947931114,1049.41506889
"Oct 05, 2017",1016.513,969.96,984.987926086,1048.03807391
"Oct 06, 2017",1013.465,978.89,981.373154914,1045.55684509
"Oct 09, 2017",1010.752,977.0,977.957848788,1043.54615121
"Oct 10, 2017",1007.9785,972.6,974.390056926,1041.56694307
"Oct 11, 2017",1006.1535,989.25,972.589888239,1039.71711176
"Oct 12, 2017",1004.245,987.83,970.784241916,1037.70575808
"Oct 13, 2017",1002.6835,989.68,969.312794556,1036.05420544
"Oct 16, 2017",1000.6585,992.0,967.970520031,1033.34647997
"Oct 17, 2017",999.313,992.18,966.870716009,1031.75528399
"Oct 18, 2017",998.0345,992.81,965.880609104,1030.1883909
"Oct 19, 2017",995.5325,984.45,964.435100908,1026.62989909
"Oct 20, 2017",993.1445,988.2,963.515879151,1022.77312085
"Oct 23, 2017",989.5365,968.45,961.649755691,1017.42324431
"Oct 24, 2017",985.353,970.54,961.72884686,1008.97715314
"Oct 25, 2017",981.649,973.33,962.978730107,1000.31926989
"Oct 26, 2017",979.194,972.56,962.997525595,995.390474405
"Oct 27, 2017",979.087,1019.27,963.179610092,994.994389908
"Oct 30, 2017",982.279,1017.11,965.446528593,999.111471407
"Oct 31, 2017",985.2215,1016.64,967.763112097,1002.6798879
"Sep 01, 2017",984.5045,937.34,965.381030133,1003.62796987
"Sep 05, 2017",982.429,928.45,959.726292788,1005.13170721
"Sep 06, 2017",979.875,927.81,954.089347421,1005.66065258
"Sep 07, 2017",977.8225,935.95,950.22579675,1005.41920325
"Sep 08, 2017",975.5175,926.5,945.631359421,1005.40364058
"Sep 11, 2017",972.509,929.08,941.088854786,1003.92914521
"Sep 12, 2017",969.721,932.07,937.274764487,1002.16723551
"Sep 13, 2017",966.9915,935.09,934.020741939,999.962258061
"Sep 14, 2017",963.647,925.11,929.961716457,997.332283543
"Sep 15, 2017",960.0525,920.29,925.742338106,994.362661894
"Sep 18, 2017",956.162,915.0,921.353870943,990.970129057
"Sep 19, 2017",953.03,921.81,918.083295013,987.976704987
"Sep 20, 2017",950.199,931.58,915.965241669,984.432758331
"Sep 21, 2017",948.399,932.45,914.229005483,982.568994517
"Sep 22, 2017",946.2985,928.53,912.270266169,980.326733831
"Sep 25, 2017",943.6805,920.97,909.827687247,977.533312753
"Sep 26, 2017",941.2955,924.86,907.907299362,974.683700638
"Sep 27, 2017",937.5565,944.49,909.617424689,965.495575311
"Sep 28, 2017",934.176,949.5,913.128961353,955.223038647
