ADX,DI_minus,DI_plus,date
27.1035934207,26.7660236981,15.5045419305,2016-01-26
28.9161960462,30.3173008837,13.2042357549,2016-01-27
27.3249506609,25.8859275184,17.9774971523,2016-01-28
24.0637365358,22.1502134235,24.3481839985,2016-01-29
24.5147672832,18.988337964,33.1941906826,2016-02-01
27.0653275825,16.3030885053,40.4533221172,2016-02-02
25.4317812308,25.4854111468,34.7784529779,2016-02-03
22.4108936171,32.2643397372,29.9333319755,2016-02-04
22.0607953693,38.5877194211,25.7879949033,2016-02-05
23.6179473476,44.4996318807,22.2350335472,2016-02-08
22.9736751988,38.3957760798,26.1778423712,2016-02-09
22.1813991625,33.1492747756,23.4312739519,2016-02-10
23.2237888389,37.4529945399,20.2401227409,2016-02-11
22.8290688331,32.3667373969,21.4355887595,2016-02-12
21.290588971,27.9820450734,22.2223990207,2016-02-16
19.3217914066,24.1994217571,27.6896702444,2016-02-17
18.1974399995,20.9341659351,26.1030967453,2016-02-18
16.2147022941,21.0676364975,22.5865945947,2016-02-19
17.4468129939,18.2334094079,30.6322627698,2016-02-22
15.8053884312,23.8799929137,26.5162325537,2016-02-23
15.3835688947,29.6139451252,22.9569563525,2016-02-24
13.4671725175,25.642424172,25.087532317,2016-02-25
13.5900762407,22.2061913936,29.6679342081,2016-02-26
12.67091361,22.4561290376,25.6949314505,2016-02-29
13.2207428204,19.450650708,27.2939733373,2016-03-01
14.2181914211,16.8487314233,25.6326869537,2016-03-02
12.8348357545,20.5496518501,22.2052924966,2016-03-03
11.6369046169,17.802959231,19.2373048416,2016-03-04
13.0227613176,26.0734693021,16.6668651421,2016-03-07
14.5314491684,23.7200417933,14.4405136045,2016-03-08
14.8222305801,20.5523102293,14.6674941795,2016-03-09
14.7363785952,17.808203829,23.6927154376,2016-03-10
17.1394474174,15.4309247895,30.4519597108,2016-03-11
21.1758927615,13.3713268242,37.452164029,2016-03-14
24.3764668768,12.2612527275,32.4540385594,2016-03-15
28.0349583019,10.6251413639,33.4568434675,2016-03-16
32.5987350909,9.20749639456,39.5611759247,2016-03-17
34.0727111744,13.4493651297,34.2832566774,2016-03-18
35.4824907688,11.6552043881,30.4522675273,2016-03-21
37.5023995495,10.1004921798,30.813003508,2016-03-22
38.2688292692,10.5790979867,26.7030337483,2016-03-23
34.5111096443,18.8975091131,23.1414506652,2016-03-24
32.0403535773,16.3771183996,22.6094085403,2016-03-28
31.5788196745,14.1929597308,25.5519353595,2016-03-29
33.454596192,12.3001573643,32.9577090908,2016-03-30
30.9796994158,21.1562511824,28.5625273336,2016-03-31
27.5516433676,22.2736234949,24.7535740683,2016-04-01
25.4906382666,19.3033905238,24.6159997208,2016-04-04
23.4616820928,26.2197065429,21.3334675,2016-04-05
20.3508322589,22.7233774175,22.7837953476,2016-04-06
17.9665836945,19.6933171713,20.6910535647,2016-04-07
15.6148007127,18.0506294119,17.9320281528,2016-04-08
13.5766351048,15.6437137981,15.5409271246,2016-04-11
13.9692781765,18.7998567632,13.4686803723,2016-04-12
14.6924600122,16.2930800996,24.1328192186,2016-04-13
17.1066841129,14.1205724563,27.9038980929,2016-04-14
20.4524892843,12.2377566327,30.1068742234,2016-04-15
24.8351967044,10.606001046,34.836954059,2016-04-18
26.2627802457,14.3580555267,30.1918918945,2016-04-19
27.5000089915,12.4435999172,26.166204942,2016-04-20
29.2436732425,10.7844170539,25.5128225581,2016-04-21
26.0556900033,19.8715892073,22.1110485461,2016-04-22
23.2927862027,17.2220005497,19.1628604156,2016-04-25
22.1355657076,22.2925789427,16.6077760633,2016-04-26
23.4370154494,27.8756392934,14.3933786587,2016-04-27
23.3117361705,24.1588477292,15.2849962028,2016-04-28
23.4540846996,21.7883627685,13.2469778627,2016-04-29
21.5719208717,18.8832244498,15.6577947426,2016-05-02
19.9407159752,16.3654437017,13.570074276,2016-05-03
20.0400819422,17.8953649293,11.7607201474,2016-05-04
17.4286866761,15.5093038238,15.3688945956,2016-05-05
18.4843830542,13.4413872972,22.5686177502,2016-05-06
21.9026828619,11.6491953014,30.0455595514,2016-05-09
25.9299539098,10.0959639862,32.0646350032,2016-05-10
27.72476722,12.0831575137,27.7893377526,2016-05-11
26.9544077358,15.4151521658,24.0840832673,2016-05-12
26.2867633386,13.3597939998,20.8728650658,2016-05-13
23.8828755943,15.3301140235,18.089811058,2016-05-16
22.7096164938,13.2860954262,18.0060259549,2016-05-17
19.7408262887,15.7443238577,15.6052190392,2016-05-18
19.29858116,18.8400799618,13.5245205722,2016-05-19
17.9879709827,16.3280665849,19.7437085473,2016-05-20
16.8521091816,14.1509890008,17.1112116082,2016-05-23
18.5023434518,12.2641889354,22.394538534,2016-05-24
22.4907774985,10.6289625934,30.5810078996,2016-05-25
26.1993934187,9.2117667167,27.8617301941,2016-05-26
30.670566485,7.98353050533,31.6696094977,2016-05-27
35.6716482383,6.9190592837,36.5678574674,2016-05-31
39.3020041175,7.21795839091,31.6921412029,2016-06-01
38.0059138639,14.9261922926,27.466520922,2016-06-02
34.8526036297,17.8275998513,23.8043170404,2016-06-03
30.9737576756,23.1528790881,20.6304072815,2016-06-06
27.6120914315,20.0658278517,17.8796856946,2016-06-07
