date,rsi
"Dec 04, 2017",72.9719985579
"Dec 05, 2017",73.2500743384
"Dec 06, 2017",77.913175933
"Dec 07, 2017",74.2552045944
"Dec 08, 2017",71.5366517507
"Dec 11, 2017",69.5744366093
"Dec 12, 2017",75.29296875
"Dec 13, 2017",73.9433620781
"Dec 14, 2017",73.9171846802
"Dec 15, 2017",69.1005741016
"Dec 18, 2017",69.8030088937
"Dec 19, 2017",70.105808491
"Dec 20, 2017",71.1634309584
"Dec 21, 2017",63.1649573469
"Dec 22, 2017",71.3512343006
"Dec 26, 2017",72.1506409195
"Dec 27, 2017",67.6540959326
"Dec 28, 2017",67.8253313057
"Dec 29, 2017",70.0300082188
"Jan 02, 2018",76.0295961109
"Jan 03, 2018",75.9329818884
"Jan 04, 2018",76.8489230306
"Jan 05, 2018",78.4280701754
"Nov 01, 2017",53.531309183
"Nov 02, 2017",48.3585446018
"Nov 03, 2017",45.3280891984
"Nov 06, 2017",45.120505729
"Nov 07, 2017",41.1289378147
"Nov 08, 2017",37.2380336352
"Nov 09, 2017",36.0240285339
"Nov 10, 2017",36.9915825998
"Nov 13, 2017",36.7343032159
"Nov 14, 2017",30.5173807599
"Nov 15, 2017",29.9420740564
"Nov 16, 2017",27.7609415745
"Nov 17, 2017",29.5422770652
"Nov 20, 2017",27.2549590385
"Nov 21, 2017",55.0636476287
"Nov 22, 2017",55.756433008
"Nov 24, 2017",54.6240473211
"Nov 27, 2017",58.1138006916
"Nov 28, 2017",57.4655355249
"Nov 29, 2017",49.1114201824
"Nov 30, 2017",52.4942186984
"Oct 02, 2017",34.1665322797
"Oct 03, 2017",30.283161193
"Oct 04, 2017",35.4212841409
"Oct 05, 2017",36.6894822091
"Oct 06, 2017",35.7971705611
"Oct 09, 2017",38.1242593533
"Oct 10, 2017",37.3466003317
"Oct 11, 2017",37.5330687831
"Oct 12, 2017",43.6345776031
"Oct 13, 2017",42.5817211474
"Oct 16, 2017",37.909392584
"Oct 17, 2017",32.8147364491
"Oct 18, 2017",32.7415528103
"Oct 19, 2017",30.7043117999
"Oct 20, 2017",58.8556588412
"Oct 23, 2017",48.4715352238
"Oct 24, 2017",45.88942227
"Oct 25, 2017",37.8041016341
"Oct 26, 2017",38.2811841107
"Oct 27, 2017",55.2033278348
"Oct 30, 2017",56.8472207861
"Oct 31, 2017",57.873864654
"Sep 01, 2017",28.9907081064
"Sep 05, 2017",32.8169725543
"Sep 06, 2017",38.3525152829
"Sep 07, 2017",41.5314352347
"Sep 08, 2017",46.8191465823
"Sep 11, 2017",42.0409526992
"Sep 12, 2017",41.7592607396
"Sep 13, 2017",40.1882352941
"Sep 14, 2017",44.1606934489
"Sep 15, 2017",49.5040577096
"Sep 18, 2017",48.5526718596
"Sep 19, 2017",25.9359008888
"Sep 20, 2017",27.2051617119
"Sep 21, 2017",22.4057686005
"Sep 22, 2017",44.2918232474
"Sep 25, 2017",45.0685654008
"Sep 26, 2017",41.0399223831
"Sep 27, 2017",47.5380483438
"Sep 28, 2017",48.9873963158
