Date,MA,Price,lower,upper
2016-01-04,,18.690001,,
2016-01-05,,18.49,,
2016-01-06,,18.41,,
2016-01-07,,17.0,,
2016-01-08,,16.190001,,
2016-01-11,,15.26,,
2016-01-12,,14.6,,
2016-01-13,,14.61,,
2016-01-14,,12.48,,
2016-01-15,,11.46,,
2016-01-19,,10.57,,
2016-01-20,,11.0,,
2016-01-21,,10.68,,
2016-01-22,,10.83,,
2016-01-25,,10.59,,
2016-01-26,,10.88,,
2016-01-27,,10.61,,
2016-01-28,,10.57,,
2016-01-29,,11.45,,
2016-02-01,13.2715001,11.06,10.2152754624,16.3277247376
2016-02-02,12.84900005,10.24,10.0045281567,15.6934719433
2016-02-03,12.46000005,10.71,9.91092996713,15.0090701329
2016-02-04,12.02850005,9.78,9.83384789769,14.2231522023
2016-02-05,11.67650005,9.96,9.77638559324,13.5766145068
2016-02-08,11.4165,10.99,9.83792877726,12.9950712227
2016-02-09,11.223,11.39,9.92877761612,12.5172223839
2016-02-10,11.0225,10.59,9.99606583004,12.04893417
2016-02-11,10.8005,10.17,10.1983680421,11.4026319579
2016-02-12,10.692,10.31,10.2289938047,11.1550061953
2016-02-16,10.6985,11.59,10.2233903174,11.1736096826
2016-02-17,10.8195,12.99,10.1224953183,11.5165046817
2016-02-18,10.889,12.39,10.1087240704,11.6692759296
2016-02-19,10.974,12.38,10.1278732209,11.8201267791
2016-02-22,11.0755,12.86,10.1314634541,12.0195365459
2016-02-23,11.1515,12.11,10.1876301955,12.1153698045
2016-02-24,11.195,11.75,10.2244195985,12.1655804015
2016-02-25,11.2315,11.34,10.2703971521,12.1926028479
2016-02-26,11.318,12.3,10.3418334913,12.2941665087
2016-02-29,11.3395,11.88,10.3555687069,12.3234312931
2016-03-01,11.381,11.89,10.3919872014,12.3700127986
2016-03-02,11.52,13.02,10.5047789974,12.5352210026
2016-03-03,11.6635,13.58,10.5690533722,12.7579466278
2016-03-04,11.8425,13.36,10.7800258517,12.9049741483
2016-03-07,12.0385,13.88,10.9800141152,13.0969858848
2016-03-08,12.1095,12.41,11.077759136,13.141240864
2016-03-09,12.154,12.28,11.135821027,13.172178973
2016-03-10,12.2335,12.18,11.284116405,13.182883595
2016-03-11,12.355,12.6,11.5372270293,13.1727729707
2016-03-14,12.453,12.27,11.790492006,13.115507994
2016-03-15,12.4585,11.7,11.8031152195,13.1138847805
2016-03-16,12.4245,12.31,11.7806017161,13.0683982839
2016-03-17,12.4525,12.95,11.7980908651,13.1069091349
2016-03-18,12.4775,12.88,11.816489012,13.138510988
2016-03-21,12.488,13.07,11.8189739994,13.1570260006
2016-03-22,12.531,12.97,11.8599136851,13.2020863149
2016-03-23,12.557,12.27,11.9080567294,13.2059432706
2016-03-24,12.611,12.42,12.026967737,13.195032263
2016-03-28,12.571,11.5,11.9391114355,13.2028885645
2016-03-29,12.5595,11.65,11.9124624187,13.2065375813
2016-03-30,12.573,12.16,11.9379608383,13.2080391617
2016-03-31,12.52,11.96,11.8800164476,13.1599835524
2016-04-01,12.428,11.74,11.8168096171,13.0391903829
2016-04-04,12.3615,12.03,11.7857234077,12.9372765923
2016-04-05,12.25,11.65,11.7770139648,12.7229860352
2016-04-06,12.2355,12.12,11.7632325133,12.7077674867
2016-04-07,12.236,12.29,11.7636776302,12.7083223698
2016-04-08,12.243,12.32,11.7705138543,12.7154861457
2016-04-11,12.2015,11.77,11.7255823269,12.6774176731
2016-04-12,12.172,11.68,11.6824610117,12.6615389883
2016-04-13,12.282,13.9,11.6718007228,12.8921992772
2016-04-14,12.3565,13.8,11.6581163398,13.0548836602
2016-04-15,12.3975,13.77,11.6408044483,13.1541955517
2016-04-18,12.41,13.13,11.6429207822,13.1770792178
2016-04-19,12.404,12.95,11.6419017883,13.1660982117
2016-04-20,12.4275,13.44,11.6402003179,13.2147996821
2016-04-21,12.492,13.56,11.666373603,13.317626397
2016-04-22,12.57,13.98,11.6803282687,13.4596717313
2016-04-25,12.636,12.82,11.781621802,13.490378198
2016-04-26,12.7125,13.18,11.8829162426,13.5420837574
2016-04-27,12.7695,13.3,11.9407122042,13.5982877958
2016-04-28,12.8185,12.94,12.0114046557,13.6255953443
2016-04-29,12.8635,12.64,12.0955617144,13.6314382856
2016-05-02,12.8735,12.23,12.115752125,13.631247875
2016-05-03,12.8735,11.65,12.115752125,13.631247875
