ADX,DI_minus,DI_plus,date
49.2796161447,19.8705435211,16.4124250681,2015-01-26
44.8604446658,20.7462809486,13.9774222857,2015-01-27
40.0116567548,17.7138699442,22.402419793,2015-01-28
35.9506921505,24.3341574251,19.1694262941,2015-01-29
34.0488759155,26.0448132353,16.4330491128,2015-01-30
30.4925501743,22.3616672551,18.7062705092,2015-02-02
29.2066880983,19.2247299464,29.647319215,2015-02-03
26.265883818,21.6941182347,25.5170363331,2015-02-04
22.7932740306,21.4661181184,21.9832928537,2015-02-05
21.5617917183,25.0515555746,18.9545273261,2015-02-06
23.5447608599,34.7682730383,16.3546024125,2015-02-09
26.5895827456,38.0097543492,14.119865896,2015-02-10
28.4412241317,32.8331312654,14.0093083709,2015-02-11
27.3561395088,28.374268884,18.7390602433,2015-02-12
27.3225566455,28.2503344554,16.2004968846,2015-02-13
23.900918789,24.43144368,25.4341968382,2015-02-17
20.9815280008,23.0220284636,22.0023313938,2015-02-18
19.2961108595,22.5620780652,19.0382675351,2015-02-19
19.092187839,23.6034880004,16.4770512547,2015-02-20
21.2885368997,29.9208594104,14.2630443644,2015-02-23
23.1877972381,25.9045798502,12.3485146793,2015-02-24
23.0816989996,22.4305212192,14.2216550778,2015-02-25
20.7480566552,19.424701967,17.3411073043,2015-02-26
22.1596800627,28.6972894942,15.0188604415,2015-02-27
25.5246166638,36.3618598431,13.0087695876,2015-03-02
28.6217947561,32.6443177346,11.2685826413,2015-03-03
26.8931251236,28.2793850272,20.6073559867,2015-03-04
25.572375117,25.1723261427,17.8529505592,2015-03-05
26.3006219769,29.380501931,15.4674847547,2015-03-06
29.0390218271,36.9803848998,13.4013458514,2015-03-09
31.9832384724,35.8655387645,11.6116413213,2015-03-10
34.533720916,31.0768384493,10.061276476,2015-03-11
34.1367102822,26.9282832459,14.0086914526,2015-03-12
31.9955376218,23.3341086816,16.1835431594,2015-03-13
30.1404092103,20.2200882789,14.023791344,2015-03-16
26.1486461061,17.5219695026,17.6011951337,2015-03-17
23.1095715406,15.1841246619,16.2435558838,2015-03-18
20.0752325819,14.1797192201,14.0764773215,2015-03-19
17.4459153505,12.2881284048,12.1986590939,2015-03-20
19.2551792082,10.6489891317,20.2218587864,2015-03-23
20.8230094187,9.22858156605,17.5245810583,2015-03-24
24.644644091,7.99769670493,23.6611688629,2015-03-25
27.9564126288,6.93103123154,20.5054413057,2015-03-26
30.8263755764,6.00666397848,17.7707027337,2015-03-27
33.3134992166,5.20560288841,15.4007651853,2015-03-30
36.873095001,4.51139289987,18.0486642958,2015-03-31
32.2511244194,14.9641930496,15.6417862909,2015-04-01
28.2456027355,12.9686874871,13.5559222923,2015-04-02
28.6659173095,11.2393189861,21.5272184383,2015-04-06
29.5445062342,9.74058526626,20.3483208665,2015-04-07
31.1932215039,8.44172200101,20.6219350604,2015-04-08
33.7776531779,7.31607001582,22.2886199462,2015-04-09
37.1001273463,6.3405271275,24.360116966,2015-04-10
40.4145757362,5.49507327251,23.3936850927,2015-04-13
38.1028693665,12.671278863,20.2743664402,2015-04-14
38.9542949883,10.9816996053,28.5836351297,2015-04-15
37.4475487352,14.0393109353,24.7723363539,2015-04-16
32.5843614191,21.8919613845,21.4692474419,2015-04-17
28.3696396564,18.9729483915,18.6065979455,2015-04-20
26.8887495936,22.8549775265,16.1256557494,2015-04-21
23.6026685134,19.8075806875,18.9382485284,2015-04-22
22.0917409464,17.1665199789,21.9687842303,2015-04-23
20.2528869625,22.4864583512,19.0395649861,2015-04-24
18.6592210116,19.4882213122,16.500920258,2015-04-27
17.8123265772,16.8897598126,21.6307005016,2015-04-28
20.3882446999,14.6377678087,31.9285389713,2015-04-29
20.0854032144,19.182811854,27.671361074,2015-04-30
19.8229412907,16.6250831081,23.9818166946,2015-05-01
19.5954748136,14.4083899636,20.7842189254,2015-05-04
18.2752451878,21.8801361503,18.0129730532,2015-05-05
19.538587353,27.6034055984,15.6112307827,2015-05-06
17.2437417679,23.9229348775,22.8347327903,2015-05-07
17.1144110829,20.7331977278,28.7929701089,2015-05-08
15.3011907237,26.7722250314,24.9538943898,2015-05-11
15.3357042371,29.5971508221,21.6266986781,2015-05-12
13.4676810765,25.6508539793,24.9797122705,2015-05-13
13.0113608553,22.2307325544,27.1957662002,2015-05-14
12.6158835814,19.2666292013,23.5696570926,2015-05-15
14.8119258067,16.6977410421,30.3953061961,2015-05-18
17.4919107081,14.4713723658,29.995577799,2015-05-19
21.5446927774,12.5418536438,35.5921295637,2015-05-20
25.057102646,10.8696046837,30.8465071588,2015-05-21
29.158173793,9.42032270147,33.2201462658,2015-05-22
29.228479271,15.6101612767,28.7907898341,2015-05-26
28.4204505032,15.5649387739,24.9520151551,2015-05-27
30.2314408399,13.4896123384,33.0285939216,2015-05-28
31.8009655234,11.6909964094,28.6247790712,2015-05-29
34.7922916192,10.1321961741,34.1479115429,2015-06-01
37.7454044001,8.78123614793,32.0054074069,2015-06-02
40.8017394995,7.61040425872,31.0877895681,2015-06-03
38.6012681198,16.4090409811,26.9427497231,2015-06-04
38.3028738422,14.2211682849,30.4737039533,2015-06-05
39.4604374713,12.3250120889,34.170956567,2015-06-08
37.8712078466,16.8247914552,29.6148281404,2015-06-09
33.1583499492,24.4020706702,25.6661837241,2015-06-10
29.073873302,21.1484607732,22.2440253953,2015-06-11
25.4294922918,19.9613217838,19.2781549679,2015-06-12
22.4076983249,17.2998119212,18.2840765167,2015-06-15
21.8145640552,14.9931701128,21.5573476795,2015-06-16
21.9090727235,12.9940806,20.5491494319,2015-06-17
23.0636495191,11.2615363965,21.1776874841,2015-06-18
22.234107179,13.0627598175,18.3539956451,2015-06-19
21.7224841081,23.0789845708,15.9067960947,2015-06-22
21.2790774536,20.0017864853,13.7858898503,2015-06-23
19.9306668571,17.3348815133,13.8524990974,2015-06-24
18.7620443537,15.0235638977,12.0054991534,2015-06-25
21.3212807951,23.1353638936,10.4047658846,2015-06-26
25.599006709,29.687605975,9.01746373031,2015-06-29
27.904016009,25.7292584219,10.2842834098,2015-06-30
30.900760665,27.011879163,8.91304559488,2015-07-01
33.4979393521,23.4102952132,7.72463949531,2015-07-02
37.6374629045,31.0690566285,6.69468754739,2015-07-06
36.479917255,26.9265156917,14.8343061416,2015-07-07
35.4767110291,23.3363135596,12.8563986341,2015-07-08
34.6072656361,20.2248050551,11.1422121331,2015-07-09
30.5771803731,17.5281643586,16.056605223,2015-07-10
29.4230267502,21.7295310593,13.9157245111,2015-07-13
26.4000580613,18.8322602333,21.5589763747,2015-07-14
24.3360564752,16.3212921885,20.3228493974,2015-07-15
22.5472551033,14.1451198865,17.6131361317,2015-07-16
24.6368903897,12.259103894,27.4269064186,2015-07-17
28.7198820213,10.6245567023,36.8693950555,2015-07-20
32.8332375448,9.20794913767,36.3421876427,2015-07-21
36.912795101,7.98022258273,35.6632279865,2015-07-22
41.2166002309,6.91619290259,37.9815173107,2015-07-23
44.5786307882,6.63919906977,32.9173149925,2015-07-24
43.3873819348,13.5351265441,28.5283396526,2015-07-27
43.2013323477,11.7304430022,28.7137889354,2015-07-28
43.0400893722,10.1663839332,24.885283739,2015-07-29
40.0826305554,14.1226397395,21.5672459034,2015-07-30
40.2133107054,12.2396211058,29.2947813346,2015-07-31
37.990440467,15.7127661278,25.3888104867,2015-08-03
34.1953825431,18.1755604043,22.0036357527,2015-08-04
33.0590619818,15.7521523489,26.6339193564,2015-08-05
33.0282843787,13.6518653679,26.9957619301,2015-08-06
32.8386251991,12.1588229947,23.3963270044,2015-08-07
35.0578473475,10.5376465947,31.1813908065,2015-08-10
32.8889747366,18.4741928952,27.0238720308,2015-08-11
29.4685075127,27.0742344199,23.4206890923,2015-08-12
27.3424581697,23.4643364963,30.8029803394,2015-08-13
25.4998820726,20.335758296,26.6959162932,2015-08-14
22.1873128639,22.8350654786,23.1364607867,2015-08-17
21.3224508884,27.5208824242,20.051599348,2015-08-18
22.8662707613,34.4202710512,17.3780527678,2015-08-19
26.1306491012,42.1497483546,15.0609790652,2015-08-20
30.3140878315,48.3816295119,13.0528485229,2015-08-21
35.0190572932,54.4602962625,11.3124687197,2015-08-24
35.5802832535,47.1989234269,20.6018608974,2015-08-25
37.0511175459,49.0319663784,17.8549461108,2015-08-26
37.6303971343,42.4943708609,17.6126430235,2015-08-27
38.0730479306,36.8284547458,15.4289160669,2015-08-28
39.1935202331,36.5941747937,13.3717272579,2015-08-31
41.7743802996,44.3282848215,11.5888302901,2015-09-01
44.8560151996,47.1633674528,10.043652918,2015-09-02
47.6935732916,42.706653763,8.70449919559,2015-09-03
50.9591272878,46.6999346855,7.54389930281,2015-09-04
54.0037059208,43.3582608706,6.53804606241,2015-09-08
57.2122084825,46.0040471162,5.6663065874,2015-09-09
59.9929107027,39.8701741673,4.9107990424,2015-09-10
63.1074219285,46.8727658614,4.25602583674,2015-09-11
63.8342531793,40.6230637465,7.5774435853,2015-09-14
64.4641735967,35.2066552469,6.56711777392,2015-09-15
60.1320177581,30.5124345472,15.7279834713,2015-09-16
53.0230469931,26.4441099409,23.0698629029,2015-09-17
48.3420091026,28.7213413254,19.9938811825,2015-09-18
46.4006638426,35.0082206092,17.3280303581,2015-09-21
45.7559587581,36.3821268067,15.0176263104,2015-09-22
45.1972143514,31.5311765657,13.0152761356,2015-09-23
43.4353066709,27.3270196903,14.0829179505,2015-09-24
39.9210478682,23.6834170649,16.7739585284,2015-09-25
39.7794358923,33.0163245294,14.5374307246,2015-09-28
40.4812706859,33.2518377665,12.599106628,2015-09-29
39.1976320277,28.8182593977,15.2281795912,2015-09-30
38.3546335187,26.1252500987,13.1977556457,2015-10-01
39.0811123111,29.2691023538,11.4380548929,2015-10-02
38.1921589834,25.3665553732,12.9474636658,2015-10-05
34.6185300207,21.9843479901,17.4884224274,2015-10-06
34.0529477716,28.3823110858,15.1566327704,2015-10-07
34.1780417353,27.2764382663,13.1357484011,2015-10-08
31.6156941873,23.6395798308,17.4868821645,2015-10-09
29.6540341071,21.3209703441,15.1552978759,2015-10-12
27.9539287042,18.4781742982,13.1345914925,2015-10-13
29.257610202,25.1787369739,11.3833126268,2015-10-14
26.4453136944,21.8215720441,18.5269586114,2015-10-15
24.8329987028,21.4383422351,16.0566974632,2015-10-16
22.9474807303,18.5798966037,23.0285064073,2015-10-19
23.503280562,16.1025770566,28.0842747091,2015-10-20
21.1065226485,21.7898492682,24.3397047479,2015-10-21
18.4715790199,21.669346159,21.0944107815,2015-10-22
16.1879612084,18.7801000045,18.2818226773,2015-10-23
15.5513225465,19.9268644484,15.8442463203,2015-10-26
17.2809703553,24.6913398377,13.7316801443,2015-10-27
15.1811494747,21.3991611927,20.7532539392,2015-10-28
15.9090033457,27.3418847431,17.986153414,2015-10-29
16.5398100338,23.6963001107,15.5879996255,2015-10-30
18.5912210695,26.1809699257,13.5095996754,2015-11-02
20.3691106337,22.6901739356,11.7083197187,2015-11-03
21.3320852436,19.6648174109,11.1598530549,2015-11-04
24.0446808495,23.4944541968,9.67187264758,2015-11-05
26.9396314499,22.5240404841,8.3822896279,2015-11-06
23.4872149815,19.5208350862,19.1164923876,2015-11-09
21.7542344507,20.4508092115,16.5676267359,2015-11-10
20.7137578637,19.0143593118,14.3586098378,2015-11-11
22.9870772092,27.5457780702,12.4441285261,2015-11-12
27.2277222331,36.9274009663,10.7849113893,2015-11-13
30.9029479204,32.0037475041,9.34692320404,2015-11-16
33.4245950151,27.7365811702,9.29112022069,2015-11-17
37.5040639547,36.7083471303,8.05230419127,2015-11-18
38.4095385754,31.8139008462,12.2816999616,2015-11-19
37.6337045433,27.5720474001,14.017641878,2015-11-20
38.4842618121,31.2493008536,12.1486229609,2015-11-23
39.3937570947,27.9715985175,10.5288065661,2015-11-24
35.6241420727,24.2420520485,19.3895053732,2015-11-25
31.3467383416,21.0097784421,22.5534926544,2015-11-27
27.6396551079,18.2084746498,19.5463603005,2015-11-30
26.2468916616,23.9751278273,16.9401789271,2015-12-01
25.0398300082,20.778444117,14.6814884035,2015-12-02
26.8254561493,28.6090800371,12.7239566163,2015-12-03
30.5403217164,37.6447682663,11.0274290675,2015-12-04
34.38436248,37.4881952425,9.55710519183,2015-12-07
37.5554735934,32.4897692102,8.59291716227,2015-12-08
41.0410969357,33.5815241993,7.44719487396,2015-12-09
39.9743178588,29.1039876394,14.6481652544,2015-12-10
39.0497759922,25.2234559542,12.6950765538,2015-12-11
40.0322641196,30.0654566987,11.00239968,2015-12-14
40.3196889617,26.0567291389,10.5943781583,2015-12-15
35.6227354954,22.5824985871,20.3939087289,2015-12-16
31.7481866899,19.5714987755,22.3211744235,2015-12-17
27.9979376891,17.992892909,19.3450178337,2015-12-18
24.7477218885,15.5938405212,16.7656821226,2015-12-21
21.9308681946,13.514661785,14.5302578396,2015-12-22
19.4895949932,11.7127068803,12.5928901276,2015-12-23
17.9606746182,12.8177504069,10.9138381106,2015-12-24
17.8799918985,11.1087170193,15.7744374736,2015-12-28
15.6111387822,13.4370740245,13.6711791438,2015-12-29
15.2618896589,11.6454641545,15.1231856673,2015-12-30
13.2859719052,12.9912754031,13.1067609117,2015-12-31
