date,rsi
2015-01-23,51.1234264381
2015-01-26,49.725619572
2015-01-27,45.1772829888
2015-01-28,40.4155187303
2015-01-29,42.3796676598
2015-01-30,46.8350724253
2015-02-02,49.5716733295
2015-02-03,58.9694672149
2015-02-04,56.2696416082
2015-02-05,61.5017805123
2015-02-06,49.3779920057
2015-02-09,45.7717327025
2015-02-10,46.7624523863
2015-02-11,44.1465038683
2015-02-12,36.5998565924
2015-02-13,39.6621086354
2015-02-17,49.1525424303
2015-02-18,48.2120530133
2015-02-19,48.9091831558
2015-02-20,50.1821967725
2015-02-23,51.7458233364
2015-02-24,54.2426300752
2015-02-25,52.4644071883
2015-02-26,53.5507134529
2015-02-27,60.7012413619
2015-03-02,61.7660155303
2015-03-03,56.1933510295
2015-03-04,60.6283885292
2015-03-05,63.6901672976
2015-03-06,62.2015548739
2015-03-09,47.5053214902
2015-03-10,52.2109078639
2015-03-11,51.1282595035
2015-03-12,49.743026721
2015-03-13,46.2990536212
2015-03-16,44.7646423009
2015-03-17,43.7194163968
2015-03-18,39.0564947888
2015-03-19,42.6602721786
2015-03-20,44.3478322648
2015-03-23,48.1200494467
2015-03-24,45.8913799745
2015-03-25,47.552748013
2015-03-26,47.5821729331
2015-03-27,57.8063866506
2015-03-30,58.1094640402
2015-03-31,61.1951539271
2015-04-01,47.8134009426
2015-04-02,50.1392652718
2015-04-06,51.4396041649
2015-04-07,48.8661549898
2015-04-08,53.7324262184
2015-04-09,54.1283206308
2015-04-10,56.1753453439
2015-04-13,52.1212101316
2015-04-14,46.9057893278
2015-04-15,49.3037252135
2015-04-16,52.5132607407
2015-04-17,50.9184364913
2015-04-20,48.5758246281
2015-04-21,46.6600995781
2015-04-22,61.329194585
2015-04-23,63.7655773909
2015-04-24,55.90000913
2015-04-27,57.7586225889
2015-04-28,58.5692988422
2015-04-29,70.7214360967
2015-04-30,62.7575384078
2015-05-01,66.0000016667
2015-05-04,70.8968977721
2015-05-05,69.1899563927
2015-05-06,64.0282498837
2015-05-07,62.6086995219
2015-05-08,63.3583963342
2015-05-11,60.9450302129
2015-05-12,58.5041001033
2015-05-13,52.5291743542
2015-05-14,51.2873257587
2015-05-15,55.8864651149
