Date,MA,Price,lower,upper
2015-01-02,,36.360001,,
2015-01-05,,35.950001,,
2015-01-06,,35.279999,,
2015-01-07,,36.02,,
2015-01-08,,36.689999,,
2015-01-09,,36.759998,,
2015-01-12,,36.599998,,
2015-01-13,,36.5,,
2015-01-14,,36.349998,,
2015-01-15,,36.189999,,
2015-01-16,,36.450001,,
2015-01-20,,36.09,,
2015-01-21,,36.48,,
2015-01-22,,36.91,,
2015-01-23,,36.450001,,
2015-01-26,,35.810001,,
2015-01-27,,34.189999,,
2015-01-28,,33.779999,,
2015-01-29,,34.209999,,
2015-01-30,35.8054997,33.040001,34.6958650217,36.9151343783
2015-02-02,35.66999975,33.650002,34.4698684594,36.8701310406
2015-02-03,35.55749975,33.700001,34.2819120309,36.8330874691
2015-02-04,35.4734997,33.599998,34.1254203094,36.8215790906
2015-02-05,35.36949965,33.939999,33.9860317641,36.7529675359
2015-02-06,35.19999965,33.299999,33.7796551062,36.6203441938
2015-02-09,35.00849975,32.93,33.5518263017,36.4651731983
2015-02-10,34.8634999,33.700001,33.4294248022,36.2975749978
2015-02-11,34.71599985,33.549999,33.3076248424,36.1243748576
2015-02-12,34.605,34.130001,33.2455514191,35.9644485809
2015-02-13,34.5135001,34.360001,33.2057445602,35.8212556398
2015-02-17,34.42800015,34.740002,33.2000508747,35.6559494253
2015-02-18,34.33700015,34.27,33.172923159,35.501077141
2015-02-19,34.2235001,34.209999,33.1743785305,35.2726216695
2015-02-20,34.0985001,34.41,33.258153499,34.938846701
2015-02-23,33.96399995,33.759998,33.3298537288,34.5981461712
2015-02-24,33.8939999,34.41,33.4164026685,34.3715971315
2015-02-25,33.882,33.950001,33.4092408035,34.3547591965
2015-02-26,33.87550015,33.650002,33.4003770188,34.3506232812
2015-02-27,33.8275002,33.25,33.3396273272,34.3153730728
2015-03-02,33.8785002,34.060001,33.4251930256,34.3318073744
2015-03-03,33.901,34.099998,33.4484641323,34.3535358677
2015-03-04,33.9219999,34.119999,33.4695373067,34.3744624933
2015-03-05,33.9285,33.73,33.4799902289,34.3770097711
2015-03-06,33.891,33.189999,33.4131106834,34.3688893166
2015-03-09,33.8620001,32.720001,33.3316416129,34.3923585871
2015-03-10,33.80050015,31.700001,33.1094181068,34.4915821932
2015-03-11,33.7320002,32.330002,32.9665380663,34.4974623337
2015-03-12,33.5945002,30.799999,32.5861640279,34.6028363721
2015-03-13,33.43450015,30.93,32.2733098629,34.5956904371
2015-03-16,33.2580001,30.83,31.9822605079,34.5337396921
2015-03-17,33.0505,30.59,31.6935784125,34.4074215875
2015-03-18,32.88149995,30.889999,31.4748830365,34.2881168635
2015-03-19,32.708,30.74,31.2604627204,34.1555372796
2015-03-20,32.55299995,31.309999,31.1315658738,33.9744340262
2015-03-23,32.4250001,31.200001,31.0027131266,33.8472870734
2015-03-24,32.24400015,30.790001,30.8577351515,33.6302651485
2015-03-25,32.04100005,29.889999,30.6208520967,33.4611480033
2015-03-26,31.86249995,30.08,30.4309205464,33.2940793536
2015-03-27,31.79999995,32.0,30.4053749851,33.1946249149
2015-03-30,31.66999985,31.459999,30.3798633325,32.9601363675
2015-03-31,31.52849995,31.27,30.3704785686,32.6865213314
2015-04-01,31.36299995,30.809999,30.3700821825,32.3559177175
2015-04-02,31.2169999,30.809999,30.3895552385,32.0444445615
2015-04-06,31.1095,31.040001,30.4244680269,31.7945319731
2015-04-07,31.03649995,31.26,30.4634901718,31.6095097282
2015-04-08,31.01699985,31.309999,30.4613860632,31.5726136368
2015-04-09,30.96249975,31.24,30.4961716452,31.4288278548
2015-04-10,31.0189998,31.93,30.5071619735,31.5308376265
2015-04-13,31.0589998,31.73,30.523758508,31.594241092
2015-04-14,31.0919998,31.49,30.5513023052,31.6326972948
2015-04-15,31.2039999,32.830002,30.5521810183,31.8558187817
2015-04-16,31.3029999,32.869999,30.5577191097,32.0482806903
2015-04-17,31.38949995,32.470001,30.6132504249,32.1657494751
2015-04-20,31.4605,32.73,30.6289351144,32.2920648856
2015-04-21,31.52199995,32.43,30.665602088,32.378397812
2015-04-22,31.61749995,32.700001,30.7407719518,32.4942279482
2015-04-23,31.7404999,32.349998,30.9506264331,32.5303733669
2015-04-24,31.8405,32.080002,31.1517901787,32.5292098213
2015-04-27,31.8655,32.5,31.1617841804,32.5692158196
2015-04-28,31.94350005,33.02,31.2016722159,32.6853278841
2015-04-29,32.0245,32.889999,31.2717191806,32.7772808194
2015-04-30,32.1115,32.549999,31.4075017644,32.8154982356
2015-05-01,32.24199995,33.419998,31.5501559524,32.9338439476
2015-05-04,32.3614999,33.43,31.6819004783,33.0410993217
2015-05-05,32.43049985,32.639999,31.8003665323,33.0606331677
2015-05-06,32.47599995,32.220001,31.90055164,33.05144826
2015-05-07,32.52600005,32.240002,32.0249656806,33.0270344194
2015-05-08,32.5695,32.799999,32.0854552109,33.0535447891
2015-05-11,32.61749995,32.689999,32.1752944932,33.0597054068
2015-05-12,32.65549995,32.25,32.2891317335,33.0218681665
2015-05-13,32.6459998,32.639999,32.2819384989,33.0100611011
2015-05-14,32.6509999,32.970001,32.2830344337,33.0189653663
2015-05-15,32.67699995,32.990002,32.3041577459,33.0498421541
2015-05-18,32.71099995,33.41,32.3036610285,33.1183388715
2015-05-19,32.74700005,33.150002,32.3340251797,33.1599749203
