BW,Date,b
,"Aug 16, 2017",
,"Aug 17, 2017",
,"Aug 18, 2017",
,"Aug 21, 2017",
,"Aug 22, 2017",
,"Aug 23, 2017",
,"Aug 24, 2017",
,"Aug 25, 2017",
,"Aug 28, 2017",
,"Aug 29, 2017",
,"Aug 30, 2017",
,"Aug 31, 2017",
,"Dec 01, 2017",
,"Dec 04, 2017",
,"Dec 05, 2017",
,"Dec 06, 2017",
,"Dec 07, 2017",
,"Dec 08, 2017",
,"Dec 11, 2017",
0.230661516394,"Dec 12, 2017",1.05392277903
0.232833201082,"Dec 13, 2017",1.00285906686
0.231463671641,"Dec 14, 2017",0.947219756108
0.230592566803,"Dec 15, 2017",1.03339976806
0.231373109392,"Dec 18, 2017",1.14578256245
0.229836364189,"Dec 19, 2017",1.15733347821
0.22571770153,"Dec 20, 2017",1.14558698972
0.215451533248,"Dec 21, 2017",1.01210028299
0.200799905846,"Dec 22, 2017",0.96460556796
0.180258292877,"Dec 26, 2017",0.85801477519
0.154289328883,"Dec 27, 2017",0.833188714465
0.120574128561,"Dec 28, 2017",0.835689260874
0.0689499094438,"Dec 29, 2017",0.881635622626
0.071142691779,"Jan 02, 2018",1.05027824364
0.0708247581529,"Jan 03, 2018",0.542711494989
0.0689733524417,"Jan 04, 2018",0.261532859067
0.0667014813813,"Jan 05, 2018",0.335123405096
0.063973427301,"Nov 01, 2017",0.944313036604
0.061972400876,"Nov 02, 2017",1.02842111264
0.0587780386013,"Nov 03, 2017",0.722983737234
0.0537064858545,"Nov 06, 2017",0.820812967269
0.0471712480101,"Nov 07, 2017",0.821571768527
0.0374828040474,"Nov 08, 2017",0.757831243979
0.0332274654071,"Nov 09, 2017",0.474021938097
0.0340514015989,"Nov 10, 2017",0.0395692074551
0.0336442466931,"Nov 13, 2017",0.184077323584
0.0310551126428,"Nov 14, 2017",0.293148478571
0.0311568488315,"Nov 15, 2017",0.060256948573
0.0308232498886,"Nov 16, 2017",0.225877116027
0.0337674240419,"Nov 17, 2017",-0.361052426007
0.0362218944328,"Nov 20, 2017",-0.265207055782
0.0372497700165,"Nov 21, 2017",-0.0201857676143
0.038847644109,"Nov 22, 2017",-0.120296144851
0.0383882200206,"Nov 24, 2017",-0.0121763073623
0.0399192135251,"Nov 27, 2017",-0.114607081558
0.0391100684828,"Nov 28, 2017",-0.00102060125363
0.0416392422904,"Nov 29, 2017",-0.361122449242
0.0406287236878,"Nov 30, 2017",0.147773258384
0.0733857834042,"Oct 02, 2017",-1.32784294287
0.0920691130794,"Oct 03, 2017",-0.801232345949
0.10505010617,"Oct 04, 2017",-0.579531035615
0.113360075671,"Oct 05, 2017",-0.397889678592
0.118753756485,"Oct 06, 2017",-0.276573333592
0.122114990246,"Oct 09, 2017",-0.156495957245
0.126046145889,"Oct 10, 2017",-0.124457228724
0.129039762738,"Oct 11, 2017",-0.119564808152
0.130194858973,"Oct 12, 2017",-0.0783952127091
0.129356100088,"Oct 13, 2017",0.0551765609997
0.126057188633,"Oct 16, 2017",0.113295083336
0.124283702184,"Oct 17, 2017",0.158158309016
0.120604587403,"Oct 18, 2017",0.281964724987
0.11465836619,"Oct 19, 2017",0.286813111366
0.107860108857,"Oct 20, 2017",0.397158507954
0.098730172958,"Oct 23, 2017",0.535473493488
0.0889191697091,"Oct 24, 2017",0.622010126427
0.0747409531709,"Oct 25, 2017",0.65499337312
0.0631971129111,"Oct 26, 2017",0.959548401932
0.059053716706,"Oct 27, 2017",2.2873584677
0.0733392837006,"Oct 30, 2017",1.82971372752
0.0904109995288,"Oct 31, 2017",1.79171137379
0.109446247597,"Sep 01, 2017",-0.724515103344
0.125605587362,"Sep 05, 2017",-0.542227060723
0.135889139803,"Sep 06, 2017",-0.296699304627
0.145906622291,"Sep 07, 2017",-0.246706118299
0.156009221787,"Sep 08, 2017",-0.222803078567
0.162791110852,"Sep 11, 2017",-0.0780985464823
0.167935863342,"Sep 12, 2017",0.00931747531475
0.172009541227,"Sep 13, 2017",0.079311862049
0.17524305515,"Sep 14, 2017",0.131281339165
0.177051911406,"Sep 15, 2017",0.229591293607
0.178191329151,"Sep 18, 2017",0.253757734395
0.178776353916,"Sep 19, 2017",0.307768260858
0.178811319429,"Sep 20, 2017",0.308130212546
0.177553905023,"Sep 21, 2017",0.351773464201
0.175474451767,"Sep 22, 2017",0.374531784565
0.173134496111,"Sep 25, 2017",0.396805186185
0.168400395467,"Sep 26, 2017",0.472866073173
0.147027382931,"Sep 27, 2017",0.543946230299
0.118383379503,"Sep 28, 2017",0.69603048293
