date,rsi
"Dec 05, 2017",84.8484848485
"Dec 06, 2017",85.0536746491
"Dec 07, 2017",83.6038961039
"Dec 08, 2017",80.4209992392
"Dec 11, 2017",78.3522972778
"Dec 12, 2017",80.3004186161
"Dec 13, 2017",80.2420350704
"Dec 14, 2017",79.926199262
"Dec 15, 2017",76.9377140682
"Dec 18, 2017",79.0866214195
"Dec 19, 2017",79.8179396092
"Dec 20, 2017",80.1917629113
"Dec 21, 2017",56.5819861432
"Dec 22, 2017",57.7376276512
"Dec 26, 2017",61.9208087616
"Dec 27, 2017",62.0168067227
"Dec 28, 2017",59.6537001898
"Dec 29, 2017",64.6739130435
"Jan 02, 2018",66.4082687339
"Jan 03, 2018",54.5647558386
"Jan 04, 2018",55.9432933479
"Jan 05, 2018",50.7462686567
"Nov 01, 2017",52.4752475248
"Nov 02, 2017",46.1224489796
"Nov 03, 2017",44.2603550296
"Nov 06, 2017",44.976635514
"Nov 07, 2017",42.9821363471
"Nov 08, 2017",42.8571428571
"Nov 09, 2017",44.2733758919
"Nov 10, 2017",46.818727491
"Nov 13, 2017",47.1990464839
"Nov 14, 2017",41.1249578983
"Nov 15, 2017",41.472392638
"Nov 16, 2017",45.7106274008
"Nov 17, 2017",44.2744935924
"Nov 20, 2017",49.0963855422
"Nov 21, 2017",35.8633776091
"Nov 22, 2017",35.2733686067
"Nov 24, 2017",35.3982300885
"Nov 27, 2017",28.912071535
"Nov 28, 2017",32.1479374111
"Nov 29, 2017",27.9702970297
"Nov 30, 2017",36.7272727273
"Oct 02, 2017",18.6864014801
"Oct 03, 2017",19.9453551913
"Oct 04, 2017",23.9011778225
"Oct 05, 2017",21.214953271
"Oct 06, 2017",20.5466540999
"Oct 09, 2017",19.6094385679
"Oct 10, 2017",19.1929917706
"Oct 11, 2017",20.7960199005
"Oct 12, 2017",21.1752786221
"Oct 13, 2017",24.0975609756
"Oct 16, 2017",20.3389830508
"Oct 17, 2017",18.9873417722
"Oct 18, 2017",18.7516742566
"Oct 19, 2017",17.1917191719
"Oct 20, 2017",58.9622641509
"Oct 23, 2017",59.5975232198
"Oct 24, 2017",53.9400665927
"Oct 25, 2017",55.4455445545
"Oct 26, 2017",60.088691796
"Oct 27, 2017",75.3761969904
"Oct 30, 2017",78.8720297738
"Oct 31, 2017",84.9262347659
"Sep 01, 2017",19.8381780042
"Sep 05, 2017",24.0539058215
"Sep 06, 2017",25.939792176
"Sep 07, 2017",31.5691158157
"Sep 08, 2017",35.7507082153
"Sep 11, 2017",31.6103379722
"Sep 12, 2017",31.5475279351
"Sep 13, 2017",31.0408635312
"Sep 14, 2017",31.136433631
"Sep 15, 2017",26.7843948574
"Sep 18, 2017",27.4942377346
"Sep 19, 2017",18.0498697432
"Sep 20, 2017",17.8768890527
"Sep 21, 2017",13.9934375603
"Sep 22, 2017",68.8509021842
"Sep 25, 2017",70.1839303001
"Sep 26, 2017",66.7206915181
"Sep 27, 2017",67.2402382528
"Sep 28, 2017",80.9342230696
