Date,MA,Price,lower,upper
"Aug 15, 2017",,168.5,,
"Aug 16, 2017",,169.98,,
"Aug 17, 2017",,166.09,,
"Aug 18, 2017",,166.54,,
"Aug 21, 2017",,166.76,,
"Aug 22, 2017",,169.34,,
"Aug 23, 2017",,169.06,,
"Aug 24, 2017",,168.13,,
"Aug 25, 2017",,165.95,,
"Aug 28, 2017",,167.12,,
"Aug 29, 2017",,168.81,,
"Aug 30, 2017",,174.69,,
"Aug 31, 2017",,174.71,,
"Dec 01, 2017",,186.82,,
"Dec 04, 2017",,184.04,,
"Dec 05, 2017",,184.21,,
"Dec 06, 2017",,185.3,,
"Dec 07, 2017",,185.2,,
"Dec 08, 2017",,188.54,,
"Dec 11, 2017",174.8005,186.22,166.191663979,183.409336021
"Dec 12, 2017",175.662,185.73,166.856968185,184.467031815
"Dec 13, 2017",176.556,187.86,167.455495445,185.656504555
"Dec 14, 2017",177.7295,189.56,168.536856216,186.922143784
"Dec 15, 2017",178.9085,190.12,169.714371281,188.102628719
"Dec 18, 2017",180.0915,190.42,171.021460091,189.161539909
"Dec 19, 2017",180.9755,187.02,172.150216062,189.800783938
"Dec 20, 2017",181.9635,188.82,173.44151217,190.48548783
"Dec 21, 2017",182.988,188.62,175.001786484,190.974213516
"Dec 22, 2017",184.1875,189.94,177.149732056,191.225267944
"Dec 26, 2017",185.2195,187.76,179.410087968,191.028912032
"Dec 27, 2017",186.091,186.24,181.751368801,190.430631199
"Dec 28, 2017",186.992,192.71,183.32559548,190.65840452
"Dec 29, 2017",187.8545,191.96,185.401110347,190.307889653
"Jan 02, 2018",188.567,201.07,184.743324309,192.390675691
"Jan 03, 2018",189.6175,205.05,184.452262068,194.782737932
"Jan 04, 2018",190.6885,205.63,184.570656146,196.806343854
"Jan 05, 2018",191.923,209.99,184.581107156,199.264892844
"Nov 01, 2017",192.563,198.0,185.280347143,199.845652857
"Nov 02, 2017",193.102,199.32,185.734340513,200.469659487
"Nov 03, 2017",193.7915,200.01,186.45659407,201.12640593
"Nov 06, 2017",194.5115,200.13,187.303913153,201.719086847
"Nov 07, 2017",194.913,195.89,187.873746825,201.952253175
"Nov 08, 2017",195.257,196.44,188.325830812,202.188169188
"Nov 09, 2017",195.446,193.9,188.61141581,202.28058419
"Nov 10, 2017",195.526,192.02,188.744181893,202.307818107
"Nov 13, 2017",195.929,195.08,189.446364165,202.411635835
"Nov 14, 2017",196.2735,195.71,190.009134383,202.537865617
"Nov 15, 2017",196.4485,192.12,190.362855741,202.534144259
"Nov 16, 2017",196.727,195.51,190.830367509,202.623632491
"Nov 17, 2017",196.999,193.2,191.42090289,202.57709711
"Nov 20, 2017",197.392,194.1,192.361841898,202.422158102
"Nov 21, 2017",197.568,196.23,192.649950964,202.486049036
"Nov 22, 2017",197.786,196.32,193.035851637,202.536148363
"Nov 24, 2017",197.52,195.75,192.814684976,202.225315024
"Nov 27, 2017",197.02,195.05,192.636659529,201.403340471
"Nov 28, 2017",196.6975,199.18,192.767097751,200.627902249
"Nov 29, 2017",195.6055,188.15,192.649390403,198.561609597
"Nov 30, 2017",195.0845,187.58,191.687292982,198.481707018
"Oct 02, 2017",193.969,177.01,188.823022624,199.114977376
"Oct 03, 2017",192.928,179.19,187.019076685,198.836923315
"Oct 04, 2017",192.144,184.45,186.200818679,198.087181321
"Oct 05, 2017",192.069,194.39,186.16625229,197.97174771
"Oct 06, 2017",192.148,198.02,186.173536272,198.122463728
"Oct 09, 2017",192.2965,196.87,186.239851391,198.353148609
"Oct 10, 2017",192.4495,195.08,186.361634178,198.537365822
"Oct 11, 2017",192.443,194.95,186.358021861,198.527978139
"Oct 12, 2017",192.4505,195.86,186.361192309,198.539807691
"Oct 13, 2017",192.819,199.49,186.530986424,199.107013576
"Oct 16, 2017",193.1775,202.68,186.533664016,199.821335984
"Oct 17, 2017",193.4915,199.48,186.69978812,200.28321188
"Oct 18, 2017",193.5635,195.54,186.75738025,200.36961975
"Oct 19, 2017",193.5085,195.13,186.720642207,200.296357793
"Oct 20, 2017",193.4005,194.16,186.64261223,200.15838777
"Oct 23, 2017",193.2365,192.47,186.498861592,199.974138408
"Oct 24, 2017",193.285,196.02,186.530151059,200.039848941
"Oct 25, 2017",193.0145,193.77,186.401305474,199.627694526
