date,rsi
2016-01-25,53.6641892061
2016-01-26,54.5032324348
2016-01-27,39.8030739368
2016-01-28,41.1502132745
2016-01-29,41.5959571368
2016-02-01,38.9576548443
2016-02-02,41.3590576269
2016-02-03,48.9767534274
2016-02-04,56.2346396237
2016-02-05,52.85692284
2016-02-08,41.9789008544
2016-02-09,42.0747314338
2016-02-10,44.5059289164
2016-02-11,44.047665831
2016-02-12,40.4971011727
2016-02-16,37.9791925001
2016-02-17,47.9040933726
2016-02-18,44.6389423459
2016-02-19,46.2978815343
2016-02-22,46.9747946708
2016-02-23,46.7000894932
2016-02-24,43.9926950484
2016-02-25,41.5138151095
2016-02-26,46.2299198398
2016-02-29,50.7340465314
2016-03-01,52.9978498026
2016-03-02,56.5058765335
2016-03-03,53.9923479647
2016-03-04,56.7531456459
2016-03-07,51.0458338749
2016-03-08,44.958720539
2016-03-09,47.276914004
2016-03-10,48.575223514
2016-03-11,45.3475664413
2016-03-14,44.7374919684
2016-03-15,48.4105438633
2016-03-16,45.9690231465
2016-03-17,46.1650088546
2016-03-18,44.4765310847
2016-03-21,42.9680945616
2016-03-22,41.3551433072
2016-03-23,47.25613205
2016-03-24,40.122696925
2016-03-28,65.7409704396
2016-03-29,70.2773849123
2016-03-30,63.595086978
2016-03-31,59.7571066712
2016-04-01,66.2536146283
2016-04-04,66.4899415349
2016-04-05,61.9437120395
2016-04-06,65.3932731221
2016-04-07,69.6754161836
2016-04-08,71.2178201299
2016-04-11,68.2887527914
2016-04-12,72.8815963849
2016-04-13,71.2955357979
2016-04-14,70.4118419997
2016-04-15,68.1720572798
2016-04-18,59.8888503783
2016-04-19,38.3565646143
2016-04-20,42.4376664958
2016-04-21,41.1780168837
2016-04-22,37.5698823019
2016-04-25,40.8040179154
2016-04-26,39.7844194375
2016-04-27,38.8238164185
2016-04-28,38.7127562508
2016-04-29,39.5422459848
2016-05-02,37.0489302659
2016-05-03,36.1115173918
2016-05-04,40.9140536136
2016-05-05,45.2122287759
2016-05-06,43.6850089002
2016-05-09,62.7980973913
2016-05-10,62.5599960576
2016-05-11,60.4701308488
2016-05-12,62.6858084818
2016-05-13,58.047479132
2016-05-16,56.2542509167
2016-05-17,58.2323877929
2016-05-18,57.6786499401
2016-05-19,56.0077345846
2016-05-20,55.6652222571
2016-05-23,57.8015818543
2016-05-24,58.1728963215
2016-05-25,58.8274290446
2016-05-26,60.3288384704
2016-05-27,54.0125536859
2016-05-31,56.3361492403
2016-06-01,63.1547646083
2016-06-02,73.0177573776
2016-06-03,71.059257362
2016-06-06,70.9490565196
2016-06-07,69.53696783
2016-06-08,66.3992870233
2016-06-09,66.9361843532
2016-06-10,59.8448864982
2016-06-13,54.6225601739
2016-06-14,46.339037725
2016-06-15,37.3781056129
2016-06-16,29.3263343099
2016-06-17,30.4249611172
2016-06-20,30.5705339865
2016-06-21,27.6743340921
2016-06-22,26.6361231215
2016-06-23,32.5244805244
2016-06-24,27.7665121042
2016-06-27,25.1422095113
2016-06-28,33.4405214281
2016-06-29,37.5258616074
2016-06-30,37.7036237957
2016-07-01,48.1824182138
2016-07-05,49.7918673662
2016-07-06,50.5090260553
2016-07-07,49.4295237197
2016-07-08,47.0626945248
2016-07-11,44.1729076286
2016-07-12,43.4457129799
2016-07-13,38.0216303233
2016-07-14,37.9448943187
2016-07-15,36.7386784033
2016-07-18,35.9310384905
2016-07-19,19.4595827774
2016-07-20,18.481331312
2016-07-21,22.68118516
2016-07-22,21.0171490914
2016-07-25,21.8950652871
2016-07-26,24.6183301378
2016-07-27,24.7879577347
2016-07-28,27.871745372
2016-07-29,30.3208777394
2016-08-01,33.2988960057
2016-08-02,38.2812504287
2016-08-03,41.5695777115
2016-08-04,41.5094475549
2016-08-05,47.2462909762
2016-08-08,71.7912434791
2016-08-09,71.1973857626
2016-08-10,76.9903707837
2016-08-11,74.6062871032
2016-08-12,73.1947820057
2016-08-15,68.1608273646
2016-08-16,72.4987616143
2016-08-17,70.0767297032
2016-08-18,70.721097736
2016-08-19,69.0005886762
2016-08-22,69.6820227166
2016-08-23,66.6666862285
2016-08-24,69.5709678912
2016-08-25,65.290507521
2016-08-26,67.3410487668
2016-08-29,71.6923404892
2016-08-30,66.3568831449
2016-08-31,62.5388071846
2016-09-01,66.0158512231
2016-09-02,72.2414260857
2016-09-06,76.408047739
2016-09-07,72.4642817277
2016-09-08,68.6170331598
2016-09-09,52.5672255666
2016-09-12,55.2350605946
2016-09-13,50.4548027454
2016-09-14,47.1092104381
2016-09-15,41.7321818861
2016-09-16,47.2972972286
2016-09-19,43.7499844338
2016-09-20,43.8555401454
2016-09-21,40.2035330773
2016-09-22,35.2016553033
2016-09-23,32.7977455001
2016-09-26,30.3867653467
2016-09-27,31.578625804
2016-09-28,31.3663505638
2016-09-29,36.1045584595
2016-09-30,34.5382730509
2016-10-03,43.6551229856
2016-10-04,49.0539212803
2016-10-05,55.3317567342
2016-10-06,55.4446092354
2016-10-07,59.0762614855
2016-10-10,61.1992880783
2016-10-11,62.9478288573
2016-10-12,65.056593986
2016-10-13,66.1136810244
2016-10-14,65.2404036998
2016-10-17,63.1606058339
2016-10-18,81.162465283
2016-10-19,79.5220295332
2016-10-20,79.3282879365
2016-10-21,79.3624599613
2016-10-24,79.5879805435
2016-10-25,80.7347010673
2016-10-26,78.5453662622
2016-10-27,78.0367844149
2016-10-28,76.4348953114
2016-10-31,79.2121865305
2016-11-01,77.9056946674
2016-11-02,79.9674670581
2016-11-03,83.2339328016
2016-11-04,86.204529724
2016-11-07,72.3267587116
2016-11-08,71.5025697617
2016-11-09,68.3101357164
2016-11-10,42.8804241964
2016-11-11,42.1357326134
2016-11-14,41.2516568636
2016-11-15,39.2367169136
2016-11-16,41.4652575517
2016-11-17,50.1359296923
2016-11-18,44.4227232279
2016-11-21,50.955269291
2016-11-22,45.7125366074
2016-11-23,45.3957688768
2016-11-25,45.0420400716
2016-11-28,41.0290539001
2016-11-29,37.056131969
2016-11-30,40.4721905081
2016-12-01,59.5338970258
2016-12-02,68.4757985324
2016-12-05,66.8198475643
2016-12-06,75.9086969112
2016-12-07,74.8763921239
2016-12-08,65.3508104677
2016-12-09,69.94279666
2016-12-12,70.9902293864
2016-12-13,72.5733170561
2016-12-14,72.6074814248
2016-12-15,70.3267340775
2016-12-16,69.2145731948
2016-12-19,70.2344697416
2016-12-20,70.8848189799
2016-12-21,72.5243120606
2016-12-22,69.6960750719
2016-12-23,69.7360558607
2016-12-27,63.8563513601
2016-12-28,58.7381367827
2016-12-29,64.4608084831
2016-12-30,60.1486802173
2017-01-03,62.5945987611
2017-01-04,64.4581632232
2017-01-05,63.0181312769
2017-01-06,64.6547893317
2017-01-09,66.7830424637
2017-01-10,67.7437423856
2017-01-11,63.3432485134
2017-01-12,63.5513832532
2017-01-13,67.1307817426
2017-01-17,71.1409357987
2017-01-18,67.6853464626
2017-01-19,75.2419404754
2017-01-20,71.7002628869
2017-01-23,72.8830695012
2017-01-24,71.8264330869
2017-01-25,73.1774245374
2017-01-26,73.8260563271
2017-01-27,75.0439722363
2017-01-30,71.548473093
2017-01-31,73.2388487973
2017-02-01,72.6033488756
2017-02-02,71.7826306503
2017-02-03,66.7690937807
2017-02-06,64.5000198985
2017-02-07,68.435700567
2017-02-08,61.3276769544
2017-02-09,65.303855676
2017-02-10,64.9013858921
2017-02-13,59.3806800243
2017-02-14,53.559702898
2017-02-15,51.537397665
2017-02-16,48.6180852125
2017-02-17,46.1761809184
2017-02-21,41.8130534842
2017-02-22,45.0928222526
2017-02-23,47.1007106573
2017-02-24,45.5378734921
2017-02-27,43.938746681
2017-02-28,35.722273832
2017-03-01,34.7639203445
2017-03-02,28.3164767051
2017-03-03,30.5212372399
2017-03-06,38.9854952448
2017-03-07,45.0216824423
2017-03-08,42.8044407075
2017-03-09,37.5703358218
2017-03-10,38.1502752347
2017-03-13,45.7148007668
2017-03-14,47.7621924455
2017-03-15,50.613677172
2017-03-16,53.4883726623
2017-03-17,55.0295825776
2017-03-20,54.3187594956
2017-03-21,49.4019864173
