Date,MA,Price,lower,upper
"Aug 15, 2017",,362.33,,
"Aug 16, 2017",,362.91,,
"Aug 17, 2017",,351.92,,
"Aug 18, 2017",,347.46,,
"Aug 21, 2017",,337.86,,
"Aug 22, 2017",,341.35,,
"Aug 23, 2017",,352.77,,
"Aug 24, 2017",,352.93,,
"Aug 25, 2017",,348.05,,
"Aug 28, 2017",,345.66,,
"Aug 29, 2017",,347.36,,
"Aug 30, 2017",,353.18,,
"Aug 31, 2017",,355.9,,
"Dec 01, 2017",,306.53,,
"Dec 04, 2017",,305.2,,
"Dec 05, 2017",,303.7,,
"Dec 06, 2017",,313.26,,
"Dec 07, 2017",,311.24,,
"Dec 08, 2017",,315.13,,
"Dec 11, 2017",337.1825,328.91,316.779584864,357.585415136
"Dec 12, 2017",336.1175,341.03,316.557844994,355.677155006
"Dec 13, 2017",334.9235,339.03,316.383140248,353.463859752
"Dec 14, 2017",334.222,337.89,316.097821732,352.346178268
"Dec 15, 2017",334.0215,343.45,316.029779309,352.013220691
"Dec 18, 2017",334.072,338.87,316.067525235,352.076474765
"Dec 19, 2017",333.5595,331.1,315.627359647,351.491640353
"Dec 20, 2017",332.37,328.98,314.998968761,349.741031239
"Dec 21, 2017",331.3065,331.66,314.622956809,347.990043191
"Dec 22, 2017",330.164,325.2,313.910562987,346.417437013
"Dec 26, 2017",328.7455,317.29,312.678729626,344.812270374
"Dec 27, 2017",326.9595,311.64,311.086676991,342.832323009
"Dec 28, 2017",325.0685,315.36,310.267184527,339.869815473
"Dec 29, 2017",322.841,311.35,309.660311215,336.021688785
"Jan 02, 2018",323.541,320.53,310.911934568,336.170065432
"Jan 03, 2018",324.1435,317.25,312.164797726,336.122202274
"Jan 04, 2018",324.6895,314.62,313.466649966,335.912350034
"Jan 05, 2018",324.8555,316.58,313.787113784,335.923886216
"Nov 01, 2017",325.3475,321.08,314.70571153,335.98928847
"Nov 02, 2017",324.554,299.26,312.599540185,336.508459815
"Nov 03, 2017",323.413,306.09,310.823990549,336.002009451
"Nov 06, 2017",321.5005,302.78,308.823565091,334.177434909
"Nov 07, 2017",319.8515,306.05,307.432415673,332.270584327
"Nov 08, 2017",318.1765,304.39,306.063007186,330.289992814
"Nov 09, 2017",316.1535,302.99,305.155828345,327.151171655
"Nov 10, 2017",314.3595,302.99,304.383485357,324.335514643
"Nov 13, 2017",313.5745,315.4,304.399561896,322.749438104
"Nov 14, 2017",312.5605,308.7,304.083665639,321.037334361
"Nov 15, 2017",311.5425,311.3,304.355709577,318.729290423
"Nov 16, 2017",310.9075,312.5,304.468825018,317.346174982
"Nov 17, 2017",310.7955,315.05,304.45495671,317.13604329
"Nov 20, 2017",310.6505,308.74,304.29713912,317.00386088
"Nov 21, 2017",310.773,317.81,304.301533803,317.244466197
"Nov 22, 2017",310.8355,312.6,304.352142784,317.318857216
"Nov 24, 2017",310.5865,315.55,304.406533832,316.766466168
"Nov 27, 2017",310.5645,316.81,304.40876799,316.72023201
"Nov 28, 2017",310.711,317.55,304.420285958,317.001714042
"Nov 29, 2017",310.259,307.54,304.088558661,316.429441339
"Nov 30, 2017",309.6475,308.85,304.024122222,315.270877778
"Oct 02, 2017",311.761,341.53,303.11570563,320.40629437
"Oct 03, 2017",313.8635,348.14,302.114048826,325.612951174
"Oct 04, 2017",316.475,355.01,301.862938832,331.087061168
"Oct 05, 2017",318.939,355.33,302.180123672,335.697876328
"Oct 06, 2017",321.5635,356.88,303.172391085,339.954608915
"Oct 09, 2017",323.561,342.94,305.1239027,341.9980973
"Oct 10, 2017",326.191,355.59,307.102621916,345.279378084
"Oct 11, 2017",328.151,354.6,308.234396268,348.067603732
"Oct 12, 2017",330.5,355.68,310.230890238,350.769109762
"Oct 13, 2017",332.7135,355.57,312.235305365,353.191694635
"Oct 16, 2017",334.6185,350.6,314.348567049,354.888432951
"Oct 17, 2017",336.6535,355.75,316.408522644,356.898477356
"Oct 18, 2017",339.199,359.65,319.454037711,358.943962289
"Oct 19, 2017",340.899,351.81,321.634695431,360.163304569
"Oct 20, 2017",342.524,345.1,324.437718953,360.610281047
"Oct 23, 2017",343.5975,337.02,326.591607871,360.603392129
"Oct 24, 2017",344.624,337.34,328.737363643,360.510636357
"Oct 25, 2017",345.0385,325.84,329.800527944,360.276472056
"Oct 26, 2017",345.97,326.17,332.703006925,359.236993075
"Oct 27, 2017",346.571,320.87,334.897501945,358.244498055
"Oct 30, 2017",345.4985,320.08,332.434896775,358.562103225
"Oct 31, 2017",344.668,331.53,331.257784491,358.078215509
"Sep 01, 2017",344.6875,355.4,331.261180649,358.113819351
"Sep 05, 2017",344.4005,349.59,331.153495781,357.647504219
"Sep 06, 2017",343.783,344.53,330.864567596,356.701432404
"Sep 07, 2017",344.1665,350.61,331.160857793,357.172142207
"Sep 08, 2017",343.557,343.4,330.832284679,356.281715321
"Sep 11, 2017",344.0115,363.69,330.721797506,357.301202494
"Sep 12, 2017",344.365,362.75,330.661013066,358.068986934
"Sep 13, 2017",344.898,366.23,330.54341093,359.25258907
"Sep 14, 2017",346.25,377.64,330.161432631,362.338567369
"Sep 15, 2017",347.453,379.81,329.793832975,365.112167025
"Sep 18, 2017",348.7205,385.0,329.316272714,368.124727286
"Sep 19, 2017",349.885,375.1,329.606454817,370.163545183
"Sep 20, 2017",351.3255,373.91,330.392056479,372.258943521
"Sep 21, 2017",352.7985,366.48,331.888178883,373.708821117
"Sep 22, 2017",353.486,351.09,332.88695853,374.08504147
"Sep 25, 2017",354.4435,344.99,334.773011478,374.113988522
"Sep 26, 2017",355.3975,345.25,336.733487943,374.061512057
"Sep 27, 2017",356.4025,340.97,339.21259235,373.59240765
"Sep 28, 2017",357.3785,339.6,341.889430756,372.867569244
