ADX,DI_minus,DI_plus,date
43.562108092,16.4026873994,25.3676268284,2015-01-26
40.2833305736,13.9691293304,21.604000085,2015-01-27
35.3066529446,20.899555506,18.4462192876,2015-01-28
32.1921357538,20.8062701228,15.784162796,2015-01-29
27.7758174788,17.8362384736,18.2892683088,2015-01-30
26.6927762927,15.3139139922,23.0270666489,2015-02-02
28.8560851851,13.1656489458,32.3224936556,2015-02-03
31.3307252816,11.3314913926,31.1237690887,2015-02-04
34.7737797421,9.7622423898,34.8069816032,2015-02-05
34.7062872437,14.6870419882,30.0114222345,2015-02-06
30.7320584482,23.0869707881,25.8948624798,2015-02-09
29.0057601955,19.9323054911,28.741475999,2015-02-10
26.0847841636,28.8869730791,24.8271179437,2015-02-11
25.7461035178,34.7040349071,21.4555022015,2015-02-12
23.153710656,30.0027110268,26.2824388422,2015-02-13
20.91728334,25.9469333313,22.7295689318,2015-02-17
18.4044557969,22.4458837619,21.439054307,2015-02-18
18.4245645566,19.422066347,28.2708847102,2015-02-19
20.3873983467,16.8092176498,33.3786980671,2015-02-20
20.5982082789,18.4899561162,28.8936317548,2015-02-23
18.3522690207,27.0273045059,25.0152370521,2015-02-24
16.4095445295,23.4026774695,21.6604480268,2015-02-25
15.5385968375,20.2665836711,24.7253843011,2015-02-26
14.7848679954,17.5525695356,21.4142666708,2015-02-27
15.4370445377,27.624812988,18.5482288814,2015-03-02
16.3617655646,25.3160638749,16.0670268308,2015-03-03
14.9041222551,21.9310056811,19.6599759354,2015-03-04
14.7749538387,18.9996795509,25.1536547174,2015-03-05
14.6719804791,28.8905126937,21.7926874091,2015-03-06
16.4178595383,33.3800317205,18.8816310882,2015-03-09
18.2338180097,30.3935053986,16.360052952,2015-03-10
17.533055159,26.3354208446,20.2819783494,2015-03-11
17.8713290307,26.3985633287,17.5744665491,2015-03-12
19.8839359493,30.1964637331,15.2287655597,2015-03-13
18.7315243356,26.1666374629,20.8750849771,2015-03-16
17.123685363,22.6750258103,25.9223766282,2015-03-17
16.742647184,19.6496414725,26.1899592176,2015-03-18
17.6729751931,17.0281516278,27.6159543025,2015-03-19
18.4791235827,14.7565766606,23.9319543089,2015-03-20
20.8613917801,12.7881658869,27.3871939932,2015-03-23
24.9002977176,11.0824258066,34.283080931,2015-03-24
24.1752656749,20.0290154426,29.7104903321,2015-03-25
21.0895172333,25.2185207113,25.7479551918,2015-03-26
21.0708053641,34.1409086976,22.3140409852,2015-03-27
19.8984655169,29.5878067369,23.1157327451,2015-03-30
17.7425258696,25.6420291938,23.7969959771,2015-03-31
17.224239093,27.2580222351,20.6235497176,2015-04-01
16.0110300519,23.6231095597,20.0722307909,2015-04-02
16.1643435349,20.4729787845,28.9552250377,2015-04-06
16.2972105824,17.7429607391,25.0941216929,2015-04-07
18.7894270277,15.377016672,31.9275128165,2015-04-08
20.9492913215,13.3265855702,27.6701743044,2015-04-09
24.1514426156,11.5495856576,30.4212674764,2015-04-10
27.7436519274,10.0095493923,30.92211398,2015-04-13
26.0685574106,19.7346455952,26.7989531128,2015-04-14
24.7405129425,17.103242071,23.6715120186,2015-04-15
22.9852860667,16.2580199794,20.5151883261,2015-04-16
22.1958549288,25.0964535438,17.7797381805,2015-04-17
20.2621802479,21.7501625155,18.6424681554,2015-04-20
18.6369568487,18.8500678225,22.1610208314,2015-04-21
20.3030415154,16.3366705973,31.1069790172,2015-04-22
21.7469725106,14.1584066536,26.9593033702,2015-04-23
22.998372576,12.2705881561,23.3646706671,2015-04-24
26.6180577105,10.6344864933,32.0277135067,2015-04-27
29.7551053623,9.21653750361,27.7572991301,2015-04-28
32.0299824198,8.71426214468,24.0562864227,2015-04-29
31.4541310299,11.8011052733,20.8487519049,2015-04-30
28.1473379262,15.8145041531,18.0688960387,2015-05-01
26.9468941061,13.7058889533,20.1961124467,2015-05-04
27.7682773143,11.878426092,23.6364024448,2015-05-05
27.4086324175,12.2723252033,20.484865677,2015-05-06
24.126801545,16.7880950607,17.7535379038,2015-05-07
22.3302421671,14.5496736144,18.0191156821,2015-05-08
