date,rsi
2015-01-23,44.1587383203
2015-01-26,52.9942691665
2015-01-27,58.226634545
2015-01-28,52.3771509805
2015-01-29,52.1041268046
2015-01-30,54.1845292046
2015-02-02,58.0848206526
2015-02-03,61.8830985817
2015-02-04,71.4451259632
2015-02-05,68.0906080818
2015-02-06,67.3469161625
2015-02-09,62.5428724441
2015-02-10,64.4347820126
2015-02-11,62.1469002914
2015-02-12,51.4296097824
2015-02-13,47.2872759594
2015-02-17,41.3064077901
2015-02-18,41.1126293969
2015-02-19,42.4605996687
2015-02-20,41.0528348146
2015-02-23,32.6203154508
2015-02-24,28.9662203674
2015-02-25,34.711587932
2015-02-26,36.02106637
2015-02-27,35.8612296115
2015-03-02,38.3767104084
2015-03-03,35.1973128009
2015-03-04,34.0138428006
2015-03-05,40.5665422418
2015-03-06,40.7828539519
2015-03-09,44.9580498956
2015-03-10,51.9136546527
2015-03-11,46.9344206427
2015-03-12,44.0353570485
2015-03-13,49.4051592398
2015-03-16,55.5024856115
2015-03-17,54.9490187254
2015-03-18,58.0462602203
2015-03-19,57.0129777665
2015-03-20,57.9198639378
2015-03-23,57.2165971557
2015-03-24,56.369446326
2015-03-25,50.9919541729
2015-03-26,53.5986673939
2015-03-27,51.3851604233
2015-03-30,50.2237334512
2015-03-31,52.596193848
2015-04-01,53.8814721407
2015-04-02,52.1569398055
2015-04-06,56.286103747
2015-04-07,50.2011228499
2015-04-08,49.0010172392
2015-04-09,49.0517191632
2015-04-10,47.8375871633
2015-04-13,52.7328376485
2015-04-14,55.5171141471
2015-04-15,58.255326077
2015-04-16,62.8626566362
2015-04-17,68.3438039674
2015-04-20,66.2794033661
2015-04-21,68.0798369807
2015-04-22,71.3627954002
2015-04-23,73.4618881409
2015-04-24,70.320835667
2015-04-27,78.9004659207
2015-04-28,79.131548737
2015-04-29,78.8888939133
2015-04-30,73.1164399664
2015-05-01,74.6311758428
2015-05-04,75.4134354652
2015-05-05,76.4867030503
2015-05-06,74.3085342535
2015-05-07,77.2372453495
2015-05-08,79.148042625
2015-05-11,78.6475976276
2015-05-12,76.5087805977
2015-05-13,75.3715494029
2015-05-14,70.4763491165
2015-05-15,64.9451949301
2015-05-18,66.8995039353
2015-05-19,68.6090595122
2015-05-20,75.5158801191
2015-05-21,70.8218676313
2015-05-22,68.9856490516
2015-05-26,72.275112401
2015-05-27,78.2579655714
2015-05-28,76.4154161081
2015-05-29,75.1685030153
2015-06-01,74.514178212
2015-06-02,71.3271475962
2015-06-03,69.8356425319
2015-06-04,67.7305270913
2015-06-05,64.9032984849
2015-06-08,69.3082497006
2015-06-09,71.9913950554
2015-06-10,67.0551621924
2015-06-11,66.3692170581
2015-06-12,68.9141890769
2015-06-15,68.8471907584
2015-06-16,65.8295460513
2015-06-17,69.3945926864
2015-06-18,65.677125857
2015-06-19,62.3746860586
2015-06-22,59.0395099958
2015-06-23,65.2648369843
2015-06-24,66.3229719429
2015-06-25,66.6079038758
2015-06-26,64.2555127388
2015-06-29,57.0557712857
2015-06-30,63.7880578636
2015-07-01,63.9234965947
2015-07-02,65.2814498741
2015-07-06,65.2998982878
2015-07-07,54.7258358404
2015-07-08,46.0305926544
2015-07-09,47.1695410141
2015-07-10,47.6250943773
2015-07-13,44.4992286173
2015-07-14,41.3788545541
2015-07-15,41.3718048326
2015-07-16,41.311672623
2015-07-17,40.6317668959
2015-07-20,40.9560365822
2015-07-21,34.9098791764
2015-07-22,35.0244788261
2015-07-23,34.6460022331
2015-07-24,33.8913038762
2015-07-27,33.6160880156
2015-07-28,41.9366238662
2015-07-29,46.8278856898
2015-07-30,47.8956772513
2015-07-31,52.7332435311
2015-08-03,53.4391928682
2015-08-04,51.9763226777
2015-08-05,52.1630144326
2015-08-06,41.9032327906
2015-08-07,41.5928245388
2015-08-10,47.5560192826
2015-08-11,52.9222041998
2015-08-12,45.8167667536
2015-08-13,43.0782519777
2015-08-14,43.0816775799
2015-08-17,43.1056289253
2015-08-18,40.8713823287
2015-08-19,42.6515527862
2015-08-20,36.822435587
2015-08-21,34.8129015098
2015-08-24,32.7090210141
2015-08-25,30.4595063832
2015-08-26,36.6820950371
2015-08-27,43.1062193793
2015-08-28,39.2075551527
2015-08-31,33.8507260619
2015-09-01,35.915668663
2015-09-02,37.9113802801
2015-09-03,43.926202731
2015-09-04,43.661419388
2015-09-08,43.9389542045
2015-09-09,39.7426737992
2015-09-10,46.476325455
2015-09-11,48.3156412348
2015-09-14,55.0762178268
2015-09-15,54.6941385689
2015-09-16,56.5285540425
2015-09-17,54.2649718035
2015-09-18,55.5338888685
2015-09-21,57.8448934388
2015-09-22,69.3265540507
2015-09-23,62.3353036876
2015-09-24,62.1745111125
2015-09-25,56.0891944042
2015-09-28,43.1735824794
2015-09-29,47.2652372682
2015-09-30,42.7652710804
2015-10-01,39.5141721631
2015-10-02,44.8097585492
2015-10-05,50.4276120175
