Date,MA,Price,lower,upper
"Aug 15, 2017",,15.95,,
"Aug 16, 2017",,16.16,,
"Aug 17, 2017",,15.87,,
"Aug 18, 2017",,15.99,,
"Aug 21, 2017",,16.11,,
"Aug 22, 2017",,16.63,,
"Aug 23, 2017",,16.96,,
"Aug 24, 2017",,16.89,,
"Aug 25, 2017",,16.65,,
"Aug 28, 2017",,16.77,,
"Aug 29, 2017",,16.93,,
"Aug 30, 2017",,16.93,,
"Aug 31, 2017",,16.91,,
"Dec 01, 2017",,20.71,,
"Dec 04, 2017",,20.4,,
"Dec 05, 2017",,20.77,,
"Dec 06, 2017",,21.09,,
"Dec 07, 2017",,21.01,,
"Dec 08, 2017",,21.1,,
"Dec 11, 2017",18.094,22.05,15.8466380377,20.3413619623
"Dec 12, 2017",18.379,21.65,16.0576349297,20.7003650703
"Dec 13, 2017",18.654,21.66,16.2840735077,21.0239264923
"Dec 14, 2017",18.9895,22.58,16.5602257419,21.4187742581
"Dec 15, 2017",19.3015,22.23,16.8770298463,21.7259701537
"Dec 18, 2017",19.73,24.68,17.1471272623,22.3128727377
"Dec 19, 2017",20.1525,25.08,17.4168121235,22.8881878765
"Dec 20, 2017",20.5645,25.2,17.7167299121,23.4122700879
"Dec 21, 2017",20.9725,25.05,18.0945020208,23.8504979792
"Dec 22, 2017",21.363,24.46,18.573891295,24.152108705
"Dec 26, 2017",21.7375,24.26,19.098766502,24.376233498
"Dec 27, 2017",22.1025,24.23,19.6666777029,24.5383222971
"Dec 28, 2017",22.4715,24.31,20.3178439286,24.6251560714
"Dec 29, 2017",22.8265,24.01,21.093801238,24.559198762
"Jan 02, 2018",23.0165,24.51,21.3201377156,24.7128622844
"Jan 03, 2018",23.219,24.45,21.612041775,24.825958225
"Jan 04, 2018",23.38,23.99,21.8731315148,24.8868684852
"Jan 05, 2018",23.5415,24.32,22.1224518572,24.9605481428
"Nov 01, 2017",23.5215,20.61,22.0626349942,24.9803650058
"Nov 02, 2017",23.452,19.71,21.8460125189,25.0579874811
"Nov 03, 2017",23.3445,19.9,21.5759934192,25.1130065808
"Nov 06, 2017",23.2315,19.39,21.2857075758,25.1772924242
"Nov 07, 2017",23.1315,19.66,21.0537728131,25.2092271869
"Nov 08, 2017",22.982,19.59,20.759944053,25.204055947
"Nov 09, 2017",22.8655,19.9,20.5431271776,25.1878728224
"Nov 10, 2017",22.6475,20.32,20.2999192184,24.9950807816
"Nov 13, 2017",22.402,20.17,20.0654807715,24.7385192285
"Nov 14, 2017",22.1445,20.05,19.8491489203,24.4398510797
"Nov 15, 2017",21.8875,19.91,19.6475026433,24.1274973567
"Nov 16, 2017",21.6825,20.36,19.503543526,23.861456474
"Nov 17, 2017",21.5075,20.76,19.4073223759,23.6076776241
"Nov 20, 2017",21.3525,21.13,19.351787298,23.353212702
"Nov 21, 2017",21.231,21.88,19.3490863603,23.1129136397
"Nov 22, 2017",21.144,22.27,19.3596280775,22.9283719225
"Nov 24, 2017",21.0395,22.42,19.4079767369,22.6710232631
"Nov 27, 2017",20.908,21.82,19.4714962033,22.3445037967
"Nov 28, 2017",20.8,21.83,19.5366419018,22.0633580982
"Nov 29, 2017",20.6235,20.79,19.6689525735,21.5780474265
"Nov 30, 2017",20.622,20.58,19.6674066724,21.5765933276
"Oct 02, 2017",20.491,17.09,19.2638128011,21.7181871989
"Oct 03, 2017",20.3755,17.59,18.9911229788,21.7598770212
"Oct 04, 2017",20.2935,17.75,18.8031617304,21.7838382696
"Oct 05, 2017",20.223,18.25,18.6691216603,21.7768783397
"Oct 06, 2017",20.136,17.85,18.4983624204,21.7736375796
"Oct 09, 2017",20.0245,17.67,18.2965243819,21.7524756181
"Oct 10, 2017",19.879,17.41,18.0572457847,21.7007542153
"Oct 11, 2017",19.757,17.73,17.8750522408,21.6389477592
"Oct 12, 2017",19.677,18.45,17.7742703818,21.5797296182
"Oct 13, 2017",19.613,18.63,17.697039062,21.528960938
"Oct 16, 2017",19.5115,18.33,17.583462342,21.439537658
"Oct 17, 2017",19.3875,18.28,17.4642410471,21.3107589529
"Oct 18, 2017",19.232,18.02,17.3314499411,21.1325500589
"Oct 19, 2017",19.0325,17.89,17.2170288418,20.8479711582
"Oct 20, 2017",18.8125,17.87,17.149832913,20.475167087
"Oct 23, 2017",18.56,17.37,17.1033202859,20.0166797141
"Oct 24, 2017",18.3315,17.25,17.0674077524,19.5955922476
"Oct 25, 2017",18.097,17.14,17.1118198134,19.0821801866
"Oct 26, 2017",18.073,20.31,17.1531996784,18.9928003216
"Oct 27, 2017",18.128,21.68,17.0340087559,19.2219912441
"Oct 30, 2017",18.336,21.25,17.068103275,19.603896725
"Oct 31, 2017",18.4875,20.62,17.1352158699,19.8397841301
"Sep 01, 2017",18.443,16.86,17.0511057965,19.8348942035
"Sep 05, 2017",18.363,16.65,16.9145957965,19.8114042035
"Sep 06, 2017",18.312,16.83,16.8270842661,19.7969157339
"Sep 07, 2017",18.2895,17.22,16.7909973263,19.7880026737
"Sep 08, 2017",18.2915,17.45,16.7942067404,19.7887932596
"Sep 11, 2017",18.288,17.66,16.7892440246,19.7867559754
"Sep 12, 2017",18.274,18.17,16.7755292005,19.7724707995
"Sep 13, 2017",18.2525,18.2,16.7563228539,19.7486771461
"Sep 14, 2017",18.2465,18.21,16.7504093927,19.7425906073
"Sep 15, 2017",18.233,18.01,16.7360096861,19.7299903139
"Sep 18, 2017",18.212,17.6,16.7089308592,19.7150691408
"Sep 19, 2017",18.2055,17.76,16.7006850087,19.7103149913
"Sep 20, 2017",18.193,17.62,16.6842183374,19.7017816626
"Sep 21, 2017",18.2035,17.58,16.7000258653,19.7069741347
"Sep 22, 2017",18.2215,17.61,16.7279197905,19.7150802095
"Sep 25, 2017",18.2135,16.98,16.7134078099,19.7135921901
"Sep 26, 2017",18.0275,16.59,16.5710483819,19.4839516181
"Sep 27, 2017",17.791,16.95,16.5988021182,18.9831978818
"Sep 28, 2017",17.571,16.85,16.6837161494,18.4582838506
