ADX,DI_minus,DI_plus,date
52.9136726503,5.29952160756,25.9929841026,"Dec 05, 2017"
55.9165414009,4.5132666936,29.1096558892,"Dec 06, 2017"
58.6336588596,3.85357835613,26.3773673232,"Dec 07, 2017"
60.3149113716,3.93884888672,22.5707313498,"Dec 08, 2017"
63.0680795303,3.37659021248,29.7304247705,"Dec 11, 2017"
65.5175001037,2.89908728107,26.6665247302,"Dec 12, 2017"
64.6533624136,5.84696511348,22.925693809,"Dec 13, 2017"
65.6389412754,5.03240175467,30.5673501022,"Dec 14, 2017"
66.4821723509,4.33548630359,26.3342106147,"Dec 15, 2017"
68.2982815496,3.73816125548,33.0254554781,"Dec 18, 2017"
70.3348113103,3.22541100789,35.0480081689,"Dec 19, 2017"
72.0852877949,2.78468224064,30.2589548058,"Dec 20, 2017"
73.7348763659,2.40543089807,28.0382813135,"Dec 21, 2017"
71.2399322129,6.96159585446,24.2305775408,"Dec 22, 2017"
64.4156390174,13.715621973,20.9480833544,"Dec 26, 2017"
57.6390518051,13.5872459672,18.1163136134,"Dec 27, 2017"
52.5322930788,11.7539032352,17.5546188138,"Dec 28, 2017"
46.7826545539,18.5100212577,15.1897325548,"Dec 29, 2017"
41.1329320649,16.0198698977,17.6305894034,"Jan 02, 2018"
37.2316130703,13.8672940644,17.6846323254,"Jan 03, 2018"
33.1954588593,17.6733785364,15.3108225908,"Jan 04, 2018"
29.70420877,15.3032048606,13.2574908758,"Jan 05, 2018"
30.7239474775,25.1489176618,11.4809106118,"Nov 01, 2017"
33.6609735277,32.0614809308,9.94343620587,"Nov 02, 2017"
36.5692471911,30.001073254,8.61262883526,"Nov 03, 2017"
39.9210407268,31.4222390697,7.46051493458,"Nov 06, 2017"
39.7493227851,27.2207127836,12.0483880108,"Nov 07, 2017"
40.2790193067,26.6499934362,10.4379851357,"Nov 08, 2017"
38.6366860163,23.0890891575,12.9910765553,"Nov 09, 2017"
34.6932316803,20.0048601374,16.662524372,"Nov 10, 2017"
31.2773828822,17.3332785507,14.4373004517,"Nov 13, 2017"
27.4350280343,15.0189712987,15.7890519427,"Nov 14, 2017"
24.9594548298,16.3513735191,13.6813165082,"Nov 15, 2017"
22.2428565312,14.1689213272,15.5372314544,"Nov 16, 2017"
22.7359175405,12.2780280131,20.8778201795,"Nov 17, 2017"
25.9348884579,10.6396781968,29.2911571273,"Nov 20, 2017"
30.4357734175,9.22009367034,36.5016606498,"Nov 21, 2017"
35.4962544296,7.9900263453,42.5271957607,"Nov 22, 2017"
40.1889127522,6.92414766219,40.2966293041,"Nov 24, 2017"
40.2608868629,14.7080610214,34.9213772324,"Nov 27, 2017"
39.0365985938,15.9112874492,30.2634150719,"Nov 28, 2017"
34.846283096,22.5131411165,26.2269573355,"Nov 29, 2017"
31.1411075434,19.7291697777,22.7290265069,"Nov 30, 2017"
29.7926327758,30.1889329254,19.6977361989,"Oct 02, 2017"
26.4881564277,26.1628746002,28.9252109495,"Oct 03, 2017"
25.4264739017,22.6738399455,32.9859409285,"Oct 04, 2017"
26.582648562,19.6501720576,39.982886969,"Oct 05, 2017"
26.9801294097,18.8379448254,34.6510877141,"Oct 06, 2017"
27.2012360906,16.6592874108,30.0303811332,"Oct 09, 2017"
25.043803761,20.8582444334,26.025908542,"Oct 10, 2017"
23.1740856363,18.0768912876,22.5554706138,"Oct 11, 2017"
24.6834664264,15.6664484228,32.1653222344,"Oct 12, 2017"
26.7496533126,13.5774454047,31.8159825907,"Oct 13, 2017"
26.8151299029,15.7672494718,27.5735994906,"Oct 16, 2017"
25.076682634,18.1095146097,23.8969302156,"Oct 17, 2017"
21.7662883328,20.607304845,20.7105306381,"Oct 18, 2017"
22.0868811238,29.391535514,17.9490197348,"Oct 19, 2017"
20.1375031028,25.4725327331,21.9327622471,"Oct 20, 2017"
20.9994478925,32.7867900559,19.008308981,"Oct 23, 2017"
22.540576747,32.3791717486,16.4738039649,"Oct 24, 2017"
25.1547944169,35.0795516378,14.2772488349,"Oct 25, 2017"
23.1870808125,30.4021896234,24.6756270296,"Oct 26, 2017"
21.21588318,26.3484978954,31.1830718217,"Oct 27, 2017"
19.5075199403,22.8353149354,27.0252698475,"Oct 30, 2017"
17.8682380771,27.0633856045,23.4218561707,"Oct 31, 2017"
19.248580101,36.2603128505,20.2989086925,"Sep 01, 2017"
21.1766137935,35.483568302,17.592362505,"Sep 05, 2017"
21.4959092798,30.7523879441,19.0203105208,"Sep 06, 2017"
19.1204124334,26.6520410713,24.7601710551,"Sep 07, 2017"
16.6040539145,23.0984142033,23.2131915669,"Sep 08, 2017"
16.7173422896,20.0186095753,28.4841399289,"Sep 11, 2017"
19.0642330953,17.3494495634,35.47993703,"Sep 12, 2017"
22.2112862577,15.0361805568,37.4159530125,"Sep 13, 2017"
22.7009720473,19.0919763172,32.4271423348,"Sep 14, 2017"
23.9101785627,16.5463719824,31.9553738202,"Sep 15, 2017"
21.4942403833,24.6627904005,27.6946464422,"Sep 18, 2017"
19.4004288284,21.3744110773,24.0020187531,"Sep 19, 2017"
18.0816381459,18.5244841399,22.4179081671,"Sep 20, 2017"
16.8404861078,23.1656717391,19.4288487814,"Sep 21, 2017"
15.7648215211,20.0769110622,16.8383318825,"Sep 22, 2017"
17.4772851677,26.2888862239,14.5932181646,"Sep 25, 2017"
20.2705250125,28.4334212263,12.6474536394,"Sep 26, 2017"
22.6913321264,24.6422948445,10.9611249077,"Sep 27, 2017"
24.9629903274,22.0233200722,9.49964040011,"Sep 28, 2017"
