date,rsi
2016-01-25,34.3940013826
2016-01-26,36.5489684656
2016-01-27,37.6729838238
2016-01-28,41.2226465821
2016-01-29,39.2454459247
2016-02-01,45.4223936329
2016-02-02,37.4716288456
2016-02-03,38.0361076872
2016-02-04,38.2452167031
2016-02-05,37.6940063962
2016-02-08,39.5809009989
2016-02-09,38.8391345268
2016-02-10,39.9577910658
2016-02-11,44.4735463594
2016-02-12,51.4319111631
2016-02-16,46.8780070242
2016-02-17,45.8354536067
2016-02-18,43.5245490982
2016-02-19,49.2581591294
2016-02-22,51.8275490321
2016-02-23,58.8819802631
2016-02-24,62.0066701623
2016-02-25,65.164644714
2016-02-26,67.5520777209
2016-02-29,69.0429083772
2016-03-01,71.5784596141
2016-03-02,71.9999962247
2016-03-03,77.4790611252
2016-03-04,72.1017814065
2016-03-07,73.0449981961
2016-03-08,62.1350648641
2016-03-09,53.7372473767
2016-03-10,46.6019661442
2016-03-11,41.1981082501
2016-03-14,40.605114457
2016-03-15,36.9030519958
2016-03-16,36.7494088273
2016-03-17,35.192775194
2016-03-18,36.7710894718
2016-03-21,31.5985050649
2016-03-22,31.9265958084
2016-03-23,24.3781134955
2016-03-24,29.3510920671
2016-03-28,28.8266572214
2016-03-29,31.8731823834
2016-03-30,34.0535891983
2016-03-31,37.8151039828
2016-04-01,37.5838974649
2016-04-04,45.8852775929
2016-04-05,55.4587939206
2016-04-06,52.6015609205
2016-04-07,55.2820519202
2016-04-08,55.0983891287
2016-04-11,60.6591538983
2016-04-12,54.2491174187
2016-04-13,63.8775583923
2016-04-14,59.6374695521
2016-04-15,57.7055977885
2016-04-18,57.7446383034
2016-04-19,56.0869469754
2016-04-20,58.6912149916
2016-04-21,60.6512805591
2016-04-22,51.9444433642
2016-04-25,50.540553908
2016-04-26,55.9036144578
2016-04-27,34.3195266272
2016-04-28,34.8872180451
2016-04-29,35.528330781
2016-05-02,40.4836542768
2016-05-03,35.2846245317
2016-05-04,44.3032008026
2016-05-05,48.417132216
2016-05-06,44.6312297364
2016-05-09,45.5403087479
2016-05-10,45.0097423685
2016-05-11,51.7890772128
2016-05-12,50.6912442396
2016-05-13,43.4064740387
2016-05-16,37.6794258373
2016-05-17,50.8474576271
2016-05-18,51.0638297872
2016-05-19,44.2542787286
2016-05-20,43.2115782219
2016-05-23,48.1197237145
2016-05-24,37.8378378378
2016-05-25,47.6744186047
2016-05-26,48.2269503546
2016-05-27,56.25
2016-05-31,52.4079320113
2016-06-01,49.4211932324
2016-06-02,55.3435114504
2016-06-03,57.9919215234
2016-06-06,56.4853556485
2016-06-07,57.2020725389
2016-06-08,60.4931506849
2016-06-09,60.7396870555
2016-06-10,55.8558558559
2016-06-13,55.572519084
2016-06-14,61.3588110403
2016-06-15,63.0831643002
2016-06-16,63.3831521739
2016-06-17,58.570330515
2016-06-20,59.6858638743
2016-06-21,62.6373626374
2016-06-22,65.1162644149
2016-06-23,68.623480593
2016-06-24,67.3086700256
2016-06-27,64.0926593969
2016-06-28,61.6113670702
2016-06-29,60.8470469714
2016-06-30,61.9181739433
2016-07-01,61.0389461967
2016-07-05,60.998773783
2016-07-06,56.8420880194
2016-07-07,52.2260039114
2016-07-08,55.8543946884
