Date,MA,Price,lower,upper
2015-01-02,,50.169998,,
2015-01-05,,49.130001,,
2015-01-06,,49.209999,,
2015-01-07,,48.59,,
2015-01-08,,50.23,,
2015-01-09,,49.720001,,
2015-01-12,,48.799999,,
2015-01-13,,48.299999,,
2015-01-14,,47.509998,,
2015-01-15,,46.23,,
2015-01-16,,46.470001,,
2015-01-20,,47.630001,,
2015-01-21,,48.18,,
2015-01-22,,48.889999,,
2015-01-23,,48.950001,,
2015-01-26,,49.439999,,
2015-01-27,,47.990002,,
2015-01-28,,46.459999,,
2015-01-29,,43.73,,
2015-01-30,47.98099995,43.990002,46.163133144,49.798866756
2015-02-02,47.707,44.689999,45.8245937837,49.5894062163
2015-02-03,47.4855,44.700001,45.5205240896,49.4504759104
2015-02-04,47.2275,44.049999,45.1645566944,49.2904433056
2015-02-05,46.97549995,43.549999,44.7839312567,49.1670686433
2015-02-06,46.6109999,42.939999,44.383270527,48.838729273
2015-02-09,46.25349985,42.57,43.9777645534,48.5292351466
2015-02-10,45.9669999,43.07,43.6681578504,48.2658419496
2015-02-11,45.6999999,42.959999,43.3764113616,48.0235884384
2015-02-12,45.521,43.93,43.2063078247,47.8356921753
2015-02-13,45.4304999,44.419998,43.1096117249,47.7513880751
2015-02-17,45.2834998,43.529999,42.9389307447,47.6280688553
2015-02-18,45.08449985,43.650002,42.7810321594,47.3879675406
2015-02-19,44.8939998,44.369999,42.7053221226,47.0826774774
2015-02-20,44.6549999,44.110001,42.6745677967,46.6354320033
2015-02-23,44.3839998,43.529999,42.669205252,46.098794348
2015-02-24,44.0809999,43.380001,42.8354056984,45.3265941016
2015-02-25,43.9029998,44.43,43.0542726935,44.7517269065
2015-02-26,43.8024999,44.450001,43.1849761042,44.4200236958
2015-02-27,43.82999985,44.279999,43.2036906385,44.4563090615
2015-03-02,43.8359998,44.110001,43.207506141,44.464493459
2015-03-03,43.7324998,42.619999,43.0819866576,44.3830129424
2015-03-04,43.69699985,43.990002,43.0837589554,44.3102407446
2015-03-05,43.7024999,44.16,43.0854449579,44.3195548421
2015-03-06,43.6969999,43.439999,43.0780268784,44.3159729216
2015-03-09,43.69899995,42.98,43.0825422032,44.3154576968
2015-03-10,43.70449995,42.68,43.098238849,44.310761051
2015-03-11,43.67599995,42.5,43.0264866556,44.3255132444
2015-03-12,43.67550005,42.950001,43.0254030941,44.3255970059
2015-03-13,43.6225,42.869999,42.9513746058,44.2936253942
2015-03-16,43.577,43.509998,42.9324673158,44.2215326842
2015-03-17,43.5900001,43.790001,42.9438452579,44.2361549421
2015-03-18,43.6409999,44.669998,42.9510883433,44.3309114567
2015-03-19,43.67149995,44.98,42.9357061544,44.4072937456
2015-03-20,43.71799995,45.040001,42.9258102918,44.5101896082
2015-03-23,43.77750005,44.720001,42.9560257289,44.5989743711
2015-03-24,43.8294999,44.419998,43.001620568,44.657379232
2015-03-25,43.81799995,44.200001,42.9973350945,44.6386648055
2015-03-26,43.81899995,44.470001,42.9975126807,44.6404872193
2015-03-27,43.8599999,45.099998,42.9949838886,44.7250159114
2015-03-30,43.9019999,44.950001,43.004426471,44.799573329
2015-03-31,43.9929999,44.439999,43.1411468156,44.8448529844
2015-04-01,43.99999985,44.130001,43.1475976655,44.8524020345
2015-04-02,43.99949995,44.150002,43.1471936115,44.8518062885
2015-04-06,44.0109999,43.669998,43.1651126037,44.8568871963
2015-04-07,44.04249995,43.610001,43.2258000662,44.8591998338
2015-04-08,44.16699985,45.169998,43.3796720395,44.9543276605
2015-04-09,44.3234999,45.630001,43.5748359991,45.0721638009
2015-04-10,44.43499985,45.18,43.7373382102,45.1326614898
2015-04-13,44.5299999,44.77,43.934826296,45.125173504
2015-04-14,44.63099995,45.529999,44.0467336588,45.2152662412
2015-04-15,44.7279999,45.73,44.1298308977,45.3261689023
2015-04-16,44.78349995,45.779999,44.141133858,45.425866042
2015-04-17,44.757,44.450001,44.1122391688,45.4017608312
