ADX,DI_minus,DI_plus,date
39.4584281364,16.2569848255,35.0448521197,2015-01-26
34.7410064261,25.5974300253,29.8454795671,2015-01-27
30.0314465702,26.8008818867,25.4830706661,2015-01-28
29.4024737352,36.8690739931,21.8054946472,2015-01-29
25.6065266448,31.6061260457,29.8782116075,2015-01-30
22.3827864942,27.1365230179,25.6529628417,2015-02-02
20.987170013,23.3297598409,29.9552925921,2015-02-03
18.2315090805,26.4120551843,25.7821047461,2015-02-04
18.2747075354,32.3245415929,22.211653094,2015-02-05
19.3923332964,32.881034859,19.151425054,2015-02-06
20.9689626641,31.2940074003,16.5244923813,2015-02-09
22.0376980273,27.0179107198,14.9385099692,2015-02-10
21.9625837932,23.3382884044,15.0830219041,2015-02-11
19.7027931058,20.1688612982,22.4365172219,2015-02-12
20.2339453727,17.4366040978,28.2230789387,2015-02-13
18.0595369803,22.4633234779,24.4078725743,2015-02-17
15.7468201245,20.7297078608,21.1144902438,2015-02-18
16.3557717651,17.9370866257,27.0558420321,2015-02-19
16.8819604474,15.524012106,23.4160222342,2015-02-20
14.6836846949,20.0591225722,20.2696319142,2015-02-23
15.8844362275,28.4080664662,17.54883746,2015-02-24
14.0877360703,24.598265687,25.8530950474,2015-02-25
12.8461309884,21.3019561697,23.4605969074,2015-02-26
12.1985021386,23.8573880566,20.318854191,2015-02-27
13.4060881015,27.0812200503,17.5994239699,2015-03-02
16.6378623901,33.5902776708,15.2451438323,2015-03-03
19.9013197555,31.5955368813,13.2066871709,2015-03-04
22.7273443915,27.3724372111,11.441464556,2015-03-05
25.5306264456,25.3056539999,9.91268518913,2015-03-06
29.4799692253,29.6644973246,8.58855364287,2015-03-09
34.0879162405,33.8826012693,7.44158127661,2015-03-10
37.2085338107,29.3586590962,7.93161252286,2015-03-11
36.7396932792,25.4394696279,12.6160957813,2015-03-12
37.1739744438,25.5044657154,10.9321989601,2015-03-13
32.844933838,22.1008033907,20.1023066558,2015-03-16
29.6102174495,19.1517266223,22.7573791586,2015-03-17
28.4699820091,16.5964336647,25.4540477536,2015-03-18
30.196775196,14.3822771178,34.7151650613,2015-03-19
32.1412686683,12.4636648464,32.6725148642,2015-03-20
32.3598369272,14.0153862339,28.3142594407,2015-03-23
28.2985376081,23.617000879,24.5375828165,2015-03-24
25.5188100905,20.4670250524,23.7656694612,2015-03-25
23.0777591024,23.7996759337,20.5960044937,2015-03-26
22.2422896118,20.625596878,28.9630891256,2015-03-27
20.1243807929,22.0980263276,25.1005118565,2015-03-30
18.6240744995,25.9899641378,21.7531520171,2015-03-31
19.620619874,32.1666435705,18.8522623851,2015-04-01
21.5382068579,33.172028212,16.338274873,2015-04-02
23.5408715685,30.4771307771,14.1595734467,2015-04-06
23.6325827513,26.4130852921,16.1102600201,2015-04-07
20.7011396078,22.8910190845,22.14842402,2015-04-08
21.0952162301,19.8386417293,32.1333968874,2015-04-09
20.5040446489,19.8939118109,27.8486501937,2015-04-10
18.5299200056,21.5326649591,24.1352761809,2015-04-13
17.05787329,18.6614951037,21.683382168,2015-04-14
17.111229587,16.1731846982,23.0145987751,2015-04-15
18.963448726,14.0166766557,26.6127470077,2015-04-16
16.5034949834,23.3027804105,23.064261782,2015-04-17
14.3715555988,20.1956527486,19.9889375279,2015-04-20
14.0491384212,17.5028312437,22.2553165296,2015-04-21
13.622609513,23.9828550427,19.287876235,2015-04-22
13.9958436909,23.2850219359,16.716110764,2015-04-23
12.99579975,20.1803014543,22.9841046179,2015-04-24
13.8814073452,17.4895563698,26.0372464746,2015-04-27
12.2855672998,21.7185248967,22.5655708694,2015-04-28
12.9891381934,27.8894434213,19.5567959829,2015-04-29
15.8414747733,34.7105918662,16.9491990717,2015-04-30
19.0049187034,33.9242693606,14.6892877503,2015-05-01
22.5729681787,34.2158333105,12.7307024463,2015-05-04
27.2105168837,40.7106827088,11.0332652353,2015-05-05
31.2297188132,35.282563362,9.56215552906,2015-05-06
29.4384119141,30.5782003097,21.3394635446,2015-05-07
27.8859479508,26.5010909585,18.4941905892,2015-05-08
28.766752345,32.9070459305,16.0282901361,2015-05-11
28.2747343544,28.5194268923,17.0837002231,2015-05-12
25.7195732801,24.7168269401,20.5889807408,2015-05-13
23.3381865101,21.421242729,25.0755220409,2015-05-14
22.0743498332,18.5650715594,24.539058056,2015-05-15
21.0220420225,28.2962972473,21.2671782155,2015-05-18
22.5826887252,36.3646271364,18.4315503726,2015-05-19
23.9352486419,31.5160041375,15.9740072578,2015-05-20
21.5798072023,27.3138657102,24.0910562621,2015-05-21
18.8355959987,23.6720135371,24.1493870613,2015-05-22
19.3873616321,33.4143172476,20.9294661722,2015-05-26
20.5661985187,32.4073845842,18.138868719,2015-05-27
21.5878569473,28.0863973379,15.7203514149,2015-05-28
21.257672416,24.3415423803,16.5303258073,2015-05-29
20.6461973993,21.0960019096,15.0670399265,2015-06-01
20.1162524546,18.2832005384,13.0581004721,2015-06-02
18.2662686114,15.8454396279,13.9836907276,2015-06-03
18.4506427998,18.0464733626,12.1191980747,2015-06-04
19.1654973457,17.0687843143,10.5033045805,2015-06-05
22.8834040414,25.2798663948,9.10286365611,2015-06-08
28.2727868866,35.1078993124,7.88914826638,2015-06-09
29.4759057321,30.4268452833,13.8960863708,2015-06-10
