date,rsi
2016-01-25,35.2213416095
2016-01-26,31.8484175743
2016-01-27,30.9530514614
2016-01-28,35.1420346631
2016-01-29,36.894414521
2016-02-01,32.5875486381
2016-02-02,33.8491188314
2016-02-03,33.2910526276
2016-02-04,36.8357850495
2016-02-05,36.8357850495
2016-02-08,36.0909964934
2016-02-09,39.0380245009
2016-02-10,37.2842419696
2016-02-11,39.201960098
2016-02-12,41.258031789
2016-02-16,53.9623690472
2016-02-17,48.5018729397
2016-02-18,46.2422634836
2016-02-19,45.5684918918
2016-02-22,50.3267973856
2016-02-23,50.3816848835
2016-02-24,53.0215747553
2016-02-25,48.529681713
2016-02-26,52.0019467441
2016-02-29,59.6918074498
2016-03-01,57.5042122685
2016-03-02,56.8862275449
2016-03-03,67.6500921567
2016-03-04,69.8006067051
2016-03-07,62.0977662551
2016-03-08,47.2324896743
2016-03-09,49.6921867351
2016-03-10,47.2079031552
2016-03-11,46.5050218322
2016-03-14,49.6951697434
2016-03-15,52.6857034945
2016-03-16,54.4554362862
2016-03-17,55.721921654
2016-03-18,57.8411339591
2016-03-21,54.5554493572
2016-03-22,60.6994171524
2016-03-23,55.353058359
2016-03-24,50.1272221467
2016-03-28,51.7835186421
2016-03-29,60.6545880638
2016-03-30,59.0616726241
2016-03-31,63.0749919023
2016-04-01,60.1996503346
2016-04-04,59.0569691338
2016-04-05,54.1832467512
2016-04-06,51.4182084819
2016-04-07,51.3513169154
2016-04-08,51.3812216965
2016-04-11,52.2517449522
2016-04-12,46.810264825
2016-04-13,51.366817226
2016-04-14,56.9710324703
2016-04-15,53.7468693583
2016-04-18,44.8846802619
2016-04-19,47.6091604894
2016-04-20,58.4843368282
2016-04-21,60.0676581606
2016-04-22,61.1477893329
2016-04-25,64.6963969439
2016-04-26,68.2605189793
2016-04-27,71.5026186385
2016-04-28,68.9234166224
2016-04-29,65.4747028945
2016-05-02,70.2319491727
2016-05-03,66.4691573031
2016-05-04,67.5090290937
2016-05-05,75.1673906786
2016-05-06,77.117227105
2016-05-09,78.3475715294
2016-05-10,66.3716602709
2016-05-11,67.5675724373
2016-05-12,65.7894517543
2016-05-13,62.499984375
2016-05-16,67.8732974755
2016-05-17,67.3652632489
2016-05-18,70.8661727572
2016-05-19,75.0452275767
2016-05-20,71.1835414895
2016-05-23,70.4579258786
2016-05-24,70.2244375296
2016-05-25,54.1637538864
2016-05-26,61.3112663973
2016-05-27,60.8344566515
2016-05-31,60.082305938
2016-06-01,53.3820971294
2016-06-02,50.6224226511
2016-06-03,50.6223963947
