,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,8.84,8.84,2017-03-03,9.23,8.77,9.15,GPRO,3849100
1,9.27,9.27,2017-03-02,9.56,9.26,9.32,GPRO,1786900
2,9.42,9.42,2017-03-01,9.465,9.29,9.36,GPRO,2587900
3,9.40,9.40,2017-02-28,9.60,9.38,9.55,GPRO,1905100
4,9.66,9.66,2017-02-27,9.74,9.32,9.32,GPRO,2893400
5,9.43,9.43,2017-02-24,9.57,9.32,9.51,GPRO,2982500
6,9.57,9.57,2017-02-23,9.75,9.51,9.60,GPRO,2115900
7,9.51,9.51,2017-02-22,9.60,9.35,9.40,GPRO,1748800
8,9.46,9.46,2017-02-21,9.59,9.27,9.31,GPRO,2923900
9,9.25,9.25,2017-02-17,9.33,9.12,9.33,GPRO,1873600
10,9.33,9.33,2017-02-16,9.44,9.21,9.40,GPRO,2615700
11,9.44,9.44,2017-02-15,9.49,9.20,9.49,GPRO,3144300
12,9.17,9.17,2017-02-14,9.26,9.03,9.08,GPRO,3223000
13,9.05,9.05,2017-02-13,9.09,8.93,8.98,GPRO,3052700
14,8.90,8.90,2017-02-10,8.90,8.62,8.83,GPRO,3295000
15,8.74,8.74,2017-02-09,8.98,8.72,8.96,GPRO,3648000
16,8.84,8.84,2017-02-08,9.39,8.80,9.32,GPRO,7513900
17,9.34,9.34,2017-02-07,9.65,9.33,9.51,GPRO,4693400
18,9.51,9.51,2017-02-06,9.80,9.50,9.55,GPRO,4905400
19,9.58,9.58,2017-02-03,9.85,9.40,9.68,GPRO,15183900
20,10.97,10.97,2017-02-02,11.10,10.59,10.75,GPRO,7810200
21,10.57,10.57,2017-02-01,10.95,10.50,10.77,GPRO,4267600
22,10.75,10.75,2017-01-31,10.75,10.37,10.70,GPRO,5396200
23,10.80,10.80,2017-01-30,10.88,9.85,9.98,GPRO,6619200
24,10.07,10.07,2017-01-27,10.15,9.95,10.02,GPRO,1758400
25,10.03,10.03,2017-01-26,10.20,9.96,10.03,GPRO,2615600
26,10.00,10.00,2017-01-25,10.26,9.83,10.16,GPRO,3796200
27,10.13,10.13,2017-01-24,10.44,9.81,9.87,GPRO,10504200
28,9.40,9.40,2017-01-23,9.47,9.20,9.42,GPRO,3260800
29,9.51,9.51,2017-01-20,9.55,9.19,9.20,GPRO,4283800
30,9.17,9.17,2017-01-19,9.34,9.12,9.17,GPRO,2145000
31,9.22,9.22,2017-01-18,9.47,9.12,9.41,GPRO,2271600
32,9.42,9.42,2017-01-17,9.54,9.20,9.29,GPRO,2969300
33,9.27,9.27,2017-01-13,9.42,9.17,9.20,GPRO,2836800
34,9.15,9.15,2017-01-12,9.25,9.04,9.10,GPRO,1946700
35,9.12,9.12,2017-01-11,9.21,9.02,9.05,GPRO,2488300
36,9.02,9.02,2017-01-10,9.15,8.98,9.05,GPRO,3039300
37,9.06,9.06,2017-01-09,9.25,9.00,9.10,GPRO,2619500
38,9.07,9.07,2017-01-06,9.25,8.995,9.14,GPRO,4850100
39,9.35,9.35,2017-01-05,9.55,9.06,9.12,GPRO,5766200
40,9.02,9.02,2017-01-04,9.12,8.78,8.81,GPRO,3623200
41,8.77,8.77,2017-01-03,8.97,8.67,8.82,GPRO,3286500
42,8.71,8.71,2016-12-30,8.85,8.65,8.80,GPRO,4132600
43,8.84,8.84,2016-12-29,8.97,8.71,8.90,GPRO,3437700
44,8.95,8.95,2016-12-28,9.19,8.85,9.02,GPRO,3225500
45,9.09,9.09,2016-12-27,9.28,9.02,9.12,GPRO,3007100
46,9.19,9.19,2016-12-23,9.19,8.81,9.04,GPRO,3535000
47,9.01,9.01,2016-12-22,9.60,8.75,8.81,GPRO,7658900
48,8.90,8.90,2016-12-21,8.95,8.80,8.84,GPRO,1693100
49,8.90,8.90,2016-12-20,9.12,8.87,8.92,GPRO,2449000
50,8.92,8.92,2016-12-19,9.18,8.80,9.05,GPRO,3339800
51,9.01,9.01,2016-12-16,9.60,8.69,8.75,GPRO,6677400
52,8.69,8.69,2016-12-15,8.75,8.54,8.71,GPRO,3540400
