,Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
0,35.900002,35.900002,2017-03-03,36.09,35.669998,35.939999,INTC,17538100
1,35.91,35.91,2017-03-02,36.02,35.650002,35.93,INTC,23591200
2,35.93,35.93,2017-03-01,36.099998,35.439999,35.849998,INTC,33969900
3,36.200001,36.200001,2017-02-28,36.459999,36.00,36.419998,INTC,24793100
4,36.509998,36.509998,2017-02-27,36.68,36.27,36.419998,INTC,14063400
5,36.529999,36.529999,2017-02-24,36.529999,35.950001,36.139999,INTC,18515100
6,36.18,36.18,2017-02-23,36.299999,35.900002,36.240002,INTC,22509000
7,36.07,36.07,2017-02-22,36.400002,35.790001,36.34,INTC,29868400
8,36.52,36.52,2017-02-21,36.650002,36.330002,36.529999,INTC,20542400
9,36.48,36.48,2017-02-17,36.48,36.099998,36.32,INTC,18712800
10,36.41,36.41,2017-02-16,36.560001,36.099998,36.18,INTC,21181700
11,36.049999,36.049999,2017-02-15,36.060001,35.669998,35.98,INTC,18364200
12,35.93,35.93,2017-02-14,35.959999,35.529999,35.84,INTC,25725100
13,35.799999,35.799999,2017-02-13,35.849998,35.34,35.57,INTC,28180600
14,35.34,35.34,2017-02-10,35.43,34.84,35.259998,INTC,44106500
15,35.459999,35.459999,2017-02-09,36.50,35.400002,36.50,INTC,47802700
16,36.380001,36.380001,2017-02-08,36.650002,36.139999,36.34,INTC,20807400
17,36.349998,36.349998,2017-02-07,36.52,36.240002,36.450001,INTC,18581900
18,36.27,36.27,2017-02-06,36.509998,36.150002,36.509998,INTC,21427000
19,36.52,36.52,2017-02-03,36.82,36.450001,36.689999,INTC,21038100
20,36.420001,36.68,2017-02-02,36.700001,36.200001,36.259998,INTC,31916900
21,36.261136,36.52,2017-02-01,36.950001,36.02,36.82,INTC,28380600
22,36.559008,36.82,2017-01-31,37.369999,36.639999,37.220001,INTC,27059100
23,37.154754,37.419998,2017-01-30,37.84,37.330002,37.740002,INTC,23954700
24,37.710786,37.98,2017-01-27,38.450001,37.810001,38.00,INTC,44368600
25,37.293765,37.560001,2017-01-26,37.919998,37.419998,37.82,INTC,34144800
26,37.532061,37.799999,2017-01-25,38.00,37.52,37.869999,INTC,32276400
27,37.353337,37.619999,2017-01-24,37.740002,36.810001,36.84,INTC,35140900
28,36.509364,36.77,2017-01-23,37.209999,36.549999,37.07,INTC,27752600
29,36.678157,36.939999,2017-01-20,37.029999,36.580002,36.759998,INTC,23950900
30,36.31078,36.57,2017-01-19,36.91,36.509998,36.509998,INTC,13654500
31,36.499432,36.759998,2017-01-18,37.009998,36.610001,36.889999,INTC,15382500
32,36.53915,36.799999,2017-01-17,36.830002,36.59,36.669998,INTC,20195200
33,36.529222,36.790001,2017-01-13,36.860001,36.619999,36.709999,INTC,15072200
34,36.449787,36.709999,2017-01-12,36.830002,36.32,36.830002,INTC,20391900
35,36.688088,36.950001,2017-01-11,37.00,36.509998,36.509998,INTC,22398400
36,36.280994,36.540001,2017-01-10,36.93,36.529999,36.549999,INTC,15918800
37,36.350498,36.610001,2017-01-09,36.889999,36.48,36.48,INTC,19449400
38,36.221418,36.48,2017-01-06,36.68,36.189999,36.59,INTC,15114000
39,36.092339,36.349998,2017-01-05,36.720001,36.310001,36.450001,INTC,13986000
40,36.151915,36.41,2017-01-04,36.77,36.34,36.709999,INTC,15915700
41,36.340567,36.599998,2017-01-03,36.93,36.27,36.610001,INTC,20196500
42,36.012908,36.27,2016-12-30,36.799999,36.200001,36.790001,INTC,17468000
43,36.400143,36.66,2016-12-29,36.720001,36.43,36.509998,INTC,8447300
44,36.370357,36.630001,2016-12-28,37.200001,36.580002,37.099998,INTC,12868600
45,36.807236,37.07,2016-12-27,37.330002,36.91,36.91,INTC,9033700
46,36.707947,36.970001,2016-12-23,36.98,36.77,36.93,INTC,6287300
47,36.668229,36.93,2016-12-22,37.240002,36.810001,37.23,INTC,10793900
48,36.717874,36.98,2016-12-21,37.349998,36.91,37.25,INTC,14323600
49,36.946243,37.209999,2016-12-20,37.240002,36.889999,36.950001,INTC,18551800
50,36.628512,36.889999,2016-12-19,36.950001,36.27,36.34,INTC,18744300
